compound_id,smiles,pIC50
CMP0000,Cc1ccccc1,6.949
CMP0001,CCc1ccccc1,7.107
CMP0002,CCCc1ccccc1,7.126
CMP0003,CC(C)c1ccccc1,7.683
CMP0004,CCCCc1ccccc1,6.34
CMP0005,Oc1ccccc1,6.088
CMP0006,COc1ccccc1,6.366
CMP0007,CCOc1ccccc1,6.613
CMP0008,Nc1ccccc1,5.045
CMP0009,CNc1ccccc1,6.986
CMP0010,CN(C)c1ccccc1,6.089
CMP0011,Clc1ccccc1,7.385
CMP0012,Brc1ccccc1,8.087
CMP0013,Fc1ccccc1,6.799
CMP0014,O=C(O)c1ccccc1,4.551
CMP0015,NC(=O)c1ccccc1,5.035
CMP0016,N#Cc1ccccc1,6.327
CMP0017,NS(=O)(=O)c1ccccc1,4.222
CMP0018,OCc1ccccc1,4.81
CMP0019,OCCc1ccccc1,4.747
CMP0020,NCc1ccccc1,5.671
CMP0021,c1ccc(-c2ccccc2)cc1,6.407
CMP0022,FC(F)(F)c1ccccc1,7.374
CMP0023,c1ccc(N2CCOCC2)cc1,6.318
CMP0024,Cc1cccc2ccccc12,7.215
CMP0025,CCc1cccc2ccccc12,6.35
CMP0026,CCCc1cccc2ccccc12,5.428
CMP0027,CC(C)c1cccc2ccccc12,5.932
CMP0028,CCCCc1cccc2ccccc12,5.173
CMP0029,Oc1cccc2ccccc12,7.95
CMP0030,COc1cccc2ccccc12,7.222
CMP0031,CCOc1cccc2ccccc12,6.184
CMP0032,Nc1cccc2ccccc12,8.08
CMP0033,CNc1cccc2ccccc12,7.416
CMP0034,CN(C)c1cccc2ccccc12,6.688
CMP0035,Clc1cccc2ccccc12,6.848
CMP0036,Brc1cccc2ccccc12,6.82
CMP0037,Fc1cccc2ccccc12,7.922
CMP0038,O=C(O)c1cccc2ccccc12,6.902
CMP0039,NC(=O)c1cccc2ccccc12,5.971
CMP0040,N#Cc1cccc2ccccc12,8.156
CMP0041,NS(=O)(=O)c1cccc2ccccc12,4.99
CMP0042,OCc1cccc2ccccc12,7.599
CMP0043,OCCc1cccc2ccccc12,7.756
CMP0044,NCc1cccc2ccccc12,7.532
CMP0045,c1ccc(-c2cccc3ccccc23)cc1,5.022
CMP0046,FC(F)(F)c1cccc2ccccc12,6.546
CMP0047,c1ccc2c(N3CCOCC3)cccc2c1,8.164
CMP0048,Cc1cccnc1,5.953
CMP0049,CCc1cccnc1,6.218
CMP0050,CCCc1cccnc1,6.526
CMP0051,CC(C)c1cccnc1,7.162
CMP0052,CCCCc1cccnc1,7.117
CMP0053,Oc1cccnc1,5.877
CMP0054,COc1cccnc1,5.018
CMP0055,CCOc1cccnc1,5.63
CMP0056,Nc1cccnc1,5.635
CMP0057,CNc1cccnc1,5.051
CMP0058,CN(C)c1cccnc1,5.6
CMP0059,Clc1cccnc1,6.334
CMP0060,Brc1cccnc1,5.863
CMP0061,Fc1cccnc1,5.474
CMP0062,O=C(O)c1cccnc1,4.819
CMP0063,NC(=O)c1cccnc1,3.675
CMP0064,N#Cc1cccnc1,5.547
CMP0065,NS(=O)(=O)c1cccnc1,4.377
CMP0066,OCc1cccnc1,5.393
CMP0067,OCCc1cccnc1,5.179
CMP0068,NCc1cccnc1,5.438
CMP0069,c1ccc(-c2cccnc2)cc1,7.694
