descriptor,reason,r
ABC,nonnumeric,
ABCGG,nonnumeric,
SpAbs_Dt,nonnumeric,
SpMax_Dt,nonnumeric,
SpDiam_Dt,nonnumeric,
SpAD_Dt,nonnumeric,
SpMAD_Dt,nonnumeric,
LogEE_Dt,nonnumeric,
SM1_Dt,nonnumeric,
VE1_Dt,nonnumeric,
VE2_Dt,nonnumeric,
VE3_Dt,nonnumeric,
VR1_Dt,nonnumeric,
VR2_Dt,nonnumeric,
VR3_Dt,nonnumeric,
DetourIndex,nonnumeric,
MAXsLi,nonnumeric,
MAXssBe,nonnumeric,
MAXssssBe,nonnumeric,
MAXssBH,nonnumeric,
MAXsssB,nonnumeric,
MAXssssB,nonnumeric,
MAXdCH2,nonnumeric,
MAXtCH,nonnumeric,
MAXdsCH,nonnumeric,
MAXddC,nonnumeric,
MAXtsC,nonnumeric,
MAXaaaC,nonnumeric,
MAXsNH3,nonnumeric,
MAXssNH2,nonnumeric,
MAXdNH,nonnumeric,
MAXaaNH,nonnumeric,
MAXtN,nonnumeric,
MAXsssNH,nonnumeric,
MAXdsN,nonnumeric,
MAXsssN,nonnumeric,
MAXddsN,nonnumeric,
MAXaasN,nonnumeric,
MAXssssN,nonnumeric,
MAXaaO,nonnumeric,
MAXsF,nonnumeric,
MAXsSiH3,nonnumeric,
MAXssSiH2,nonnumeric,
MAXsssSiH,nonnumeric,
MAXssssSi,nonnumeric,
MAXsPH2,nonnumeric,
MAXssPH,nonnumeric,
MAXsssP,nonnumeric,
MAXdsssP,nonnumeric,
MAXsssssP,nonnumeric,
MAXsSH,nonnumeric,
MAXdS,nonnumeric,
MAXssS,nonnumeric,
MAXaaS,nonnumeric,
MAXdssS,nonnumeric,
MAXddssS,nonnumeric,
MAXsGeH3,nonnumeric,
MAXssGeH2,nonnumeric,
MAXsssGeH,nonnumeric,
MAXssssGe,nonnumeric,
MAXsAsH2,nonnumeric,
MAXssAsH,nonnumeric,
MAXsssAs,nonnumeric,
MAXsssdAs,nonnumeric,
MAXsssssAs,nonnumeric,
MAXsSeH,nonnumeric,
MAXdSe,nonnumeric,
MAXssSe,nonnumeric,
MAXaaSe,nonnumeric,
MAXdssSe,nonnumeric,
MAXddssSe,nonnumeric,
MAXsSnH3,nonnumeric,
MAXssSnH2,nonnumeric,
MAXsssSnH,nonnumeric,
MAXssssSn,nonnumeric,
MAXsPbH3,nonnumeric,
MAXssPbH2,nonnumeric,
MAXsssPbH,nonnumeric,
MAXssssPb,nonnumeric,
MINsLi,nonnumeric,
MINssBe,nonnumeric,
MINssssBe,nonnumeric,
MINssBH,nonnumeric,
MINsssB,nonnumeric,
MINssssB,nonnumeric,
MINdCH2,nonnumeric,
MINtCH,nonnumeric,
MINdsCH,nonnumeric,
MINddC,nonnumeric,
MINtsC,nonnumeric,
MINaaaC,nonnumeric,
MINsNH3,nonnumeric,
MINssNH2,nonnumeric,
MINdNH,nonnumeric,
MINaaNH,nonnumeric,
MINtN,nonnumeric,
MINsssNH,nonnumeric,
MINdsN,nonnumeric,
MINsssN,nonnumeric,
MINddsN,nonnumeric,
MINaasN,nonnumeric,
MINssssN,nonnumeric,
MINaaO,nonnumeric,
MINsF,nonnumeric,
MINsSiH3,nonnumeric,
MINssSiH2,nonnumeric,
MINsssSiH,nonnumeric,
MINssssSi,nonnumeric,
MINsPH2,nonnumeric,
MINssPH,nonnumeric,
MINsssP,nonnumeric,
MINdsssP,nonnumeric,
MINsssssP,nonnumeric,
MINsSH,nonnumeric,
MINdS,nonnumeric,
MINssS,nonnumeric,
MINaaS,nonnumeric,
MINdssS,nonnumeric,
MINddssS,nonnumeric,
MINsGeH3,nonnumeric,
MINssGeH2,nonnumeric,
MINsssGeH,nonnumeric,
MINssssGe,nonnumeric,
MINsAsH2,nonnumeric,
MINssAsH,nonnumeric,
MINsssAs,nonnumeric,
MINsssdAs,nonnumeric,
MINsssssAs,nonnumeric,
MINsSeH,nonnumeric,
MINdSe,nonnumeric,
MINssSe,nonnumeric,
MINaaSe,nonnumeric,
MINdssSe,nonnumeric,
MINddssSe,nonnumeric,
MINsSnH3,nonnumeric,
MINssSnH2,nonnumeric,
MINsssSnH,nonnumeric,
MINssssSn,nonnumeric,
MINsPbH3,nonnumeric,
MINssPbH2,nonnumeric,
MINsssPbH,nonnumeric,
MINssssPb,nonnumeric,
MDEC-24,nonnumeric,
MDEC-33,nonnumeric,
MDEC-34,nonnumeric,
MDEC-44,nonnumeric,
MDEO-22,nonnumeric,
MDEN-11,nonnumeric,
MDEN-12,nonnumeric,
MDEN-13,nonnumeric,
MDEN-22,nonnumeric,
MDEN-23,nonnumeric,
MDEN-33,nonnumeric,
AATS5dv,missing>0.2,
AATS6dv,missing>0.2,
AATS7dv,missing>0.2,
AATS8dv,missing>0.2,
AATS5d,missing>0.2,
AATS6d,missing>0.2,
AATS7d,missing>0.2,
AATS8d,missing>0.2,
AATS5s,missing>0.2,
AATS6s,missing>0.2,
AATS7s,missing>0.2,
AATS8s,missing>0.2,
AATS5Z,missing>0.2,
AATS6Z,missing>0.2,
AATS7Z,missing>0.2,
AATS8Z,missing>0.2,
AATS5m,missing>0.2,
AATS6m,missing>0.2,
AATS7m,missing>0.2,
AATS8m,missing>0.2,
AATS5v,missing>0.2,
AATS6v,missing>0.2,
AATS7v,missing>0.2,
AATS8v,missing>0.2,
AATS5se,missing>0.2,
AATS6se,missing>0.2,
AATS7se,missing>0.2,
AATS8se,missing>0.2,
AATS5pe,missing>0.2,
AATS6pe,missing>0.2,
AATS7pe,missing>0.2,
AATS8pe,missing>0.2,
AATS5are,missing>0.2,
AATS6are,missing>0.2,
AATS7are,missing>0.2,
AATS8are,missing>0.2,
AATS5p,missing>0.2,
AATS6p,missing>0.2,
AATS7p,missing>0.2,
AATS8p,missing>0.2,
AATS5i,missing>0.2,
AATS6i,missing>0.2,
AATS7i,missing>0.2,
AATS8i,missing>0.2,
AATSC5c,missing>0.2,
AATSC6c,missing>0.2,
AATSC7c,missing>0.2,
AATSC8c,missing>0.2,
AATSC5dv,missing>0.2,
AATSC6dv,missing>0.2,
AATSC7dv,missing>0.2,
AATSC8dv,missing>0.2,
AATSC5d,missing>0.2,
AATSC6d,missing>0.2,
AATSC7d,missing>0.2,
AATSC8d,missing>0.2,
AATSC5s,missing>0.2,
AATSC6s,missing>0.2,
AATSC7s,missing>0.2,
AATSC8s,missing>0.2,
AATSC5Z,missing>0.2,
AATSC6Z,missing>0.2,
AATSC7Z,missing>0.2,
AATSC8Z,missing>0.2,
AATSC5m,missing>0.2,
AATSC6m,missing>0.2,
AATSC7m,missing>0.2,
AATSC8m,missing>0.2,
AATSC5v,missing>0.2,
AATSC6v,missing>0.2,
AATSC7v,missing>0.2,
AATSC8v,missing>0.2,
AATSC5se,missing>0.2,
AATSC6se,missing>0.2,
AATSC7se,missing>0.2,
AATSC8se,missing>0.2,
AATSC5pe,missing>0.2,
AATSC6pe,missing>0.2,
AATSC7pe,missing>0.2,
AATSC8pe,missing>0.2,
AATSC5are,missing>0.2,
AATSC6are,missing>0.2,
AATSC7are,missing>0.2,
AATSC8are,missing>0.2,
AATSC5p,missing>0.2,
AATSC6p,missing>0.2,
AATSC7p,missing>0.2,
AATSC8p,missing>0.2,
AATSC5i,missing>0.2,
AATSC6i,missing>0.2,
AATSC7i,missing>0.2,
AATSC8i,missing>0.2,
MATS5c,missing>0.2,
MATS6c,missing>0.2,
MATS7c,missing>0.2,
MATS8c,missing>0.2,
MATS5dv,missing>0.2,
MATS6dv,missing>0.2,
MATS7dv,missing>0.2,
MATS8dv,missing>0.2,
MATS5d,missing>0.2,
MATS6d,missing>0.2,
MATS7d,missing>0.2,
MATS8d,missing>0.2,
MATS5s,missing>0.2,
MATS6s,missing>0.2,
MATS7s,missing>0.2,
MATS8s,missing>0.2,
MATS5Z,missing>0.2,
MATS6Z,missing>0.2,
MATS7Z,missing>0.2,
MATS8Z,missing>0.2,
MATS5m,missing>0.2,
MATS6m,missing>0.2,
MATS7m,missing>0.2,
MATS8m,missing>0.2,
MATS5v,missing>0.2,
MATS6v,missing>0.2,
MATS7v,missing>0.2,
MATS8v,missing>0.2,
MATS5se,missing>0.2,
MATS6se,missing>0.2,
MATS7se,missing>0.2,
MATS8se,missing>0.2,
MATS5pe,missing>0.2,
MATS6pe,missing>0.2,
MATS7pe,missing>0.2,
MATS8pe,missing>0.2,
MATS5are,missing>0.2,
MATS6are,missing>0.2,
MATS7are,missing>0.2,
MATS8are,missing>0.2,
MATS5p,missing>0.2,
MATS6p,missing>0.2,
MATS7p,missing>0.2,
MATS8p,missing>0.2,
MATS5i,missing>0.2,
MATS6i,missing>0.2,
MATS7i,missing>0.2,
MATS8i,missing>0.2,
GATS5c,missing>0.2,
GATS6c,missing>0.2,
GATS7c,missing>0.2,
GATS8c,missing>0.2,
GATS5dv,missing>0.2,
GATS6dv,missing>0.2,
GATS7dv,missing>0.2,
GATS8dv,missing>0.2,
GATS5d,missing>0.2,
GATS6d,missing>0.2,
GATS7d,missing>0.2,
GATS8d,missing>0.2,
GATS5s,missing>0.2,
GATS6s,missing>0.2,
GATS7s,missing>0.2,
GATS8s,missing>0.2,
GATS5Z,missing>0.2,
GATS6Z,missing>0.2,
GATS7Z,missing>0.2,
GATS8Z,missing>0.2,
GATS5m,missing>0.2,
