compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,-1.6751842,4.436778,1,test
compound_1,1,-2.3917532,4.2718196,1,test
compound_2,2,-3.9602458,2.3528862,0,train
compound_3,3,-2.1989694,4.6266713,1,train
compound_4,4,-1.2629926,4.6952095,1,train
compound_5,5,-1.7010621,4.854586,1,train
compound_6,6,-3.1664004,3.7861438,3,test
compound_7,7,-3.1997263,4.3610964,3,test
compound_8,8,-3.7478194,1.5488286,0,test
compound_9,9,-3.6450076,1.1799939,0,train
compound_10,10,-4.19469,3.015617,3,train
compound_11,11,-2.1569846,3.562506,2,train
compound_12,12,-2.67529,2.8523262,2,train
compound_13,13,-2.7285006,3.4211051,2,train
compound_14,14,-2.3303235,2.9893558,2,train
compound_15,15,-1.4431317,3.9657378,1,train
compound_16,16,-1.7285461,3.263366,2,train
compound_17,17,-3.378817,2.035403,0,train
compound_18,18,-3.2680771,1.4953465,0,train
compound_19,19,-2.9555593,1.6667379,0,test
compound_20,20,-0.9313296,3.8250945,4,train
compound_21,21,-0.6828873,4.1596885,4,train
compound_22,22,-0.36794788,3.7340782,4,train
compound_23,23,-3.8941386,3.4494066,3,train
compound_24,24,-3.6577322,3.064241,3,train
compound_25,25,-2.8617265,4.5292277,3,train
compound_26,26,-3.7990165,3.8441408,3,train
compound_27,27,-4.1855216,1.7854568,0,train
compound_28,28,-4.158903,1.2869177,0,train
