generation,best_fitness,avg_fitness
1,-2.0074478511968548,-6.327017384958491
2,-2.007447851196854,-5.25007076306576
3,-2.0074478511968534,-4.259005287934669
4,-2.0074478511968525,-3.1478130182293595
5,-2.0074478511968525,-2.8428877756606745
6,-2.0074478511968534,-2.4259208402532875
7,-2.007447851196853,-2.2929993745536366
8,-2.007447851196853,-2.250377547979468
9,-2.0074478511968525,-2.140169008399318
10,-2.007447851196853,-2.0074478511968543
11,-2.0074478511968525,-2.248988851673754
12,-2.0074478511968525,-2.0305155869355183
13,-2.0074478511968517,-2.0074478511968543
14,-2.0074478511968517,-2.3784537719919
15,-2.0074478511968525,-2.339286678237684
16,-2.0074478511968534,-2.8186208909080666
17,-2.0074478511968534,-2.2440489566529624
18,-2.0074478511968534,-2.368634976364125
19,-2.0074478511968534,-2.0074478511968543
20,-2.0074478511968525,-2.111416653081285
21,-2.0074478511968525,-2.120972188435042
22,-2.0074478511968534,-2.282784944614641
23,-2.0074478511968525,-2.179451661304361
24,-2.0074478511968525,-2.0074478511968543
25,-2.0074478511968525,-2.318483802530022
26,-2.0074478511968525,-2.25929016313558
27,-2.0074478511968525,-2.1162510443122895
28,-2.0074478511968525,-2.1625066784980795
29,-2.0074478511968525,-2.0074478511968543
30,-2.0074478511968525,-2.2658301170289388
