rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5887722611172166,0.37363554157995776,0.20233277952418563,0.0,0.0,0.0,0.0,0.21513671953725882,True
2,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.5493747390740789,0.3467136336749393,0.19510814661946227,0.0,0.0,0.0,0.0,0.20266110539913956,False
3,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5066393437382972,0.3160520856432134,0.255839550977544,0.0,0.0,0.0,0.0,0.1905872580950838,False
4,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.4729853556268232,0.29689107703415984,0.2606702603827934,0.0,0.0,0.0,0.0,0.17609427859266336,False
5,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.48499345201253846,0.29644028923296245,0.23983828838123344,0.0,0.0,0.0,0.0,0.188553162779576,False
6,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.45886249418949754,0.2912860434413775,0.2532684854245498,0.0,0.0,0.0,0.0,0.16757645074812005,False
7,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.4552046666376818,0.2882385607675588,0.25403424724018414,0.0,0.0,0.0,0.0,0.16696610587012295,False
8,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.4792399370479264,0.276258376624832,0.23405819420161736,0.0,0.0,0.0,0.0,0.2029815604230944,False
9,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.44539676443798076,0.2605677756037109,0.22054971216318722,0.0,0.0,0.0,0.0,0.18482898883426985,False
10,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.4233516808035378,0.25969998078862694,0.22771627086910634,0.0,0.0,0.0,0.0,0.16365170001491086,False
11,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.4463981828150404,0.2583794781488026,0.2377301154152761,0.0,0.0,0.0,0.0,0.18801870466623782,False
12,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.420820383758821,0.2564368568210127,0.23127521082764038,0.0,0.0,0.0,0.0,0.16438352693780833,False
13,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",0.34904591836353543,0.176872750958801,0.24705388404566322,0.0,0.0,0.0,0.0,0.17217316740473443,False
14,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",0.34852841384743594,0.176193224558801,0.24659224463177615,0.0,0.0,0.0,0.0,0.17233518928863495,False
15,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 500}",0.33958064744656624,0.16789436878111597,0.24885971420520753,0.0,0.0,0.0,0.0,0.17168627866545028,False
16,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 500}",0.3395806474465663,0.16789436878111577,0.2488597142052074,0.0,0.0,0.0,0.0,0.17168627866545053,False
17,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",0.3190970333469833,0.14464444838115081,0.2390550687793042,0.0,0.0,0.0,0.0,0.1744525849658325,False
18,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",0.3177814074636317,0.14295932838115094,0.2378979598240863,0.0,0.0,0.0,0.0,0.17482207908248076,False
19,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 200}",0.3097286759358325,0.13614551976865394,0.23669932975090038,0.0,0.0,0.0,0.0,0.17358315616717854,False
20,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 200}",0.3097286759358325,0.1361455197686539,0.23669932975090033,0.0,0.0,0.0,0.0,0.17358315616717856,False
21,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",0.25567309155538914,0.052614667054135776,0.24440250310724382,0.0,0.0,0.0,0.0,0.20305842450125336,False
22,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 500}",0.255673091555389,0.052614667054135776,0.2444025031072436,0.0,0.0,0.0,0.0,0.2030584245012532,False
23,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 500}",0.2690117747548683,0.04578301749283227,0.28115161562169444,0.0,0.0,0.0,0.0,0.22322875726203606,False
24,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 500}",0.2690117747548683,0.04578301749283211,0.28115161562169394,0.0,0.0,0.0,0.0,0.2232287572620362,False
25,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 500}",0.2690117747548683,0.04578301749283189,0.28115161562169405,0.0,0.0,0.0,0.0,0.22322875726203642,False
26,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 500}",0.26901177475486826,0.045783017492831715,0.28115161562169433,0.0,0.0,0.0,0.0,0.22322875726203656,False
27,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",0.2386505909116659,0.041769821262711004,0.22638358509908477,0.0,0.0,0.0,0.0,0.1968807696489549,False
28,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",0.23865059091166607,0.041769821262710984,0.22638358509908507,0.0,0.0,0.0,0.0,0.1968807696489551,False
29,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.24131157501078776,0.01583487984237695,0.2822425347110738,0.0,0.0,0.0,0.0,0.22547669516841082,False
30,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 200}",0.24131157501078793,0.01583487984237677,0.2822425347110736,0.0,0.0,0.0,0.0,0.22547669516841115,False
31,"{'bootstrap': False, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.24131157501078776,0.01583487984237677,0.2822425347110736,0.0,0.0,0.0,0.0,0.22547669516841098,False
32,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 200}",0.24131157501078776,0.015834879842376415,0.2822425347110743,0.0,0.0,0.0,0.0,0.22547669516841135,False
33,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.0824776498440031,-0.12204725294090513,0.23044314172548203,0.0,0.0,0.0,0.0,0.20452490278490823,False
34,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.08247764984400303,-0.12204725294090515,0.230443141725482,0.0,0.0,0.0,0.0,0.2045249027849082,False
35,"{'bootstrap': True, 'max_depth': 2, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.07317303075788725,-0.13993649308702177,0.23734832230769465,0.0,0.0,0.0,0.0,0.21310952384490903,False
