generation,best_fitness,avg_fitness
1,-1.4751356976533665,-3.3579085740892203
2,-1.0222998451148304,-2.580580202470442
3,-1.0179580353884838,-2.1737265667415153
4,-1.0179580353884838,-1.5656745357103308
5,-1.017167542040195,-1.4167235310095088
6,-1.017167542040195,-1.1311197657039243
7,-1.0171675420401947,-1.0740352245161089
8,-1.0171675420401933,-1.0896733120640167
9,-1.0171675420401933,-1.0815380067501608
10,-1.017167542040193,-1.0537257928164272
11,-1.017167542040193,-1.0869521906162034
12,-1.017167542040193,-1.0621348438408151
13,-1.017167542040193,-1.1819587108768335
14,-1.017167542040193,-1.0171675420401944
15,-1.017167542040193,-1.138615167173963
16,-1.017167542040193,-1.068239113797374
17,-1.017167542040193,-1.1887156644729826
18,-1.017167542040193,-1.1301181206792672
19,-1.017167542040193,-1.0474849508566293
20,-1.017167542040193,-1.2388300552424483
21,-1.017167542040193,-1.0811619852876424
22,-1.017167542040193,-1.1100332172086667
23,-1.017167542040193,-1.1021915951392216
24,-1.017167542040193,-1.0254800814302352
25,-1.017167542040193,-1.2358998354140756
26,-1.017167542040193,-1.0171906418432335
27,-1.017167542040193,-1.0843195011040283
28,-1.0171675420401922,-1.1656555537622837
29,-1.017167542040193,-1.10629446210926
30,-1.017167542040193,-1.2313121117122918
