rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",0.5744027819364126,0.42366478446490596,0.17291896898729625,0.0,0.0,0.0,0.0,0.15073799747150662,True
2,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",0.5744027819364126,0.42366478446490596,0.17291896898729636,0.0,0.0,0.0,0.0,0.15073799747150662,False
3,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 150}",0.572720092584171,0.42328508582484387,0.17303424891090347,0.0,0.0,0.0,0.0,0.14943500675932714,False
4,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.5677481041044341,0.41618178373422526,0.16951900403999365,0.0,0.0,0.0,0.0,0.15156632037020884,False
5,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.5677481041044341,0.41618178373422515,0.1695190040399936,0.0,0.0,0.0,0.0,0.15156632037020895,False
6,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.566771872817949,0.4154247135403358,0.16944019511824687,0.0,0.0,0.0,0.0,0.15134715927761327,False
7,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.5593658952085601,0.41464550043471854,0.1739495571515803,0.0,0.0,0.0,0.0,0.14472039477384152,False
8,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.55936589520856,0.41464550043471854,0.1739495571515802,0.0,0.0,0.0,0.0,0.1447203947738414,False
9,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.558292936126532,0.41407159272448757,0.17380834817653165,0.0,0.0,0.0,0.0,0.1442213434020444,False
10,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 150}",0.5530645541066667,0.4121923603446044,0.17376277280596947,0.0,0.0,0.0,0.0,0.14087219376206228,False
11,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 150}",0.5530645541066667,0.41219236034460405,0.17376277280596958,0.0,0.0,0.0,0.0,0.14087219376206261,False
12,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 150}",0.5522228767355148,0.41155639602374094,0.17343484447424792,0.0,0.0,0.0,0.0,0.1406664807117739,False
13,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5550412492344321,0.40685369577607117,0.17036239974749665,0.0,0.0,0.0,0.0,0.14818755345836093,False
14,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5550412492344322,0.40685369577607117,0.17036239974749678,0.0,0.0,0.0,0.0,0.14818755345836104,False
15,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.5542117776521998,0.4065380698390414,0.17033712425109182,0.0,0.0,0.0,0.0,0.14767370781315836,False
16,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 300}",0.5401166419305052,0.39824957239842423,0.17443698700086255,0.0,0.0,0.0,0.0,0.141867069532081,False
17,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 300}",0.5401166419305051,0.39824957239842407,0.17443698700086233,0.0,0.0,0.0,0.0,0.14186706953208106,False
18,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 300}",0.539684053090513,0.39798951535459415,0.17429009153940886,0.0,0.0,0.0,0.0,0.1416945377359189,False
19,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}",0.3737350155852999,0.1965022917468484,0.24576641793012496,0.0,0.0,0.0,0.0,0.1772327238384515,False
20,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}",0.37373501558529976,0.19650229174684836,0.24576641793012519,0.0,0.0,0.0,0.0,0.1772327238384514,False
21,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.37373501558529976,0.19650229174684836,0.24576641793012519,0.0,0.0,0.0,0.0,0.1772327238384514,False
22,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.3737350155853,0.1965022917468483,0.24576641793012494,0.0,0.0,0.0,0.0,0.17723272383845168,False
23,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}",0.3737350155853,0.19650229174684827,0.24576641793012519,0.0,0.0,0.0,0.0,0.1772327238384517,False
24,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}",0.37373501558529987,0.19650229174684822,0.24576641793012535,0.0,0.0,0.0,0.0,0.17723272383845165,False
25,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}",0.3737350155852998,0.1965022917468481,0.24576641793012496,0.0,0.0,0.0,0.0,0.1772327238384517,False
26,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}",0.3737350155852999,0.19650229174684802,0.24576641793012477,0.0,0.0,0.0,0.0,0.1772327238384519,False
27,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 150}",0.3737350155853001,0.1965022917468479,0.2457664179301251,0.0,0.0,0.0,0.0,0.17723272383845218,False
28,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.35767911343379827,0.18437047922222538,0.24153141852839624,0.0,0.0,0.0,0.0,0.1733086342115729,False
29,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.3576791134337983,0.1843704792222253,0.24153141852839596,0.0,0.0,0.0,0.0,0.17330863421157303,False
30,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.3576791134337981,0.1843704792222253,0.24153141852839605,0.0,0.0,0.0,0.0,0.1733086342115728,False
31,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.3576791134337983,0.18437047922222524,0.24153141852839624,0.0,0.0,0.0,0.0,0.17330863421157308,False
32,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 300}",0.35767911343379816,0.18437047922222524,0.24153141852839635,0.0,0.0,0.0,0.0,0.17330863421157292,False
33,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.3576791134337983,0.18437047922222524,0.24153141852839602,0.0,0.0,0.0,0.0,0.17330863421157308,False
34,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 300}",0.3576791134337981,0.18437047922222524,0.24153141852839602,0.0,0.0,0.0,0.0,0.17330863421157286,False
35,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.35767911343379816,0.18437047922222516,0.2415314185283961,0.0,0.0,0.0,0.0,0.173308634211573,False
36,"{'bootstrap': False, 'max_depth': 4, 'max_features': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 300}",0.35767911343379827,0.18437047922222496,0.24153141852839624,0.0,0.0,0.0,0.0,0.1733086342115733,False
