generation,best_fitness,avg_fitness
1,-1.6381692649837984,-6.845574722902584
2,-1.6381692649837984,-5.094977007580427
3,-1.6381692649837984,-3.288797717882851
4,-1.6381692649837984,-2.356911758865361
5,-1.6381692649837984,-2.0208004572497638
6,-1.6381692649837984,-2.189379077605518
7,-1.6381692649837984,-1.768202797095434
8,-1.6381692649837984,-1.7658100656194677
9,-1.6381692649837984,-2.2905822187680642
10,-1.6381692649837984,-1.6381692649837984
11,-1.6381692649837984,-2.0610851561864134
12,-1.6381692649837984,-1.7676148673738203
13,-1.6381692649837984,-1.6381692649837984
14,-1.6381692649837984,-2.350202989501621
15,-1.6381692649837984,-2.1020422106904646
16,-1.6381692649837984,-2.800389494381824
17,-1.6381692649837984,-1.8789649195178688
18,-1.6381692649837984,-2.3089618985116984
19,-1.6381692649837984,-1.6381692649837984
20,-1.6381692649837984,-1.7576808079302526
21,-1.6381692649837984,-1.849455962750858
22,-1.6381692649837984,-1.8217067558479072
23,-1.6381692649837984,-1.8021699597721237
24,-1.6381692649837984,-1.6381692649837984
25,-1.6381692649837984,-1.8475491768891563
26,-1.6381692649837984,-2.296969932062336
27,-1.6381692649837984,-1.87369359119825
28,-1.6381692649837984,-2.024122408738815
29,-1.6381692649837984,-1.6381692649837984
30,-1.6381692649837984,-2.37331780286949
