generation,best_fitness,avg_fitness
1,-2.995930858191732,-4.805052921619491
2,-2.995930858191732,-4.288041542059471
3,-2.991321192376107,-3.818046749742353
4,-2.8127785244821575,-3.62891024147864
5,-2.8127785244821575,-3.2951588631027082
6,-2.7288624272381274,-3.2519698125834657
7,-2.7288624272381274,-3.0245647770618653
8,-2.7288624272381274,-2.9124798753343373
9,-2.7288624272381274,-2.925269645945258
10,-2.7288624272381274,-2.873936616170718
11,-2.7288624272381274,-2.742843886131825
12,-2.7288624272381274,-2.816896991187051
13,-2.7288624272381274,-2.7682715892721763
14,-2.7288624272381274,-2.782635703901773
15,-2.7288624272381274,-2.7812816090731243
16,-2.7288624272381274,-2.7395649560179316
17,-2.7288624272381274,-2.8489296601315006
18,-2.7288624272381274,-2.832799415668268
19,-2.7288624272381274,-2.785212553370792
20,-2.7288624272381274,-2.791800332985173
21,-2.7288624272381274,-2.7776407595929995
22,-2.7288624272381274,-2.7401261479954337
23,-2.7288624272381274,-2.7544661940169566
24,-2.7288624272381274,-2.7977873758096847
25,-2.7288624272381274,-2.9005924678676944
26,-2.7288624272381274,-2.7288624272381283
27,-2.7288624272381274,-2.7288624272381283
28,-2.7288624272381274,-2.822245352081312
29,-2.7288624272381274,-2.744922986357212
30,-2.7288624272381274,-2.7638926562316875
