rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.8684370688446397,0.4678637950133574,0.4079472332858149,0.0,0.0,0.0,0.0,0.4005732738312823,True
2,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8684370688446397,0.4676255550707003,0.3792341603855336,0.0,0.0,0.0,0.0,0.40081151377393937,False
3,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.8743761917050688,0.43499082277983003,0.41964477064913835,0.0,0.0,0.0,0.0,0.4393853689252387,False
4,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.8743761917050688,0.43273995523732617,0.39983607724826875,0.0,0.0,0.0,0.0,0.4416362364677426,False
5,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.6258176809251432,0.43111235832066663,0.24501064737871872,0.0,0.0,0.0,0.0,0.1947053226044766,False
6,"{'metric': 'minkowski', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.8743761917050688,0.4136398022805465,0.44054825278932375,0.0,0.0,0.0,0.0,0.4607363894245223,False
7,"{'metric': 'minkowski', 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.8743761917050688,0.40270608770214456,0.4370030868691157,0.0,0.0,0.0,0.0,0.4716701040029242,False
8,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.6327532158468311,0.3812771374381826,0.3327737221642774,0.0,0.0,0.0,0.0,0.2514760784086485,False
9,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.8743761917050688,0.37429441950494186,0.41377322841590913,0.0,0.0,0.0,0.0,0.500081772200127,False
10,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.8743761917050688,0.3566643135663466,0.4121984659547526,0.0,0.0,0.0,0.0,0.5177118781387222,False
11,"{'metric': 'minkowski', 'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",0.8743761917050688,0.33044290491824085,0.39139112921469976,0.0,0.0,0.0,0.0,0.5439332867868278,False
12,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.5804378054675513,0.329935617862026,0.18907582267637807,0.0,0.0,0.0,0.0,0.2505021876055253,False
13,"{'metric': 'minkowski', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.45383678789581305,0.3045623557709082,0.3220414077497876,0.0,0.0,0.0,0.0,0.14927443212490488,False
14,"{'metric': 'minkowski', 'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",0.8743761917050688,0.3037733775598469,0.3834490450483783,0.0,0.0,0.0,0.0,0.5706028141452218,False
15,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.5694428145901708,0.30310932466758145,0.2254552363494903,0.0,0.0,0.0,0.0,0.2663334899225893,False
16,"{'metric': 'minkowski', 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.45626155204877944,0.2811361061025213,0.2810883897757547,0.0,0.0,0.0,0.0,0.17512544594625812,False
17,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",0.8743761917050688,0.2689889344548425,0.3575127730047729,0.0,0.0,0.0,0.0,0.6053872572502262,False
18,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",0.8743761917050688,0.22578933642461632,0.3428555768394258,0.0,0.0,0.0,0.0,0.6485868552804525,False
19,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.3281279469554401,0.1566588660729388,0.36030570250640603,0.0,0.0,0.0,0.0,0.17146908088250132,False
20,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.3373917678311078,0.14474276833041405,0.377537889043593,0.0,0.0,0.0,0.0,0.19264899950069375,False
21,"{'metric': 'minkowski', 'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",0.2326556510730377,0.005472920384015456,0.3346597957386225,0.0,0.0,0.0,0.0,0.22718273068902226,False
22,"{'metric': 'minkowski', 'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",0.22506629564558614,0.004656253717348768,0.334373130491249,0.0,0.0,0.0,0.0,0.22041004192823738,False
23,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",0.03222818345583613,-0.20890518104743733,0.29500035686490833,0.0,0.0,0.0,0.0,0.24113336450327347,False
24,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.029630253681125197,-0.21180651438077103,0.29239723274064006,0.0,0.0,0.0,0.0,0.24143676806189623,False
