generation,best_fitness,avg_fitness
1,-1.5131469539919977,-2.9510252369934145e+29
2,-0.6850785421698626,-5.864384595799653e+27
3,-1.3114718729137693,-2.5399271488258338e+28
4,-1.3114718729137693,-1.8539799005097706
5,-1.3035185157995384,-1.765242851261323
6,-1.3035185157995384,-1.5393628474619196
7,-0.48100844931868475,-1.8882024558293913
8,-0.48100844931868475,-1.662206190088834
9,-0.48100844931868475,-5.932936632696174e+27
10,-0.48100844931868475,-6.283913160152755e+27
11,-0.48100844931868475,-1.395397360183452
12,-0.48100844931868475,-1.2738518792765654e+27
13,-0.48100844931868475,-1.0814571678871476
14,-0.48100844931868475,-0.6672384142795835
15,-0.48100844931868475,-2.444562812673592e+26
16,-0.48100844931868475,-0.4810084493186848
17,-0.45095570506450866,-6.842031021318657e+27
18,-0.45095570506450866,-0.5303475616756745
19,-0.45095570506450866,-0.5807384614279691
20,-0.45095570506450866,-0.6292909502327484
21,-0.45095570506450866,-0.4980231436669223
22,-0.45095570506450866,-0.810108134780113
23,-0.45095570506450866,-0.5299423955031745
24,-0.45095570506450866,-0.47978329646574996
25,-0.45095570506450866,-5.26369241624588e+26
26,-0.45095570506450866,-0.49838980576877306
27,-0.45095570506450866,-7.665083457431753e+27
28,-0.45095570506450866,-0.5984657460355037
29,-0.45095570506450866,-1.280879415631712e+26
30,-0.45095570506450866,-1.277181757373104
