rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'max_iter': 200, 'n_components': 3, 'scale': True}",0.7155781947993223,0.6200838158805553,0.2709094755222095,0.0,0.0,0.0,0.0,0.095494378918767,True
2,"{'max_iter': 500, 'n_components': 3, 'scale': True}",0.7155781947993223,0.6200838158805553,0.2709094755222095,0.0,0.0,0.0,0.0,0.095494378918767,False
3,"{'max_iter': 200, 'n_components': 4, 'scale': False}",0.7156727152702551,0.6199802653276386,0.2702482742933487,0.0,0.0,0.0,0.0,0.0956924499426165,False
4,"{'max_iter': 500, 'n_components': 4, 'scale': False}",0.7156727152702551,0.6199802653276386,0.2702482742933487,0.0,0.0,0.0,0.0,0.0956924499426165,False
5,"{'max_iter': 200, 'n_components': 4, 'scale': True}",0.7156727152702552,0.6199802653276378,0.27024827429334847,0.0,0.0,0.0,0.0,0.09569244994261739,False
6,"{'max_iter': 500, 'n_components': 4, 'scale': True}",0.7156727152702552,0.6199802653276378,0.27024827429334847,0.0,0.0,0.0,0.0,0.09569244994261739,False
7,"{'max_iter': 200, 'n_components': 3, 'scale': False}",0.7151363096630622,0.6193200019268243,0.28294973356888736,0.0,0.0,0.0,0.0,0.09581630773623784,False
8,"{'max_iter': 500, 'n_components': 3, 'scale': False}",0.7151363096630622,0.6193200019268243,0.28294973356888736,0.0,0.0,0.0,0.0,0.09581630773623784,False
9,"{'max_iter': 200, 'n_components': 2, 'scale': True}",0.7141965533105624,0.6134315044648295,0.29170319674547135,0.0,0.0,0.0,0.0,0.1007650488457329,False
10,"{'max_iter': 500, 'n_components': 2, 'scale': True}",0.7141965533105624,0.6134315044648295,0.29170319674547135,0.0,0.0,0.0,0.0,0.1007650488457329,False
11,"{'max_iter': 200, 'n_components': 2, 'scale': False}",0.7116779051973243,0.6077283794145181,0.3015178428357121,0.0,0.0,0.0,0.0,0.10394952578280625,False
12,"{'max_iter': 500, 'n_components': 2, 'scale': False}",0.7116779051973243,0.6077283794145181,0.3015178428357121,0.0,0.0,0.0,0.0,0.10394952578280625,False
13,"{'max_iter': 200, 'n_components': 1, 'scale': True}",0.6311163559509347,0.5766033806750166,0.2655830511783396,0.0,0.0,0.0,0.0,0.05451297527591814,False
14,"{'max_iter': 500, 'n_components': 1, 'scale': True}",0.6311163559509347,0.5766033806750166,0.2655830511783396,0.0,0.0,0.0,0.0,0.05451297527591814,False
15,"{'max_iter': 200, 'n_components': 1, 'scale': False}",0.6330573739622826,0.5282703426111947,0.3023466498136812,0.0,0.0,0.0,0.0,0.10478703135108791,False
16,"{'max_iter': 500, 'n_components': 1, 'scale': False}",0.6330573739622826,0.5282703426111947,0.3023466498136812,0.0,0.0,0.0,0.0,0.10478703135108791,False
