generation,best_fitness,avg_fitness
1,-1.2585781937203566,-1.6486869148047996e+28
2,-1.1460584939320742,-1.998892364461617e+26
3,-1.1460584939320742,-2.0489766979555735
4,-1.1460584939320742,-4.3731941232155467e+27
5,-1.1460584939320742,-1.194137944086864e+28
6,-1.1460584939320742,-1.3109894592311537
7,-1.1460584939320742,-1.3020837739995952
8,-1.1460584939320742,-1.1460584939320742
9,-1.1460584939320742,-1.1460584939320742
10,-1.1460584939320742,-7.414887354104174e+26
11,-1.1460584939320742,-1.15586005056963
12,-1.1460584939320742,-1.2048259968361272
13,-1.1460584939320742,-1.1603548478039643
14,-1.1460584939320742,-1.1881493580425073
15,-1.1460584939320742,-1.1845466614825346
16,-1.1460584939320742,-1.1581901779505674
17,-1.1460584939320742,-3.245116937693933e+26
18,-1.1460584939320742,-1.1956928367927484
19,-1.1460584939320742,-1.1706511515890536
20,-1.1460584939320742,-1.176174616549253
21,-1.1460584939320742,-1.2141319093306373
22,-1.1460584939320742,-1.2044270700170803
23,-1.1460584939320742,-1.2095273548394012
24,-1.1460584939320742,-1.160889020918746
25,-1.1460584939320742,-1.269677340484814
26,-1.1460584939320742,-1.1661226233531143
27,-1.1460584939320742,-1.2215631511219818
28,-1.1460584939320742,-3.245116937693932e+26
29,-1.1460584939320742,-1.191163593174641
30,-1.1460584939320742,-1.1695447756299826
