generation,best_fitness,avg_fitness
1,-1.7531963568413318,-5.905282271944347
2,-1.7531963568413318,-3.936487350990475
3,-1.7531963568413318,-3.3251219779284558
4,-1.7531963568413318,-2.559933016073891
5,-1.7531963568413318,-2.194371183228415
6,-1.7531963568413318,-2.0898184626318987
7,-1.7531963568413318,-2.0249519704863763
8,-1.7531963568413318,-2.000479158162276
9,-1.7531963568413318,-2.1247002894057574
10,-1.7531963568413318,-1.7531963568413318
11,-1.7531963568413318,-1.9508890224254112
12,-1.7531963568413318,-1.795671818029358
13,-1.7531963568413318,-1.7531963568413318
14,-1.7531963568413318,-2.132568407471279
15,-1.7531963568413318,-2.0935265075105485
16,-1.7531963568413318,-2.6103237076950796
17,-1.7531963568413318,-2.0392479542414916
18,-1.7531963568413318,-2.1911482614313487
19,-1.7531963568413318,-1.7531963568413318
20,-1.7531963568413318,-1.880090573396415
21,-1.7531963568413318,-1.8984173454152695
22,-1.7531963568413318,-1.9238823461160848
23,-1.7531963568413318,-1.944600745632832
24,-1.7531963568413318,-1.7531963568413318
25,-1.7531963568413318,-2.0848762726268224
26,-1.7531963568413318,-2.0502115733018558
27,-1.7531963568413318,-1.9367782244805312
28,-1.7531963568413318,-1.981846445406303
29,-1.7531963568413318,-1.7531963568413318
30,-1.7531963568413318,-2.068133389336437
