rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.3799588523063423,0.26184000458882356,0.4408105142903149,0.0,0.0,0.0,0.0,0.11811884771751874,True
2,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.3799588523063423,0.26184000458882356,0.4408105142903149,0.0,0.0,0.0,0.0,0.11811884771751874,False
3,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'linear'}",0.3799588523063423,0.26184000458882356,0.4408105142903149,0.0,0.0,0.0,0.0,0.11811884771751874,False
4,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.32845999629978384,0.2180435607445655,0.41491394422347233,0.0,0.0,0.0,0.0,0.11041643555521835,False
5,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.32845999629978384,0.2180435607445655,0.41491394422347233,0.0,0.0,0.0,0.0,0.11041643555521835,False
6,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.32845999629978384,0.2180435607445655,0.41491394422347233,0.0,0.0,0.0,0.0,0.11041643555521835,False
7,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.38021757748274554,0.19976464811970013,0.2943914135875375,0.0,0.0,0.0,0.0,0.1804529293630454,False
8,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.38021757748274554,0.19976464811970013,0.2943914135875375,0.0,0.0,0.0,0.0,0.1804529293630454,False
9,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'linear'}",0.38021757748274554,0.19976464811970013,0.2943914135875375,0.0,0.0,0.0,0.0,0.1804529293630454,False
10,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.31325814314228306,0.14919999787938792,0.42674648099911544,0.0,0.0,0.0,0.0,0.16405814526289514,False
11,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.31325814314228306,0.14919999787938792,0.42674648099911544,0.0,0.0,0.0,0.0,0.16405814526289514,False
12,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear'}",0.31325814314228306,0.14919999787938792,0.42674648099911544,0.0,0.0,0.0,0.0,0.16405814526289514,False
13,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.34485263762519763,0.12348584202465758,0.34651858815710324,0.0,0.0,0.0,0.0,0.22136679560054007,False
14,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.34485263762519763,0.12348584202465758,0.34651858815710324,0.0,0.0,0.0,0.0,0.22136679560054007,False
15,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.34485263762519763,0.12348584202465758,0.34651858815710324,0.0,0.0,0.0,0.0,0.22136679560054007,False
16,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.33275676561030204,0.10361183138322856,0.3497272420650897,0.0,0.0,0.0,0.0,0.2291449342270735,False
17,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.33275676561030204,0.10361183138322856,0.3497272420650897,0.0,0.0,0.0,0.0,0.2291449342270735,False
18,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear'}",0.33275676561030204,0.10361183138322856,0.3497272420650897,0.0,0.0,0.0,0.0,0.2291449342270735,False
19,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'poly'}",0.049846585384547046,-0.16523778076929677,0.2570611708360473,0.0,0.0,0.0,0.0,0.2150843661538438,False
20,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'poly'}",0.04906624280598797,-0.1846692878944027,0.2707787093839041,0.0,0.0,0.0,0.0,0.23373553070039066,False
21,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.04637411155917388,-0.18605256486793598,0.2623346051212851,0.0,0.0,0.0,0.0,0.23242667642710985,False
22,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'poly'}",-0.028816986389069134,-0.27118800611712585,0.30965611260237086,0.0,0.0,0.0,0.0,0.24237101972805672,False
23,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'poly'}",-0.03671586172132026,-0.2854980484152862,0.32172905924300915,0.0,0.0,0.0,0.0,0.24878218669396593,False
24,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'poly'}",-0.03695675190706389,-0.28593264038419847,0.32209519359226235,0.0,0.0,0.0,0.0,0.2489758884771346,False
25,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'poly'}",-0.04458397721049885,-0.36283410090019175,0.3524889056460365,0.0,0.0,0.0,0.0,0.3182501236896929,False
26,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",-0.04458397721049889,-0.3628341009001919,0.3524889056460364,0.0,0.0,0.0,0.0,0.318250123689693,False
27,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.048780293855861176,-0.3691020640463063,0.35418381104505614,0.0,0.0,0.0,0.0,0.3203217701904451,False
28,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'poly'}",-0.048780293855861225,-0.36910206404630647,0.3541838110450569,0.0,0.0,0.0,0.0,0.3203217701904452,False
29,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'poly'}",-0.04890782295198113,-0.3692904438481672,0.3542350496713224,0.0,0.0,0.0,0.0,0.3203826208961861,False
30,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.04890782295198126,-0.3692904438481675,0.3542350496713229,0.0,0.0,0.0,0.0,0.32038262089618624,False
31,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'poly'}",0.08993929959862652,-0.6953390383148493,0.983036036790026,0.0,0.0,0.0,0.0,0.7852783379134759,False
32,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.10155529337204403,-0.8311521058801745,1.2907972552581886,0.0,0.0,0.0,0.0,0.9327073992522186,False
33,"{'C': 3.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'poly'}",0.08875555302879608,-0.8385592830687727,1.2635462372230488,0.0,0.0,0.0,0.0,0.9273148360975688,False
34,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'poly'}",0.10868461317919205,-0.8607947725940805,1.3120936594056922,0.0,0.0,0.0,0.0,0.9694793857732726,False
35,"{'C': 3.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.09905087093453029,-0.9013536574236035,1.4296716040017712,0.0,0.0,0.0,0.0,1.0004045283581338,False
