generation,best_fitness,avg_fitness
1,-1.391407340530855,-2.993694130240092
2,-0.10087854274156764,-2.2421339666851834
3,-0.10087854274156764,-2.1648821574898367
4,-0.10087854274156764,-1.8376897053702432
5,-0.10087854274156764,-1.4632346121540576
6,-0.10087854274156764,-1.4522596384138802
7,-0.10087854274156764,-1.1441636970028461
8,-0.10087854274156764,-0.344621653516021
9,-0.10087854274156764,-0.19356911777267993
10,-0.10087854274156764,-0.26215160522941583
11,-0.10087854274156764,-0.15601424910181655
12,-0.10087854274156764,-0.22454231727364957
13,-0.10087854274156764,-0.1566534985721475
14,-0.10087854274156764,-0.20049168306422613
15,-0.10087854274156764,-0.22437601024289044
16,-0.10087854274156764,-0.21170166700867363
17,-0.10087854274156764,-0.1969344681507112
18,-0.10087854274156764,-0.29031388520003604
19,-0.10087854274156764,-0.18440119418554338
20,-0.10087854274156764,-0.23396064351098095
21,-0.10087854274156764,-0.31032218308999493
22,-0.10087854274156764,-0.1365675596489131
23,-0.10087854274156764,-0.1535935835214471
24,-0.10087854274156764,-0.24598067550812222
25,-0.10087854274156764,-0.24928856651806686
26,-0.10087854274156764,-0.10087854274156766
27,-0.10087854274156764,-0.10087854274156766
28,-0.10087854274156764,-0.3270861660110406
29,-0.10087854274156764,-0.13695187170923945
30,-0.10087854274156764,-0.26800924559977424
