generation,best_fitness,avg_fitness
1,-1.522773318044751,-5.062354027615485
2,-1.4461047565451375,-4.04488246418995
3,-1.0492347854766604,-3.4343200830447165
4,-0.9046906538801551,-2.89922146148759
5,-0.9046906538801546,-2.0817514245493838
6,-0.9046906538801546,-1.6456730735194378
7,-1.0027437608704064,-1.4195642185738846
8,-1.0027437608704044,-1.2718663900978335
9,-0.9949945624112617,-1.095337736537599
10,-0.9086628615934353,-1.128005309825028
11,-0.7957512620035155,-1.1355241181230977
12,-0.7899185009256267,-1.0381240893101256
13,-0.7899185009256267,-1.3102700010151218
14,-0.7899185009256262,-1.036567505446576
15,-0.7899185009256262,-1.1604608558600118
16,-0.7899185009256252,-0.8844574705518028
17,-0.7899185009256258,-0.9353528373686101
18,-0.7899185009256259,-0.8152261607362496
19,-0.7899185009256261,-0.8781073551292127
20,-0.789918500925626,-0.7899185009256269
21,-0.789918500925626,-0.8142009226321499
22,-0.7899185009256261,-0.8672048043828099
23,-0.7899185009256258,-0.9685759015282526
24,-0.7899185009256258,-0.9204500562348928
25,-0.7899185009256259,-1.0661687993595657
26,-0.7899185009256255,-0.8087038459738181
27,-0.7899185009256255,-0.8619457420472595
28,-0.7899185009256255,-0.9153178886781749
29,-0.7899185009256259,-0.8305910871228595
30,-0.7899185009256261,-1.063251994741345
