rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7246535807532828,0.4889083583748362,0.27654985580873437,0.0,0.0,0.0,0.0,0.23574522237844658,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 1.0, 'max_samples': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7243941458492793,0.48860506444895824,0.27664605931898417,0.0,0.0,0.0,0.0,0.23578908140032107,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_samples': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.6922106569462092,0.4507165770341417,0.2637377537027593,0.0,0.0,0.0,0.0,0.2414940799120675,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.7, 'max_samples': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.6905741094460621,0.44802935691463286,0.2625846884593634,0.0,0.0,0.0,0.0,0.24254475253142926,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7702235551114185,0.44375945158811625,0.2432289550083879,0.0,0.0,0.0,0.0,0.32646410352330224,False
6,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7631367084838259,0.4424564274626211,0.24262454839417252,0.0,0.0,0.0,0.0,0.32068028102120477,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7915628387162881,0.3981014105931432,0.34797327572875186,0.0,0.0,0.0,0.0,0.3934614281231449,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7876230256036226,0.39672595177550957,0.3461803476271318,0.0,0.0,0.0,0.0,0.39089707382811306,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6470544022690847,0.3897393427886124,0.24470651424854645,0.0,0.0,0.0,0.0,0.25731505948047234,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6470544022690847,0.389739342788612,0.24470651424854664,0.0,0.0,0.0,0.0,0.25731505948047273,False
