generation,best_fitness,avg_fitness
1,-1.204234829121678,-1.8676524992119232
2,-1.0816699856110534,-1.5332786721640275
3,-1.0816699856110525,-1.4141079327130128
4,-0.9988772248845624,-1.3003196378838588
5,-0.9988772248845628,-1.307716301907297
6,-0.9988772248845622,-1.1565042592708439
7,-0.9988772248845622,-1.1667123369253973
8,-0.9988772248845622,-1.1227732697514474
9,-0.9988772248845622,-1.0106324403469058
10,-0.9988772248845617,-1.0161859924042087
11,-0.9988772248845604,-1.0074759331588943
12,-0.9988772248845622,-1.052078846752897
13,-0.9988772248845622,-1.0232949074608921
14,-0.9988772248845615,-1.0183469263637024
15,-0.9988772248845615,-1.0522532169228793
16,-0.9988772248845615,-1.0222401582793403
17,-0.9988772248845615,-1.0051818421170855
18,-0.9988772248845615,-1.0412869646776002
19,-0.9988772248845615,-1.0062164043532495
20,-0.9988772248845615,-1.0620632178408842
21,-0.9988772248845615,-1.04335962030682
22,-0.9988772248845615,-1.0370979490478738
23,-0.9988772248845615,-1.0836288757237929
24,-0.9988772248845615,-1.021431648905132
25,-0.9988772248845615,-1.0372693582324581
26,-0.9988772248845615,-1.0146482378835189
27,-0.9988772248845612,-1.030557249181965
28,-0.9988772248845619,-1.011081166195388
29,-0.9988772248845622,-1.0283686333775253
30,-0.9988772248845622,-1.0275011686521294
