rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8383391182831155,0.6635227190075061,0.15270831675283061,0.0,0.0,0.0,0.0,0.17481639927560932,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8366617082801611,0.6625554867755996,0.15464543227539773,0.0,0.0,0.0,0.0,0.17410622150456145,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 400}",0.8408194018666062,0.6573826007376656,0.1766719116870202,0.0,0.0,0.0,0.0,0.18343680112894056,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 400}",0.8388427249402934,0.6563037923911832,0.17774657237714547,0.0,0.0,0.0,0.0,0.18253893254911024,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8171871357083205,0.6503482880796351,0.16534447735681124,0.0,0.0,0.0,0.0,0.1668388476286854,False
6,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8168448738334428,0.649365484616692,0.16605151388095396,0.0,0.0,0.0,0.0,0.16747938921675087,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",0.8187188146551232,0.6401098818514089,0.19360495047869655,0.0,0.0,0.0,0.0,0.17860893280371426,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",0.8182339867254148,0.6393865028052004,0.1939425032039573,0.0,0.0,0.0,0.0,0.17884748392021443,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.6712080028511253,0.4753504465829401,0.23306822260858007,0.0,0.0,0.0,0.0,0.19585755626818513,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.6712080028511254,0.4753504465829401,0.23306822260858015,0.0,0.0,0.0,0.0,0.19585755626818524,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.6712080028511253,0.47535044658293996,0.23306822260858,0.0,0.0,0.0,0.0,0.1958575562681853,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.6712080028511254,0.47535044658293985,0.23306822260858034,0.0,0.0,0.0,0.0,0.19585755626818552,False
13,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 400}",0.6724570276248579,0.4713534024150222,0.24952767112438923,0.0,0.0,0.0,0.0,0.2011036252098357,False
14,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 400}",0.6724570276248579,0.47135340241502216,0.2495276711243893,0.0,0.0,0.0,0.0,0.20110362520983577,False
15,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 400}",0.6724570276248577,0.47135340241502205,0.2495276711243896,0.0,0.0,0.0,0.0,0.20110362520983566,False
16,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 0.7, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 400}",0.6724570276248578,0.47135340241502205,0.2495276711243896,0.0,0.0,0.0,0.0,0.20110362520983577,False
