compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,7.649144,3.386532,1,test
compound_1,1,7.974702,3.4835947,1,train
compound_2,2,10.083684,0.9331179,2,train
compound_3,3,9.5337715,1.9477649,0,train
compound_4,4,8.450343,3.1916516,1,train
compound_5,5,9.045519,3.2195475,0,test
compound_6,6,9.141628,2.46432,0,train
compound_7,7,9.593556,2.8512104,0,train
compound_8,8,9.814575,2.3768966,0,train
compound_9,9,10.205303,2.239253,0,test
compound_10,10,8.496195,3.7717469,1,train
compound_11,11,8.397811,2.6319928,1,train
compound_12,12,8.716013,2.1535375,1,test
compound_13,13,10.203892,3.1263223,0,train
compound_14,14,9.832049,3.4159184,0,train
compound_15,15,7.5893865,2.0322342,1,train
compound_16,16,7.6796803,2.9018543,1,train
compound_17,17,7.810236,2.4818907,1,train
compound_18,18,7.3069425,2.333974,1,test
compound_19,19,8.377821,1.7186861,1,train
compound_20,20,9.723309,0.6320816,2,test
compound_21,21,9.300652,0.44227841,2,train
compound_22,22,10.297396,0.77148986,2,train
compound_23,23,9.860441,-0.033490635,2,train
compound_24,24,10.23129,0.18190347,2,test
compound_25,25,9.536521,1.0762684,2,train
compound_26,26,10.182161,1.3881941,2,train
