compound_id,split,leverage,standardized_residual,h_star,applicability_domain,in_domain
compound_3,train,0.11720584342386955,-0.493038822643173,0.6,in_domain,True
compound_14,train,0.45256144881462806,-0.5024561639798066,0.6,in_domain,True
compound_6,train,0.11895209646263791,0.5017179678269252,0.6,in_domain,True
compound_8,train,0.12111274808517455,-1.2563509337662466,0.6,in_domain,True
compound_7,train,0.1202245026255111,-0.5026824256685033,0.6,in_domain,True
compound_13,train,0.45256144881462806,0.7509051373375127,0.6,in_domain,True
compound_19,train,0.12145564627889219,0.7299022957448701,0.6,in_domain,True
compound_4,train,0.26527232801190326,-0.5011997628772449,0.6,in_domain,True
compound_1,train,0.315013409981556,-0.5011474159021291,0.6,in_domain,True
compound_17,train,0.133022236340017,0.39135723815349255,0.6,in_domain,True
compound_11,train,0.23095484278344092,-0.5012151516789197,0.6,in_domain,True
compound_16,train,0.15072966623400202,-0.5002100814744928,0.6,in_domain,True
compound_10,train,0.2655888458058129,0.7015629510270918,0.6,in_domain,True
compound_15,train,0.08436908577320855,0.43510654070200067,0.6,in_domain,True
compound_2,train,0.1460821276927467,0.2984679221379851,0.6,in_domain,True
compound_26,train,0.1611611307156609,-0.30069266493751173,0.6,in_domain,True
compound_21,train,0.2473086620077267,0.043660724285818533,0.6,in_domain,True
compound_23,train,0.17100434007398496,-0.2730007963750003,0.6,in_domain,True
compound_22,train,0.1734435306439643,-0.5012151129372281,0.6,in_domain,True
compound_25,train,0.1519760594306339,0.5003479961829318,0.6,in_domain,True
compound_5,test,0.11699131826217457,1.2545262496649205,0.6,in_domain,True
compound_9,test,0.12176678856505561,-2.009796238751496,0.6,in_domain,True
compound_12,test,0.23036938880502533,-2.5525643131971725,0.6,in_domain,True
compound_0,test,0.2679827477929747,0.08427945807946989,0.6,in_domain,True
compound_18,test,0.12552235152534907,1.2009824411862726,0.6,in_domain,True
compound_20,test,0.6327804256170306,2.646718713132151,0.6,high_leverage,False
compound_24,test,2.982945444340698,0.3818088419524175,0.6,high_leverage,False
