n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.8569043745717676,0.419544201825839,0.18568503399452319,['BCUTd-1h']
2,0.9135009030785581,0.5297976013128347,0.052345774068149865,"['BCUTd-1h', 'Xc-5dv']"
3,0.9161692947634442,0.5848716764780846,0.06443926881490217,"['BCUTd-1h', 'C3SP3', 'Xc-5dv']"
4,0.9259492705489456,0.5995077302754662,0.0294496908233253,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-5dv']"
5,0.9273759024508482,0.6232817083342213,0.04694929530914978,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-5dv', 'PEOE_VSA5']"
6,0.9255732224068535,0.6417452076742707,0.05261645467443387,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'PEOE_VSA5']"
7,0.9371310948012206,0.6451461001777592,0.08194906779610393,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'PEOE_VSA5', 'SlogP_VSA11']"
8,0.9341651813239624,0.6690517095603993,0.062657037133915,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11']"
9,0.9446201517245119,0.6740068052032131,0.07230598100610755,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11']"
10,0.9392948771735992,0.682513882542763,0.056658334270427546,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11']"
11,0.9396611907158305,0.6808572031653327,0.05485816201002757,"['GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'n10FRing']"
12,0.9385216711498169,0.6863736849242393,0.06663571364399498,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'n10FRing']"
13,0.9377928947901064,0.6913776326298983,0.05924205646104221,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'n10FRing', 'n11FAHRing']"
14,0.9307537012124607,0.680727826779431,0.05472262001646591,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing']"
15,0.9350464863973189,0.6800222952883554,0.06422018407755306,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter']"
16,0.9375048501447341,0.6920673927016303,0.0604498920340235,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'NdsssP', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter']"
17,0.9381461228100347,0.6932592287784125,0.054189889452309854,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'NdsssP', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter']"
18,0.9373177040446315,0.6831008182010326,0.04512155490466426,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'NdsssP', 'SssNH', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter', 'SRW09']"
19,0.9344148963555549,0.6800858451694303,0.0506598710861905,"['nBase', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'NdsssP', 'SssNH', 'Lipinski', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter', 'SRW09']"
20,0.9357801998306694,0.6833933523174746,0.04022118194068057,"['nBase', 'ATSC7v', 'GATS7se', 'BCUTd-1h', 'C3SP3', 'Xc-4d', 'Xc-5dv', 'NdsssP', 'SssNH', 'Lipinski', 'PEOE_VSA1', 'PEOE_VSA5', 'SlogP_VSA1', 'SlogP_VSA10', 'SlogP_VSA11', 'nFRing', 'n10FRing', 'n11FAHRing', 'Diameter', 'SRW09']"
