compound_id,smiles,pIC50
C001,CCO,5.2
C002,CC(C)O,5.5
C003,c1ccccc1,4.8
C004,CC(=O)O,5.0
C005,CCN,5.3
C006,CCC,5.1
C007,CCCC,4.9
C008,CC(C)C,5.4
C009,c1ccc(O)cc1,6.0
C010,c1ccc(N)cc1,5.8
C011,C1CCCCC1,4.7
C012,CCOC,5.2
C013,CC(C)OC,5.3
C014,CCCOC,5.0
C015,CC(=O)OC,4.9
C016,CNC,5.6
C017,CCNC,5.5
C018,c1ccncc1,5.7
C019,c1ccc(Cl)cc1,5.4
C020,c1ccc(Br)cc1,5.3
C021,CCCl,5.1
C022,CCBr,5.0
C023,CCI,4.9
C024,CCCCCC,4.6
C025,CCCCCCC,4.5
C026,CC(C)(C)O,5.5
C027,CC(C)CC,5.2
C028,c1ccc(C)cc1,5.1
C029,c1ccc(CO)cc1,5.6
C030,c1ccccc1O,5.9
