compound_id,smiles,pIC50,original_row_index,raw_smiles,raw_activity,canonical_smiles,invalid_smiles
compound_0,CCO,5.2,0,compound_0,compound_0,,True
compound_1,CC(C)O,5.5,1,compound_1,compound_1,,True
compound_2,c1ccccc1,4.8,2,compound_2,compound_2,,True
compound_3,CC(=O)O,5.0,3,compound_3,compound_3,,True
compound_4,CCN,5.3,4,compound_4,compound_4,,True
compound_5,CCC,5.1,5,compound_5,compound_5,,True
compound_6,CCCC,4.9,6,compound_6,compound_6,,True
compound_7,CC(C)C,5.4,7,compound_7,compound_7,,True
compound_8,c1ccc(O)cc1,6.0,8,compound_8,compound_8,,True
compound_9,c1ccc(N)cc1,5.8,9,compound_9,compound_9,,True
compound_10,C1CCCCC1,4.7,10,compound_10,compound_10,,True
compound_11,CCOC,5.2,11,compound_11,compound_11,,True
compound_12,CC(C)OC,5.3,12,compound_12,compound_12,,True
compound_13,CCCOC,5.0,13,compound_13,compound_13,,True
compound_14,CC(=O)OC,4.9,14,compound_14,compound_14,,True
compound_15,CNC,5.6,15,compound_15,compound_15,,True
compound_16,CCNC,5.5,16,compound_16,compound_16,,True
compound_17,c1ccncc1,5.7,17,compound_17,compound_17,,True
compound_18,c1ccc(Cl)cc1,5.4,18,compound_18,compound_18,,True
compound_19,c1ccc(Br)cc1,5.3,19,compound_19,compound_19,,True
compound_20,CCCl,5.1,20,compound_20,compound_20,,True
compound_21,CCBr,5.0,21,compound_21,compound_21,,True
compound_22,CCI,4.9,22,compound_22,compound_22,,True
compound_23,CCCCCC,4.6,23,compound_23,compound_23,,True
compound_24,CCCCCCC,4.5,24,compound_24,compound_24,,True
compound_25,CC(C)(C)O,5.5,25,compound_25,compound_25,,True
compound_26,CC(C)CC,5.2,26,compound_26,compound_26,,True
compound_27,c1ccc(C)cc1,5.1,27,compound_27,compound_27,,True
compound_28,c1ccc(CO)cc1,5.6,28,compound_28,compound_28,,True
compound_29,c1ccccc1O,5.9,29,compound_29,compound_29,,True
