generation,best_fitness,avg_fitness
1,-10.406356390885545,-12.82628284018639
2,-10.233074915269185,-12.138893885254172
3,-9.931289283721908,-11.566497495534401
4,-9.846656490472938,-10.882430572286895
5,-9.846656490472935,-10.616023872351873
6,-9.48692333019903,-10.333921464956216
7,-9.48692333019903,-10.335989135674998
8,-9.486923330199026,-9.922708981797378
9,-9.486923330199025,-9.836734018487117
10,-8.436875068500203,-9.834403162772338
11,-8.436875068500202,-9.97342612273136
12,-8.436875068500202,-9.565139433504832
13,-8.436875068500202,-9.794572062649442
14,-8.436875068500202,-9.290857920107813
15,-8.034212454241384,-8.784997497413995
16,-8.034212454241384,-8.611286564354518
17,-8.034212454241384,-8.66510615519092
18,-8.034212454241386,-8.859096850128962
19,-8.034212454241384,-8.929028028076738
20,-8.034212454241384,-8.51005793216038
21,-8.034212454241384,-8.098648101054094
22,-8.034212454241384,-8.435419290896819
23,-8.034212454241384,-8.16314565360709
24,-8.034212454241384,-8.162976194953485
25,-8.034212454241384,-8.233686825263495
26,-8.034212454241384,-8.105555530523201
27,-8.034212454241384,-8.434583556349804
28,-8.034212454241384,-8.136820214387335
29,-8.034212454241384,-8.315296204427947
30,-8.034212454241384,-8.515757311035655
