rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6630328419563307,0.37177674893311213,0.10948311055556369,0.0,0.0,0.0,0.0,0.2912560930232186,True
2,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6618356342358072,0.36444053756322303,0.11284118370077123,0.0,0.0,0.0,0.0,0.2973950966725841,False
3,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5474978930015891,0.3285181236626948,0.10878116140390562,0.0,0.0,0.0,0.0,0.21897976933889435,False
4,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5452405658519777,0.32615503187877104,0.1072601651996245,0.0,0.0,0.0,0.0,0.21908553397320663,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",0.5009104604299878,0.31217574245576546,0.09726306132818506,0.0,0.0,0.0,0.0,0.1887347179742223,False
6,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 500}",0.49875365066145116,0.3099253574155306,0.0980903690342819,0.0,0.0,0.0,0.0,0.18882829324592054,False
7,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 200}",0.44149485766763574,0.2854321453552339,0.09645782290629823,0.0,0.0,0.0,0.0,0.15606271231240182,False
8,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 24, 'n_estimators': 500}",0.43871535997127176,0.28302291107608213,0.09584437608161248,0.0,0.0,0.0,0.0,0.15569244889518963,False
9,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 200}",0.40105350183822,0.2709151195507601,0.08027303672371759,0.0,0.0,0.0,0.0,0.13013838228745989,False
10,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 500}",0.4038028223588923,0.2672176529568728,0.08125309438039524,0.0,0.0,0.0,0.0,0.13658516940201954,False
