generation,best_fitness,avg_fitness
1,-7.7233779408789855,-9.764448676705252
2,-7.7233779408789855,-9.168078898964245
3,-7.723377940878984,-8.68367029126124
4,-7.687711481800281,-8.337911910080596
5,-7.68771148180028,-7.957672574811166
6,-7.68771148180028,-7.7572102974094665
7,-7.68771148180028,-7.768710998145524
8,-7.68771148180028,-7.694131444434448
9,-7.68771148180028,-7.701140659832268
10,-7.68771148180028,-7.716974500878102
11,-7.68771148180028,-7.764083022726766
12,-7.68771148180028,-7.74312055554864
13,-7.68771148180028,-7.687711481800282
14,-7.68771148180028,-7.687711481800282
15,-7.68771148180028,-7.73354814312852
16,-7.68771148180028,-7.712319489540902
17,-7.68771148180028,-7.737182519310572
18,-7.68771148180028,-7.700842690743005
19,-7.687711481800278,-7.726916367371679
20,-7.687711481800278,-7.774141910426449
21,-7.687711481800278,-7.687711481800282
22,-7.273409780039664,-7.709303537442367
23,-7.273409780039664,-7.730906299756325
24,-7.273409780039664,-7.616751909325019
25,-7.273409780039664,-7.497597277013401
26,-7.273409780039664,-7.281695814074879
27,-7.273409780039664,-7.319840323653961
28,-7.273409780039662,-7.273409780039665
29,-7.273409780039662,-7.314567209821762
30,-7.273409780039664,-7.294076441007303
