rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6725782818337447,0.4151357511399283,0.0555080723311252,0.0,0.0,0.0,0.0,0.2574425306938164,True
2,"{'bootstrap': False, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6725782818337447,0.4151357511399281,0.05550807233112521,0.0,0.0,0.0,0.0,0.25744253069381656,False
3,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6725782818337447,0.4151357511399281,0.055508072331125174,0.0,0.0,0.0,0.0,0.25744253069381656,False
4,"{'bootstrap': False, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.672454545112911,0.41356992834958184,0.05486415397274895,0.0,0.0,0.0,0.0,0.2588846167633292,False
5,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.672454545112911,0.4135699283495818,0.054864153972748964,0.0,0.0,0.0,0.0,0.25888461676332924,False
6,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.672454545112911,0.4135699283495818,0.054864153972748964,0.0,0.0,0.0,0.0,0.25888461676332924,False
7,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6537850246185918,0.4121164580723799,0.053483439948847286,0.0,0.0,0.0,0.0,0.24166856654621188,False
8,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6537850246185918,0.4121164580723799,0.05348343994884724,0.0,0.0,0.0,0.0,0.24166856654621188,False
9,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6537850246185919,0.4121164580723799,0.053483439948847286,0.0,0.0,0.0,0.0,0.241668566546212,False
10,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.6550469564360115,0.4113121023758037,0.05518991406818824,0.0,0.0,0.0,0.0,0.24373485406020784,False
11,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.6550469564360115,0.4113121023758037,0.055189914068188295,0.0,0.0,0.0,0.0,0.24373485406020784,False
12,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.6550469564360115,0.4113121023758037,0.05518991406818818,0.0,0.0,0.0,0.0,0.24373485406020784,False
13,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5964272809180906,0.38919231671826926,0.04857071303304441,0.0,0.0,0.0,0.0,0.20723496419982135,False
14,"{'bootstrap': False, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5964272809180906,0.3891923167182692,0.04857071303304444,0.0,0.0,0.0,0.0,0.2072349641998214,False
15,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5964272809180906,0.3891923167182692,0.048570713033044416,0.0,0.0,0.0,0.0,0.2072349641998214,False
16,"{'bootstrap': False, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5979227146397051,0.3879069811520301,0.05178366586672057,0.0,0.0,0.0,0.0,0.21001573348767505,False
17,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5979227146397051,0.3879069811520301,0.0517836658667206,0.0,0.0,0.0,0.0,0.21001573348767505,False
18,"{'bootstrap': False, 'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5979227146397051,0.38790698115203004,0.05178366586672057,0.0,0.0,0.0,0.0,0.2100157334876751,False
19,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5880197040267319,0.3849182503400105,0.04859251457045377,0.0,0.0,0.0,0.0,0.2031014536867214,False
20,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5880197040267319,0.38491825034001037,0.04859251457045379,0.0,0.0,0.0,0.0,0.2031014536867215,False
21,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.5880197040267318,0.38491825034001037,0.04859251457045374,0.0,0.0,0.0,0.0,0.2031014536867214,False
22,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5883408248613353,0.38329513645788194,0.05149023921303821,0.0,0.0,0.0,0.0,0.20504568840345339,False
23,"{'bootstrap': False, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5883408248613352,0.38329513645788194,0.051490239213038115,0.0,0.0,0.0,0.0,0.20504568840345327,False
24,"{'bootstrap': False, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 300}",0.5883408248613353,0.3832951364578819,0.05149023921303825,0.0,0.0,0.0,0.0,0.20504568840345344,False
25,"{'bootstrap': True, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.5599574329753328,0.38018525158130717,0.04789194937989711,0.0,0.0,0.0,0.0,0.17977218139402568,False
26,"{'bootstrap': True, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.5599574329753328,0.38018525158130717,0.047891949379897075,0.0,0.0,0.0,0.0,0.17977218139402568,False
27,"{'bootstrap': True, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 300}",0.5599574329753328,0.38018525158130717,0.047891949379897096,0.0,0.0,0.0,0.0,0.17977218139402568,False
28,"{'bootstrap': True, 'max_depth': 8, 'max_features': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5574453268974654,0.3779329428928154,0.04630786895623825,0.0,0.0,0.0,0.0,0.17951238400464997,False
29,"{'bootstrap': True, 'max_depth': 8, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5574453268974654,0.37793294289281537,0.04630786895623824,0.0,0.0,0.0,0.0,0.17951238400465003,False
30,"{'bootstrap': True, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5574453268974654,0.3779329428928153,0.04630786895623821,0.0,0.0,0.0,0.0,0.17951238400465008,False
31,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5620029387299204,0.37686750129434543,0.04605369807409703,0.0,0.0,0.0,0.0,0.18513543743557492,False
32,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5620029387299205,0.3768675012943454,0.04605369807409708,0.0,0.0,0.0,0.0,0.1851354374355751,False
