generation,best_fitness,avg_fitness
1,-8.280348667183436,-10.52904343113632
2,-8.256382763501238,-9.66138373236913
3,-8.23209688581804,-9.11538749336621
4,-7.957559673601929,-8.6346096707256
5,-7.957559673601929,-8.7146781310732
6,-7.957559673601929,-8.22203405535632
7,-7.957559673601929,-8.428155990473416
8,-7.957559673601929,-8.20275256064067
9,-7.892900468473844,-8.001041897904877
10,-7.892900468473844,-8.098468361473854
11,-7.8023673849261375,-8.11085922237455
12,-7.8023673849261375,-8.045672030574096
13,-7.8023673849261375,-7.946010905260267
14,-7.8023673849261375,-7.968938074135061
15,-7.8023673849261375,-7.910043276507061
16,-7.357432498050632,-7.9149572272900715
17,-7.357432498050632,-7.83664475544206
18,-7.357432498050632,-7.801564370055835
19,-7.357432498050632,-7.652065284021322
20,-7.357432498050632,-7.77877120901117
21,-7.357432498050632,-7.491646587208371
22,-7.357432498050632,-7.5457472977778295
23,-7.357432498050632,-7.437387461965624
24,-7.357432498050632,-7.471173274147224
25,-7.357432498050632,-7.555361713728668
26,-7.357432498050632,-7.357432498050632
27,-7.357432498050632,-7.6099423009436205
28,-7.357432498050632,-7.557573740951706
29,-7.357432498050632,-7.388266085415869
30,-7.357432498050632,-7.357432498050632
