rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.3824501396199139,0.20907902310231918,0.0,0.0,0.0,0.0,0.6175498603800861,True
2,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.3824501396199139,0.20907902310231918,0.0,0.0,0.0,0.0,0.6175498603800861,False
3,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.3824501396199139,0.20907902310231918,0.0,0.0,0.0,0.0,0.6175498603800861,False
4,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.381842380357296,0.20908900233925987,0.0,0.0,0.0,0.0,0.618157619642704,False
5,"{'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.381842380357296,0.20908900233925987,0.0,0.0,0.0,0.0,0.618157619642704,False
6,"{'metric': 'manhattan', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.381842380357296,0.20908900233925987,0.0,0.0,0.0,0.0,0.618157619642704,False
7,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",1.0,0.3698191087692019,0.21324283206546238,0.0,0.0,0.0,0.0,0.6301808912307981,False
8,"{'metric': 'euclidean', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",1.0,0.3698191087692019,0.21324283206546238,0.0,0.0,0.0,0.0,0.6301808912307981,False
9,"{'metric': 'euclidean', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",1.0,0.3698191087692019,0.21324283206546238,0.0,0.0,0.0,0.0,0.6301808912307981,False
10,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",1.0,0.36936093578001594,0.21313246191292323,0.0,0.0,0.0,0.0,0.6306390642199841,False
