generation,best_fitness,avg_fitness
1,-11.396205009797438,
2,-11.396205009797438,
3,-11.396205009797438,-12.347137358299882
4,-11.396205009797438,-11.942798969469054
5,-11.396205009797438,-11.452414644720566
6,-11.396205009797438,-11.527713185322195
7,-11.396205009797438,-11.406001458799942
8,-11.396205009797438,-11.396205009797438
9,-11.396205009797438,-13.63664166871406
10,-11.396205009797438,-11.545388762396822
11,-11.396205009797438,-11.435390582567715
12,-11.396205009797438,-11.546543750846292
13,-11.396205009797438,-11.42944047901468
14,-11.396205009797438,-11.396205009797438
15,-10.13063810745849,-11.397235206337315
16,-10.13063810745849,-11.41119253363545
17,-10.13063810745849,-11.279105870486587
18,-10.13063810745849,
19,-10.13063810745849,
20,-10.13063810745849,-12.863731833207089
21,-10.13063810745849,-10.130638107458488
22,-10.13063810745849,-10.204613744575063
23,-10.13063810745849,-10.190665571482993
24,-10.13063810745849,-10.257873590811984
25,-10.13063810745849,
26,-10.13063810745849,
27,-10.13063810745849,-10.45468255956591
28,-10.13063810745849,-10.35004921011092
29,-10.13063810745849,-10.130638107458488
30,-10.13063810745849,-10.246643523800524
