generation,best_fitness,avg_fitness
1,-9.096691643222654,-10.155583655845012
2,-8.94157960039833,-2.4354266973913744e+28
3,-8.94157960039833,-9.580541349386914
4,-8.94157960039833,-9.411334564143605
5,-8.623701145913174,-9.298620794053809
6,-8.623701145913174,-9.072275268537663
7,-8.623701145913174,-4.972540683085277e+24
8,-8.623701145913174,-1.726790500463081e+26
9,-8.623701145913174,-8.912027942978908
10,-8.623701145913174,-8.846042092505964
11,-8.623701145913174,-8.679367002436639
12,-8.623701145913174,-8.656421597745103
13,-8.623701145913174,-8.709172639248484
14,-8.623701145913174,-8.667864775569335
15,-8.623701145913174,-1.726790500463081e+26
16,-8.623701145913174,-8.62778354290829
17,-8.623701145913174,-8.716058977918555
18,-8.623701145913174,-8.650887430200292
19,-8.623701145913174,-8.663006587014348
20,-8.623701145913174,-8.623701145913174
21,-8.623701145913174,-8.623701145913174
22,-8.623701145913174,-8.659409291518951
23,-8.623701145913174,-8.623701145913174
24,-8.623701145913174,-8.710767975392653
25,-8.623701145913174,-2.573843745565629e+25
26,-8.623701145913174,-8.623701145913174
27,-8.623701145913174,-8.716031285285164
28,-8.623701145913174,-8.623701145913174
29,-8.623701145913174,-8.640184547621303
30,-8.623701145913174,-8.69018904906576
