rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'max_iter': 100, 'n_components': 3, 'scale': True}",0.3773270105951611,0.3267702526075908,0.14252984517987552,0.0,0.0,0.0,0.0,0.05055675798757031,True
2,"{'max_iter': 100, 'n_components': 3, 'scale': False}",0.3773270105951611,0.3267702526075908,0.14252984517987555,0.0,0.0,0.0,0.0,0.05055675798757031,False
3,"{'max_iter': 200, 'n_components': 3, 'scale': True}",0.3773270105951611,0.3267702526075908,0.14252984517987552,0.0,0.0,0.0,0.0,0.05055675798757031,False
4,"{'max_iter': 200, 'n_components': 3, 'scale': False}",0.3773270105951611,0.3267702526075908,0.14252984517987555,0.0,0.0,0.0,0.0,0.05055675798757031,False
5,"{'max_iter': 100, 'n_components': 2, 'scale': False}",0.3688583934132875,0.31628437946934107,0.13924922418272034,0.0,0.0,0.0,0.0,0.05257401394394645,False
6,"{'max_iter': 200, 'n_components': 2, 'scale': False}",0.3688583934132875,0.31628437946934107,0.13924922418272034,0.0,0.0,0.0,0.0,0.05257401394394645,False
7,"{'max_iter': 100, 'n_components': 2, 'scale': True}",0.3684392394419826,0.3154417803772492,0.1385692502229654,0.0,0.0,0.0,0.0,0.05299745906473341,False
8,"{'max_iter': 200, 'n_components': 2, 'scale': True}",0.3684392394419826,0.3154417803772492,0.1385692502229654,0.0,0.0,0.0,0.0,0.05299745906473341,False
9,"{'max_iter': 100, 'n_components': 1, 'scale': False}",0.24485860021963873,0.203356683354838,0.10495940937615698,0.0,0.0,0.0,0.0,0.04150191686480073,False
10,"{'max_iter': 200, 'n_components': 1, 'scale': False}",0.24485860021963873,0.203356683354838,0.10495940937615698,0.0,0.0,0.0,0.0,0.04150191686480073,False
11,"{'max_iter': 100, 'n_components': 1, 'scale': True}",0.2447573647524972,0.2031986611996374,0.10471023472895075,0.0,0.0,0.0,0.0,0.041558703552859816,False
12,"{'max_iter': 200, 'n_components': 1, 'scale': True}",0.2447573647524972,0.2031986611996374,0.10471023472895075,0.0,0.0,0.0,0.0,0.041558703552859816,False
