generation,best_fitness,avg_fitness
1,-7.003484761723158,-10.109929031720528
2,-7.003484761723158,-10.22933922766354
3,-7.003484761723158,-9.280887499519595
4,-7.003484761723158,-9.120351343340037
5,-6.5328474587174306,-8.52232620591721
6,-6.5328474587174306,-7.701479677865937
7,-6.5328474587174306,-7.686631280603713
8,-6.5328474587174306,-7.230611563513101
9,-6.5328474587174306,-6.990226687790494
10,-6.5328474587174306,-6.712464702047607
11,-6.5328474587174306,-6.646375678095458
12,-6.5328474587174306,-6.71479070652727
13,-6.5328474587174306,-6.592832303136996
14,-6.5328474587174306,-6.694302978774702
15,-6.5328474587174306,-6.532847458717429
16,-6.246250211235723,-6.612027908941384
17,-6.246250211235723,-6.528329634278415
18,-6.246250211235723,-6.686061302427658
19,-6.246250211235723,-6.658411183190468
20,-6.246250211235723,-6.690967056285193
21,-6.246250211235723,-6.458216233314504
22,-6.246250211235723,-6.550478476552719
23,-6.246250211235723,-6.307415738475984
24,-6.045481172862206,-6.299858898793118
25,-6.045481172862206,-6.226173307398372
26,-6.045481172862206,-6.397159549829521
27,-6.045481172862206,-6.344421478158952
28,-6.045481172862206,-6.212120284912698
29,-6.045481172862206,-6.045481172862205
30,-6.045481172862206,-6.257945646866285
