generation,best_fitness,avg_fitness
1,-6.282827407132286,-7.428227215119595
2,-6.282827407132286,-7.1066029092901815
3,-6.226804201308692,-6.934845157314998
4,-5.981980137265875,-6.6488866114117435
5,-5.981980137265875,-6.37126729400772
6,-5.981980137265875,-6.2852444613066
7,-5.981980137265875,-6.165893941210942
8,-5.981980137265875,-6.023602266656435
9,-5.981980137265875,-5.981980137265874
10,-5.981980137265875,-6.008265225529763
11,-5.981980137265875,-5.992617946043675
12,-5.981980137265875,-6.015578557022982
13,-5.981980137265875,-6.009971381687713
14,-5.981980137265875,-5.994940007827244
15,-5.981980137265875,-6.0215315338876305
16,-5.981980137265875,-5.981980137265874
17,-5.981980137265875,-6.022160628521365
18,-5.981980137265875,-5.981980137265874
19,-5.981980137265875,-5.987562064855149
20,-5.981980137265875,-5.981980137265874
21,-5.981980137265875,-5.981980137265874
22,-5.981980137265875,-5.9906588233300955
23,-5.981980137265875,-5.981980137265874
24,-5.981980137265875,-6.019500584636147
25,-5.753651594323467,-6.00130598006208
26,-5.753651594323467,-5.968280424689329
27,-5.753651594323467,-5.9946511979029715
28,-5.753651594323467,-5.931747857818546
29,-5.753651594323467,-5.895806664332822
30,-5.753651594323467,-5.831358981408819
