rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.8435986007343926,0.5612070726735316,0.10855938345936675,0.0,0.0,0.0,0.0,0.282391528060861,True
2,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.8438907830073944,0.5608708351115381,0.10620811792887937,0.0,0.0,0.0,0.0,0.28301994789585627,False
3,"{'C': 7.5, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.8280745338050994,0.5473775830697247,0.09831893037870165,0.0,0.0,0.0,0.0,0.2806969507353747,False
4,"{'C': 7.5, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.8279203038524503,0.5464709987021592,0.09695817371792939,0.0,0.0,0.0,0.0,0.2814493051502911,False
5,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7565455100871545,0.5348054827566304,0.06862821219310432,0.0,0.0,0.0,0.0,0.22174002733052411,False
6,"{'C': 5.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7998037659408143,0.5346156563159934,0.08377607209663414,0.0,0.0,0.0,0.0,0.26518810962482087,False
7,"{'C': 5.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7998792846663239,0.5331973216147479,0.08422537295423695,0.0,0.0,0.0,0.0,0.266681963051576,False
8,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7559060873571374,0.5327216227940889,0.06784664122260874,0.0,0.0,0.0,0.0,0.22318446456304852,False
9,"{'C': 2.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7209818903936432,0.5167691202686951,0.06180185598348515,0.0,0.0,0.0,0.0,0.2042127701249481,False
10,"{'C': 2.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7210325180362576,0.5167525957037584,0.062020529736560887,0.0,0.0,0.0,0.0,0.20427992233249914,False
11,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.03, 'kernel': 'rbf'}",0.5016323591420969,0.3812630340775813,0.07288901303317967,0.0,0.0,0.0,0.0,0.12036932506451564,False
12,"{'C': 5.0, 'epsilon': 0.2, 'gamma': 0.03, 'kernel': 'rbf'}",0.5327940559978532,0.3784555752011013,0.07574295098934515,0.0,0.0,0.0,0.0,0.15433848079675194,False
13,"{'C': 2.0, 'epsilon': 0.2, 'gamma': 0.03, 'kernel': 'rbf'}",0.47935957839857685,0.37586237205187284,0.0667423875863347,0.0,0.0,0.0,0.0,0.10349720634670401,False
14,"{'C': 7.5, 'epsilon': 0.2, 'gamma': 0.03, 'kernel': 'rbf'}",0.5493779586794625,0.3646218358694915,0.08554467515388561,0.0,0.0,0.0,0.0,0.184756122809971,False
15,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.45292252784313014,0.3508465829873225,0.0563989938835917,0.0,0.0,0.0,0.0,0.10207594485580762,False
16,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.03, 'kernel': 'rbf'}",0.5598855910080689,0.34843187297292005,0.09696329525180888,0.0,0.0,0.0,0.0,0.21145371803514884,False
17,"{'C': 7.5, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.43120095339697107,0.3364710332172944,0.055509182096851656,0.0,0.0,0.0,0.0,0.09472992017967669,False
18,"{'C': 5.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.397929314535513,0.31305779362147346,0.0619718324163098,0.0,0.0,0.0,0.0,0.08487152091403954,False
19,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.3603684640924222,0.2884382032112315,0.0560897358827013,0.0,0.0,0.0,0.0,0.0719302608811907,False
20,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'}",0.35633406554527386,0.2776820125494833,0.06195816187343444,0.0,0.0,0.0,0.0,0.07865205299579053,False
21,"{'C': 2.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.33542565305996674,0.27275892228616533,0.05458359333598265,0.0,0.0,0.0,0.0,0.06266673077380142,False
22,"{'C': 7.5, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'}",0.3402400914798456,0.27210574877095217,0.0644806358890639,0.0,0.0,0.0,0.0,0.0681343427088934,False
23,"{'C': 5.0, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'}",0.3157827115442242,0.25293807248814526,0.06116147911183941,0.0,0.0,0.0,0.0,0.06284463905607895,False
24,"{'C': 3.0, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'}",0.2944528800528127,0.24084070723323495,0.048404770842763595,0.0,0.0,0.0,0.0,0.05361217281957778,False
25,"{'C': 2.0, 'epsilon': 0.2, 'gamma': 0.005, 'kernel': 'rbf'}",0.2775498795939165,0.2317961375538876,0.03852075373975861,0.0,0.0,0.0,0.0,0.04575374204002894,False
