generation,best_fitness,avg_fitness
1,-10.931489343587867,-13.02941187494459
2,-10.931489343587867,-12.142052341130514
3,-9.886428797883012,-11.429267294452865
4,-9.646939590918386,-11.073956336327935
5,-9.646939590918386,-10.982437904640621
6,-9.646939590918386,-10.472875580393076
7,-9.646939590918386,-10.281091926521038
8,-9.646939590918382,-10.059427898097255
9,-9.646939590918382,-9.824417901371843
10,-9.646939590918382,-9.646939590918386
11,-9.646939590918384,-9.67406570907669
12,-9.43406508537785,-9.642682100807576
13,-9.43406508537785,-9.833308950634063
14,-9.434065085377846,-9.695912197741418
15,-9.140145442623648,-9.721656158968546
16,-9.140145442623645,-9.720852901648447
17,-9.140145442623645,-9.84958549631822
18,-9.140145442623643,-9.68085287759921
19,-9.140145442623643,-9.667868469056787
20,-9.140145442623643,-9.14602383547873
21,-9.140145442623643,-9.140145442623645
22,-9.140145442623643,-9.169176689952964
23,-9.140145442623643,-9.15687162039396
24,-9.140145442623643,-9.367642693893595
25,-9.140145442623643,-9.750775686964237
26,-9.140145442623643,-9.140145442623645
27,-8.567912080146671,-9.188705793941445
28,-8.567912080146673,-9.269098533167359
29,-8.567912080146673,-9.210115538790294
30,-8.567912080146673,-9.416013300843293
