rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6793016235804522,0.3879584013427148,0.14805357635166322,0.0,0.0,0.0,0.0,0.2913432222377374,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6959573255182375,0.3879450213174597,0.14991560055079567,0.0,0.0,0.0,0.0,0.3080123042007778,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6722668419786458,0.38106064019846037,0.15101347643718316,0.0,0.0,0.0,0.0,0.29120620178018547,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.652884457761172,0.3807375574612332,0.14502753228875034,0.0,0.0,0.0,0.0,0.27214690029993877,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.6745849240988011,0.3801250829104387,0.13755592541488162,0.0,0.0,0.0,0.0,0.2944598411883624,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6256825422689939,0.3783452900902712,0.13106171829776433,0.0,0.0,0.0,0.0,0.2473372521787227,False
7,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.6106184693765659,0.3762343394181043,0.12740279776468683,0.0,0.0,0.0,0.0,0.23438412995846164,False
8,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6654033867994938,0.3754295612350851,0.1312030837919832,0.0,0.0,0.0,0.0,0.28997382556440876,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.85, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.655837147314464,0.3752823880062561,0.1417495820854524,0.0,0.0,0.0,0.0,0.2805547593082079,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6519579157323917,0.3751143568387459,0.15264138417125372,0.0,0.0,0.0,0.0,0.2768435588936458,False
11,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.85, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 200}",0.6339896750682757,0.3739625002984443,0.12240667760909583,0.0,0.0,0.0,0.0,0.26002717476983145,False
12,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6486859924675519,0.3736798623515406,0.1299788437598426,0.0,0.0,0.0,0.0,0.27500613011601127,False
