estimator,source,mean_cv_r2,holdout_val_r2,combined_r2,train_cv_r2_gap,status,acceptable,n_features,is_expansion
RandomForestRegressor,hpo_round_2,0.38794502131745967,0.30375446752551893,0.3458497444214893,0.30801230420077785,overfit,False,2,False
RandomForestRegressor (sfs_subset),baseline,0.43011118354254696,0.37659249780377946,0.4033518406731632,0.4721821213709554,overfit,False,2,True
RandomForestRegressor (sfs_fixed_ga_plus2),baseline,0.39164560394221,0.23172450935110755,0.3116850566466588,0.31882077279119964,overfit,False,4,True
PLSRegression,hpo_round_1,0.23909047475804232,0.1508200497346487,0.19495526224634552,0.04198734750786662,underfit,False,1,False
PLSRegression (sfs_fixed_ga_plus2),hpo_round_1,0.3267702526075908,0.10695509791728619,0.2168626752624385,0.05055675798757031,underfit,False,3,True
ExtraTreesRegressor,baseline,0.426556297447256,0.12683507392843885,0.2766956856878474,0.5383794686498603,overfit,False,2,False
ExtraTreesRegressor (sfs_subset),baseline,0.46570876646651954,0.4777621766221518,0.4717354715443357,0.5008481160627731,overfit,False,2,True
ExtraTreesRegressor (sfs_fixed_ga_plus2),baseline,0.48500295640682933,0.6028210169704982,0.5439119866886637,0.4975915061768399,overfit,False,4,True
SVR,hpo_round_1,0.38491185713558407,0.25705713171899125,0.32098449442728766,0.1326932383389824,poor_performance,False,4,False
SVR (sfs_subset),baseline,0.5015080471746154,0.2962358399862278,0.3988719435804216,0.11611025489698068,good,True,4,True
SVR (sfs_fixed_ga_plus2),hpo_round_1,0.5612070726735316,0.4268160616393386,0.4940115671564351,0.282391528060861,overfit,False,6,True
KNeighborsRegressor,baseline,0.3367418062380919,0.3143248779302582,0.32553334208417506,0.21867122572901732,overfit,False,1,False
KNeighborsRegressor (sfs_fixed_ga_plus2),baseline,0.3152460058725148,0.350905253860064,0.33307562986628936,0.24746387425198874,overfit,False,3,True
