generation,best_fitness,avg_fitness
1,-8.672027991538366,-9.436168300590406
2,-8.586612521642394,-9.197395708215085
3,-8.586612521642394,-9.07421016292172
4,-8.44417000914283,-8.97809887289821
5,-8.44417000914283,-8.972168053198118
6,-8.44417000914283,-8.726431807925808
7,-8.107488340748636,-8.586880558099121
8,-8.107488340748636,-8.59989386984944
9,-7.90500767636812,-8.553736977042666
10,-8.107488340748631,-8.511016783153735
11,-7.90500767636812,-8.479189671782617
12,-7.90500767636812,-8.396312026278805
13,-7.90500767636812,-8.254662365349343
14,-7.90500767636812,-8.26826193468333
15,-7.90500767636812,-7.993457252449624
16,-7.90500767636812,-7.9213993803143605
17,-7.90500767636812,-7.942433751373815
18,-7.90500767636812,-7.955445610246368
19,-7.90500767636812,-7.99147781110384
20,-7.90500767636812,-8.013613003929315
21,-7.9050076763681165,-7.905007676368123
22,-7.90500767636812,-7.967090174838425
23,-7.905007676368118,-7.961318065683813
24,-7.90500767636812,-7.952835312084644
25,-7.90500767636812,-7.953935127645991
26,-7.90500767636812,-7.925480135885344
27,-7.90500767636812,-7.955354466361801
28,-7.90500767636812,-7.905007676368122
29,-7.905007676368118,-7.958873555339863
30,-7.90500767636812,-7.976873832276286
