rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.7355176414182818,0.3993463705614363,0.11389146247150864,0.0,0.0,0.0,0.0,0.3361712708568455,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.7371621811792112,0.39681530162508927,0.12044430113423772,0.0,0.0,0.0,0.0,0.3403468795541219,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6979514101324883,0.38541449576396875,0.12110742031395108,0.0,0.0,0.0,0.0,0.31253691436851955,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6981860848897258,0.38462137192139606,0.11258651344099953,0.0,0.0,0.0,0.0,0.3135647129683297,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6764268908711292,0.3727204307242521,0.10260084434818101,0.0,0.0,0.0,0.0,0.3037064601468771,False
6,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6797691281669243,0.37075274852683443,0.11291750309818453,0.0,0.0,0.0,0.0,0.3090163796400898,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6384240714477007,0.3638957226354549,0.11316590962611925,0.0,0.0,0.0,0.0,0.27452834881224586,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6369795454125814,0.3592889295225561,0.11562844093970001,0.0,0.0,0.0,0.0,0.2776906158900253,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.6368566809221017,0.3552895332738236,0.10772921889228916,0.0,0.0,0.0,0.0,0.28156714764827806,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6369593019741292,0.3544341905527041,0.10787991004341786,0.0,0.0,0.0,0.0,0.2825251114214251,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5811533213366269,0.3344216099933444,0.10847719412191749,0.0,0.0,0.0,0.0,0.24673171134328248,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5800534929644092,0.3289288152195353,0.10939477693461139,0.0,0.0,0.0,0.0,0.2511246777448739,False
13,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.581450351881987,0.32061631247299643,0.11279629308256328,0.0,0.0,0.0,0.0,0.2608340394089906,False
14,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 500}",0.5862303945335302,0.3199484869154955,0.11380455660299504,0.0,0.0,0.0,0.0,0.2662819076180347,False
15,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5527384945368422,0.3125261043389514,0.11975429207331734,0.0,0.0,0.0,0.0,0.2402123901978908,False
16,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5573973592903101,0.30911530008321775,0.12309700069264716,0.0,0.0,0.0,0.0,0.24828205920709234,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5502114675111022,0.3088571347394257,0.1262021909726688,0.0,0.0,0.0,0.0,0.24135433277167645,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5278904574693566,0.3081439683650863,0.11658437627731029,0.0,0.0,0.0,0.0,0.2197464891042703,False
19,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.560181485526336,0.3054633187403521,0.12598631777026734,0.0,0.0,0.0,0.0,0.25471816678598386,False
20,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 200}",0.4878164328311924,0.30215024275879604,0.11063015266204829,0.0,0.0,0.0,0.0,0.18566619007239638,False
21,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 200}",0.4878164328311924,0.30215024275879604,0.11063015266204833,0.0,0.0,0.0,0.0,0.18566619007239638,False
22,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.6, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.5259141023564372,0.3020019464306781,0.1205117083877873,0.0,0.0,0.0,0.0,0.22391215592575908,False
23,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 500}",0.5293333550302844,0.3000428400230079,0.10004323120831728,0.0,0.0,0.0,0.0,0.22929051500727654,False
24,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 500}",0.48885005306035634,0.29996033212723966,0.10964983790344043,0.0,0.0,0.0,0.0,0.18888972093311668,False
