rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.7901881862665443,0.4045405611802971,0.12145942298415077,0.0,0.0,0.0,0.0,0.3856476250862472,True
2,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.7558073028745957,0.3929652083023768,0.11169019940384779,0.0,0.0,0.0,0.0,0.36284209457221894,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.7108253080883186,0.39201865450254525,0.1268966661021835,0.0,0.0,0.0,0.0,0.3188066535857733,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6569408516533302,0.37223790878522606,0.11562068326395777,0.0,0.0,0.0,0.0,0.2847029428681041,False
5,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6875208116808725,0.35972959313263103,0.13985955647260362,0.0,0.0,0.0,0.0,0.3277912185482415,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6385321281419417,0.3284545933791415,0.1318130211107741,0.0,0.0,0.0,0.0,0.3100775347628002,False
7,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.634731938821355,0.32203186815058593,0.11962003474790622,0.0,0.0,0.0,0.0,0.3127000706707691,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.5625480783857097,0.30701787115323304,0.12085764216646448,0.0,0.0,0.0,0.0,0.2555302072324767,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.5289676395109718,0.29209494506293654,0.11753120553072062,0.0,0.0,0.0,0.0,0.23687269444803527,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.4969829702559016,0.27224513345933987,0.12302654174971084,0.0,0.0,0.0,0.0,0.22473783679656173,False
11,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.6054826365157047,0.2718705582104669,0.1403323205608952,0.0,0.0,0.0,0.0,0.33361207830523776,False
12,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.547676393306208,0.27089798056855996,0.1391472318456226,0.0,0.0,0.0,0.0,0.276778412737648,False
13,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.6977957861379981,0.2628721085112621,0.19079195183887773,0.0,0.0,0.0,0.0,0.434923677626736,False
14,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 200}",0.49870822763619405,0.26117048016328664,0.10566382796757995,0.0,0.0,0.0,0.0,0.2375377474729074,False
15,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 200}",0.4136452334725481,0.2595544613020405,0.12186459740060593,0.0,0.0,0.0,0.0,0.1540907721705076,False
16,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 16, 'n_estimators': 200}",0.4136452334725481,0.2595544613020405,0.12186459740060594,0.0,0.0,0.0,0.0,0.1540907721705076,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 16, 'n_estimators': 200}",0.408693167542386,0.2559973546723656,0.12000796092114974,0.0,0.0,0.0,0.0,0.15269581287002038,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 200}",0.408693167542386,0.2559973546723655,0.12000796092114971,0.0,0.0,0.0,0.0,0.1526958128700205,False
19,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 8, 'n_estimators': 200}",0.4305232667821022,0.2502927398710318,0.0934541223173358,0.0,0.0,0.0,0.0,0.1802305269110704,False
20,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 16, 'n_estimators': 200}",0.4305232667821022,0.2502927398710318,0.09345412231733578,0.0,0.0,0.0,0.0,0.1802305269110704,False
21,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.47830462740667556,0.23734660653387457,0.14095803889338765,0.0,0.0,0.0,0.0,0.240958020872801,False
22,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.44682188698731584,0.23539019702857514,0.114835978991943,0.0,0.0,0.0,0.0,0.2114316899587407,False
23,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",0.46651973164397714,0.2298707343239232,0.09850010762593196,0.0,0.0,0.0,0.0,0.23664899732005396,False
