compound_id,canonical_smiles,activity,original_row_index,RDKit_AvgIpc,RDKit_BCUT2D_CHGHI,RDKit_BCUT2D_CHGLO,RDKit_BCUT2D_LOGPHI,RDKit_BCUT2D_LOGPLOW,RDKit_BCUT2D_MRHI,RDKit_BCUT2D_MRLOW,RDKit_BCUT2D_MWHI,RDKit_BCUT2D_MWLOW,RDKit_BalabanJ,RDKit_BertzCT,RDKit_Chi0,RDKit_Chi0n,RDKit_Chi0v,RDKit_Chi1,RDKit_Chi1n,RDKit_Chi1v,RDKit_Chi2n,RDKit_Chi2v,RDKit_Chi3n,RDKit_Chi3v,RDKit_Chi4n,RDKit_Chi4v,RDKit_EState_VSA1,RDKit_EState_VSA10,RDKit_EState_VSA11,RDKit_EState_VSA2,RDKit_EState_VSA3,RDKit_EState_VSA4,RDKit_EState_VSA5,RDKit_EState_VSA6,RDKit_EState_VSA7,RDKit_EState_VSA8,RDKit_EState_VSA9,RDKit_ExactMolWt,RDKit_FpDensityMorgan1,RDKit_FpDensityMorgan2,RDKit_FpDensityMorgan3,RDKit_FractionCSP3,RDKit_HallKierAlpha,RDKit_HeavyAtomCount,RDKit_HeavyAtomMolWt,RDKit_Ipc,RDKit_Kappa1,RDKit_Kappa2,RDKit_Kappa3,RDKit_LabuteASA,RDKit_MaxAbsEStateIndex,RDKit_MaxAbsPartialCharge,RDKit_MaxEStateIndex,RDKit_MaxPartialCharge,RDKit_MinAbsEStateIndex,RDKit_MinAbsPartialCharge,RDKit_MinEStateIndex,RDKit_MinPartialCharge,RDKit_MolLogP,RDKit_MolMR,RDKit_MolWt,RDKit_NHOHCount,RDKit_NOCount,RDKit_NumAliphaticCarbocycles,RDKit_NumAliphaticHeterocycles,RDKit_NumAliphaticRings,RDKit_NumAmideBonds,RDKit_NumAromaticCarbocycles,RDKit_NumAromaticHeterocycles,RDKit_NumAromaticRings,RDKit_NumAtomStereoCenters,RDKit_NumAtoms,RDKit_NumBonds,RDKit_NumBridgeheadAtoms,RDKit_NumHAcceptors,RDKit_NumHDonors,RDKit_NumHeteroatoms,RDKit_NumHeterocycles,RDKit_NumRadicalElectrons,RDKit_NumRings,RDKit_NumRotatableBonds,RDKit_NumSaturatedCarbocycles,RDKit_NumSaturatedHeterocycles,RDKit_NumSaturatedRings,RDKit_NumSpiroAtoms,RDKit_NumUnspecifiedAtomStereoCenters,RDKit_NumValenceElectrons,RDKit_PEOE_VSA1,RDKit_PEOE_VSA10,RDKit_PEOE_VSA11,RDKit_PEOE_VSA12,RDKit_PEOE_VSA13,RDKit_PEOE_VSA14,RDKit_PEOE_VSA2,RDKit_PEOE_VSA3,RDKit_PEOE_VSA4,RDKit_PEOE_VSA5,RDKit_PEOE_VSA6,RDKit_PEOE_VSA7,RDKit_PEOE_VSA8,RDKit_PEOE_VSA9,RDKit_Phi,RDKit_RingCount,RDKit_SMR_VSA1,RDKit_SMR_VSA10,RDKit_SMR_VSA2,RDKit_SMR_VSA3,RDKit_SMR_VSA4,RDKit_SMR_VSA5,RDKit_SMR_VSA6,RDKit_SMR_VSA7,RDKit_SMR_VSA8,RDKit_SMR_VSA9,RDKit_SPS,RDKit_SlogP_VSA1,RDKit_SlogP_VSA10,RDKit_SlogP_VSA11,RDKit_SlogP_VSA12,RDKit_SlogP_VSA2,RDKit_SlogP_VSA3,RDKit_SlogP_VSA4,RDKit_SlogP_VSA5,RDKit_SlogP_VSA6,RDKit_SlogP_VSA7,RDKit_SlogP_VSA8,RDKit_SlogP_VSA9,RDKit_TPSA,RDKit_VSA_EState1,RDKit_VSA_EState10,RDKit_VSA_EState2,RDKit_VSA_EState3,RDKit_VSA_EState4,RDKit_VSA_EState5,RDKit_VSA_EState6,RDKit_VSA_EState7,RDKit_VSA_EState8,RDKit_VSA_EState9,RDKit_fr_Al_COO,RDKit_fr_Al_OH,RDKit_fr_Al_OH_noTert,RDKit_fr_ArN,RDKit_fr_Ar_COO,RDKit_fr_Ar_N,RDKit_fr_Ar_NH,RDKit_fr_Ar_OH,RDKit_fr_COO,RDKit_fr_COO2,RDKit_fr_C_O,RDKit_fr_C_O_noCOO,RDKit_fr_C_S,RDKit_fr_HOCCN,RDKit_fr_Imine,RDKit_fr_NH0,RDKit_fr_NH1,RDKit_fr_NH2,RDKit_fr_N_O,RDKit_fr_Ndealkylation1,RDKit_fr_Ndealkylation2,RDKit_fr_Nhpyrrole,RDKit_fr_SH,RDKit_fr_aldehyde,RDKit_fr_alkyl_carbamate,RDKit_fr_alkyl_halide,RDKit_fr_allylic_oxid,RDKit_fr_amide,RDKit_fr_amidine,RDKit_fr_aniline,RDKit_fr_aryl_methyl,RDKit_fr_azide,RDKit_fr_azo,RDKit_fr_barbitur,RDKit_fr_benzene,RDKit_fr_benzodiazepine,RDKit_fr_bicyclic,RDKit_fr_diazo,RDKit_fr_dihydropyridine,RDKit_fr_epoxide,RDKit_fr_ester,RDKit_fr_ether,RDKit_fr_furan,RDKit_fr_guanido,RDKit_fr_halogen,RDKit_fr_hdrzine,RDKit_fr_hdrzone,RDKit_fr_imidazole,RDKit_fr_imide,RDKit_fr_isocyan,RDKit_fr_isothiocyan,RDKit_fr_ketone,RDKit_fr_ketone_Topliss,RDKit_fr_lactam,RDKit_fr_lactone,RDKit_fr_methoxy,RDKit_fr_morpholine,RDKit_fr_nitrile,RDKit_fr_nitro,RDKit_fr_nitro_arom,RDKit_fr_nitro_arom_nonortho,RDKit_fr_nitroso,RDKit_fr_oxazole,RDKit_fr_oxime,RDKit_fr_para_hydroxylation,RDKit_fr_phenol,RDKit_fr_phenol_noOrthoHbond,RDKit_fr_phos_acid,RDKit_fr_phos_ester,RDKit_fr_piperdine,RDKit_fr_piperzine,RDKit_fr_priamide,RDKit_fr_prisulfonamd,RDKit_fr_pyridine,RDKit_fr_quatN,RDKit_fr_sulfide,RDKit_fr_sulfonamd,RDKit_fr_sulfone,RDKit_fr_term_acetylene,RDKit_fr_tetrazole,RDKit_fr_thiazole,RDKit_fr_thiocyan,RDKit_fr_thiophene,RDKit_fr_unbrch_alkane,RDKit_fr_urea,RDKit_qed
compound_79,COc1ccc(N)c([N+](=O)[O-])c1,1.077,79,2.262083901808111,2.1088113457922035,-1.9979890469087864,2.252702211097508,-1.9539360533237693,5.600069434669281,-0.3835083067660972,16.628628006487517,10.243553591629892,3.700310365455419,558.227086521872,15.825908934703554,13.619172062391506,5.619172062391505,8.969920232051185,6.615037448633849,2.720610257633932,1.7605095984329042,1.7605095984329042,1.035305128816966,1.035305128816966,0.5562991666842514,0.5562991666842514,47.21280401334118,10.114318268765572,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,4.736862953800049,11.048235493677725,168.053492116,1.9166666666666667,2.75,3.333333333333333,0.1428571428571428,-1.7800000000000002,12,160.088,11319.467844647786,2.617073938362807,3.08088411757375,1.4450401647869138,80.25863414873214,10.879876228269085,0.4964990069195915,10.879876228269085,0.2953079307647234,0.2820781368102798,0.2953079307647234,-3.060474537037037,-0.4964990069195915,1.1855999999999998,44.06080000000001,168.15200000000007,2,5,0,0,0,0,1,0,1,0,20,20,0,4,1,5,0,0,1,3,0,0,0,0,0,64,10.456579929526322,11.436898107967467,2.8236841566564013,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,0.0,12.08483741532659,0.0,26.22823355238487,0.6719084609348464,1,20.708409496295435,11.374772549367124,0.0,0.0,0.0,0.0,12.75766943460886,28.241574391755456,0.0,5.749511833283905,19.666666666666668,10.456579929526322,11.374772549367124,5.749511833283905,0.0,11.96126350770026,0.0,10.114318268765572,8.224551337021321,18.127256122989884,2.8236841566564013,0.0,0.0,78.39,61.441434948979584,0.0,9.738610166288735,10.879876228269085,-2.3393542139077854,-0.9654629629629624,-2.9446296296296293,0.0,0.0,-3.060474537037037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4083069985344588
compound_67,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,1.246,67,2.623955574892314,2.1889880059661584,-2.065659136632812,2.310820294409526,-1.982103608668761,5.713663835904876,-0.3931713152464098,16.63342661793977,10.193831564063826,2.971870167886669,1035.517706385482,22.36736081903094,18.38288223881919,9.382882238819189,13.376891635259256,9.184309965535892,4.82884807957207,3.224574305276935,3.224574305276935,1.938030837536014,1.938030837536014,1.1466436466893828,1.1466436466893828,80.64260998329655,20.228636537531145,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,12.438351628752375,275.05422038800026,1.15,1.85,2.4,0.0,-3.16,20,266.148,1210535.6649208202,5.865262026337006,5.224418522175042,2.803883487790712,124.9280060982405,11.416647553317826,0.5079643158733046,11.416647553317826,0.2990372141456596,0.0746579743008317,0.2990372141456596,-1.3977969629209708,-0.5079643158733046,2.9522000000000004,71.14030000000001,275.2199999999998,2,8,0,0,0,0,2,0,2,0,29,30,0,6,2,8,0,0,2,5,0,0,0,0,0,102,10.418621544395588,11.436898107967467,1.4118420783282006,0.0,12.805972206599758,0.0,20.228636537531145,0.0,0.0,0.0,0.0,30.21209353831648,11.729804982346856,25.48435069849017,1.5321291783902486,2,25.96258226026229,22.74954509873425,1.4311996572326342,0.0,0.0,0.0,5.309813353288376,62.52556749117421,0.0,5.749511833283905,16.1,5.309813353288376,22.74954509873425,5.749511833283905,0.0,16.38662994597519,0.0,20.228636537531145,9.59530989319154,42.29693095364306,1.4118420783282006,0.0,0.0,118.54000000000002,69.25128859406956,0.0,19.913047629792068,26.407649219280017,-4.775247015740792,-0.7881414098901474,-7.5085970175107075,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5026447751149442
compound_38,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1.323,38,2.776108087495028,2.21655991486064,-2.105208807334558,2.288300279214486,-2.1297836519198805,6.357609915873266,-0.3844352269864238,35.49569170947699,9.997052493142638,2.646292991792506,1237.4828369872623,24.444711088220565,20.44435013090069,11.200279076919143,14.64534671259413,10.57350233765651,6.004253215165779,3.88247517587305,4.2604396488822776,2.554123447693464,2.837596802450384,1.6637174517568112,1.847711841871697,92.86027526540134,14.908855452837392,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,4.992404732635669,25.349608974092693,315.0410688600003,1.3636363636363635,2.136363636363636,2.909090909090909,0.0666666666666666,-2.7299999999999995,22,305.636,5483840.6327950535,6.578139011052114,5.572723046505113,2.558603253421332,144.24820286803137,12.490681269421348,0.3238334258325958,12.490681269421348,0.2697570973628335,0.1591595804988665,0.2697570973628335,-3.2443060673343416,-0.3238334258325958,3.037700000000001,83.6841,315.71599999999984,1,6,0,1,1,1,2,0,2,0,32,34,0,4,1,7,1,0,3,2,0,0,0,0,0,110,5.309813353288376,6.496859684315945,1.4118420783282006,5.907179729351506,5.687386274683562,0.0,19.901260185473063,0.0,0.0,0.0,29.7281960132224,12.08483741532659,28.234373712461903,28.65920933180391,1.6662794031820214,3,23.46651731674967,34.594577171721845,0.0,0.0,4.992404732635669,0.0,11.80667303760432,68.56078551954394,0.0,0.0,22.863636363636363,5.309813353288376,11.374772549367124,0.0,11.600939890232516,23.039035465255825,4.794537184071822,10.114318268765572,23.46372998892597,47.28933568627873,6.434475392069527,0.0,0.0,84.6,79.54874024634299,6.081966542789954,26.33463518226858,10.614548626041156,-4.478891145964558,-1.6603132611069114,-6.501935678592425,0.0,-3.2443060673343416,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682474275950086
compound_20,Cc1ccc(N)cc1[N+](=O)[O-],1.346,20,2.196911456325328,2.082215012862469,-1.961185145726324,2.19212528084141,-1.929863494524308,5.512833349395361,-0.384941430555546,16.6283203930773,10.168327425314558,3.9145103276485087,541.1245907282104,15.118802153517006,13.210923771927645,5.210923771927642,8.49679368558886,6.456789158169986,2.562361967170069,1.7043233805850069,1.7043233805850069,0.9620826830225292,0.9620826830225292,0.5237340382512812,0.5237340382512812,46.84068333016736,10.114318268765572,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,0.0,11.048235493677725,152.058577496,1.9090909090909087,2.727272727272727,3.272727272727273,0.1428571428571428,-1.5799999999999998,11,144.089,6999.359899852494,2.2007909142796125,2.5740375043587767,1.4595312570970036,75.14508891922526,10.87763416477702,0.3985245035517479,10.87763416477702,0.2738520244335995,0.2232105064247922,0.2738520244335995,-3.043153817082389,-0.3985245035517479,1.48542,42.24580000000001,152.15300000000008,2,4,0,0,0,0,1,0,1,0,19,19,0,3,1,4,0,0,1,2,0,0,0,0,0,58,5.719716975726273,0.0,2.8236841566564013,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,6.042418707663295,12.894310824958977,21.40553214255451,9.035586717328332,0.5149925775097968,1,15.971546542495393,11.374772549367124,0.0,0.0,0.0,6.851892117295679,5.719716975726273,33.80502588345245,0.0,0.0,20.727272727272727,5.719716975726273,11.374772549367124,0.0,0.0,4.923311048817671,0.0,16.966210386061253,13.788002828718314,18.127256122989884,2.8236841566564013,0.0,0.0,69.16,57.85047099395314,0.0,9.719416572184429,10.87763416477702,-3.2479327286470125,0.0,-2.906435185185184,0.0,-3.043153817082389,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376183046236718
compound_2,Nc1ccc([N+](=O)[O-])cc1Cl,1.429,2,2.140020892483553,2.0581174318475166,-1.9480001622335787,2.22935690860074,-1.899265294916036,6.327692008365602,-0.3844185599623727,35.49569114842179,10.273079242488487,3.697873570975797,437.7174963849058,12.618802153517006,10.088888244936868,5.844817190955324,7.285468820183674,4.895771394674598,2.8793086766839093,1.64330561708962,2.0212700900988474,0.9179298145737672,1.1914274765512325,0.4589649072868835,0.5957137382756161,39.447973034916,10.114318268765572,0.0,5.719716975726273,0.0,0.0,0.0,0.0,0.0,0.0,18.53689971539957,172.00395508,1.818181818181818,2.5454545454545454,3.090909090909091,0.0,-1.29,11,167.53099999999998,2268.422146032566,3.404318575163333,2.7545585087790707,1.588952172998747,74.86850153120689,10.544417359536409,0.3975160549785139,10.544417359536409,0.2705700246765752,0.0511186696900982,0.2705700246765752,-0.9894860166288733,-0.3975160549785139,1.8304,42.518800000000006,172.57100000000003,2,4,0,0,0,0,1,0,1,0,16,16,0,3,1,5,0,0,1,2,0,0,0,0,0,58,5.719716975726273,0.0,2.8236841566564013,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,11.600939890232516,6.042418707663295,12.08483741532659,19.745606305753217,0.8524904270737093,1,11.859270873984732,22.97571243959964,0.0,0.0,0.0,0.0,5.719716975726273,33.26420770549678,0.0,0.0,15.545454545454543,5.719716975726273,11.374772549367124,0.0,11.600939890232516,4.923311048817671,0.0,10.114318268765572,4.1122756685106605,18.127256122989884,7.846317470397728,0.0,0.0,69.16,35.840566263542456,5.537746913580246,9.554931342907532,9.986732174351223,-1.4790199042579983,0.0,-2.3298456790123447,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3992148344781813
compound_80,Nc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,1.45,80,2.811824930875439,2.192650789541234,-2.055262376153447,2.2566672676192825,-2.029309089468009,7.857713930684757,-0.3846244477131939,32.241217197085696,10.113718646864418,3.310223462938342,1612.1269373826456,29.651817869407108,23.976910095638548,13.609903257494,17.293540509691447,11.681534029561575,8.787106838561659,4.270819961512734,6.903813123368185,2.5248672014329303,4.137239637128725,1.526827147175229,2.674300457940654,111.53057996445864,26.949912237423447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11006133991374,16.65215192048343,400.0035073440002,1.0769230769230769,1.6153846153846154,2.1153846153846154,0.0,-2.8000000000000003,26,388.2940000000001,53204929.56828543,8.725228167638347,6.837509936679366,4.427861837390715,164.9280167445086,12.416719342466092,0.3986921691622827,12.416719342466092,0.2948705117758,0.4329051261429995,0.2948705117758,-5.519377862989648,-0.3986921691622827,1.8408000000000004,92.508,400.3899999999999,4,10,0,0,0,0,2,0,2,0,38,39,0,9,3,12,0,0,2,8,0,0,0,0,0,138,5.719716975726273,9.79096695103555,2.8236841566564013,2.8623993144652684,25.923639992750672,0.0,19.22437960867932,0.0,16.835593968657875,0.0,18.146562199734426,29.25415910638388,17.77222369001015,15.88937949817943,2.294570549846996,2,44.65871896340747,43.715169759505365,2.8623993144652684,0.0,0.0,9.79096695103555,5.719716975726273,57.49573349813933,0.0,0.0,19.384615384615383,5.719716975726273,11.374772549367124,0.0,0.0,30.868966357389287,20.236253718067108,10.114318268765572,22.09297143275575,46.04547919701532,2.8236841566564013,14.9665428065364,0.0,177.89999999999998,148.8906031068727,0.0,6.591801700473791,11.297825529043338,-5.954285941095242,0.0,-11.698575262520068,0.0,0.0,-10.960702466107854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2218748141112676
compound_50,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,1.469,50,2.5937345205193583,2.3939672905752776,-2.2183225092648966,2.439910195563188,-2.1998419212411457,5.994922880233223,-0.396505491201279,16.633706004676373,9.795627549436384,5.337176812749564,1108.9372211834368,31.696152422706632,27.935668643319232,9.93566864331923,16.79145188432738,13.881634484072112,4.881634484072111,3.790557310901987,3.790557310901987,2.4144240397860344,2.4144240397860344,1.6713706409110436,1.6713706409110436,95.78478873332622,25.02317372160297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.67365401106396,294.1215716760005,1.0476190476190477,1.5238095238095235,1.809523809523809,0.5,-2.31,21,276.163,17925237.02168079,4.344797537967552,5.231746945272314,2.764467714355416,147.10788258273374,12.86150781840514,0.2944811677245609,12.86150781840514,0.2831422882546509,1.9428561980347705,0.2831422882546509,-4.708961522108845,-0.2944811677245609,3.6199400000000033,77.92930000000003,294.3069999999997,0,7,0,0,0,0,1,0,1,0,39,39,0,5,0,7,0,0,1,3,0,0,0,0,0,114,0.0,5.563451491696996,5.783244946364939,0.0,11.374772549367124,0.0,25.02317372160297,0.0,0.0,0.0,20.55567635188704,20.55567635188704,46.77899895555176,9.846622097635342,1.0824229165280197,1,39.314813292771134,17.158017495732064,0.0,0.0,0.0,46.52634317317085,0.0,42.48244250431912,0.0,0.0,27.61904761904762,0.0,11.374772549367124,0.0,0.0,15.629867044000282,5.41499046939678,33.932420772122505,79.12956563110644,0.0,0.0,0.0,0.0,103.35,138.24223816609975,0.0,33.508765943877535,24.53297052154194,-18.550797311980347,-2.4724527588813308,0.0,0.0,-25.84405789399094,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4807898082802458
compound_137,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1.47,137,2.554987790312304,2.111793839408686,-2.091988525249638,2.3830213112801326,-1.8934791006815108,6.397436106050429,-0.3844491648454951,35.49797927622855,10.272262070980256,2.741458382395714,865.934457957773,19.212660280651686,14.805851885919228,11.073638723974591,11.500682875346945,7.563950169397794,5.697843588425476,3.0579736554286963,4.191867074456379,1.813250904911874,2.534500964387808,1.0622589536433311,1.851455411952727,68.40949986353147,10.114318268765572,0.0,5.022633313741326,0.0,0.0,0.0,0.0,0.0,0.0,47.76423396151894,316.94132609200017,1.105263157894737,1.631578947368421,2.1052631578947367,0.0,-1.489999999999999,19,312.495,206443.01345723416,7.944995766055904,5.651337098190459,3.288879479716202,131.5946399592195,10.903275491810843,0.4542201567482338,10.903275491810843,0.269195976810983,0.342032870795496,0.269195976810983,-1.0450494850356558,-0.4542201567482338,5.3473000000000015,74.64240000000001,318.5429999999999,0,4,0,0,0,0,2,0,2,0,25,26,0,3,0,7,0,0,2,3,0,0,0,0,0,98,4.736862953800049,5.749511833283905,5.749511833283905,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,34.802819670697545,24.16967483065318,17.107470729067916,23.19312901332164,2.3631499640883087,2,17.884725339639036,40.49020594538111,0.0,0.0,0.0,0.0,0.0,61.43673045596932,0.0,11.49902366656781,14.68421052631579,4.736862953800049,5.687386274683562,11.49902366656781,34.802819670697545,4.923311048817671,0.0,10.114318268765572,8.224551337021321,36.25451224597977,15.067899941223978,0.0,0.0,52.370000000000005,51.40165815603526,17.52827885291449,9.85822600677519,9.730157440029377,-1.015730452674897,-1.163973293020911,-4.505283376725174,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5661283620978897
compound_63,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Cl,1.499,63,2.1842535488126584,2.1707432714625776,-1.999203181623232,2.236736688646264,-1.9647123041035743,8.133889257446064,-0.3846244401933341,35.73294335624672,10.206695752648264,4.130015464731622,700.4927684637179,16.04145188432738,12.3664195208285,7.938845047774682,8.797434948471087,6.030515997947446,5.339857754774712,2.1226886091283914,4.625471657619849,1.1912890352817065,2.4480219863113044,0.6539053581281719,1.514521027089177,55.09960135682304,18.53211525309451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.906940596910808,234.970606352,1.6428571428571428,2.2857142857142856,2.7142857142857144,0.1428571428571428,-1.1399999999999997,14,229.6,8953.255296583087,5.0854216760434925,3.5463847536988524,2.209445736781263,93.31161181926431,11.387822499370117,0.2702968483372703,11.387822499370117,0.2702968483372703,1.1572299382716051,0.2583090357873178,-4.825624999999998,-0.2583090357873178,1.83072,50.87220000000002,235.64800000000005,0,5,0,0,0,0,1,0,1,0,20,20,0,4,0,7,0,0,1,2,0,0,0,0,0,76,0.0,0.0,0.0,0.0,14.73820710050504,0.0,10.114318268765572,8.417796984328938,0.0,0.0,6.042418707663295,12.415343608992677,26.87950234372673,13.931070192846104,1.2882044212893076,1,21.565659370167925,25.420596360394526,0.0,0.0,0.0,11.747375592813455,0.0,33.80502588345245,0.0,0.0,18.357142857142858,0.0,5.687386274683562,0.0,10.682389259889488,13.341108033146607,9.050820825821477,16.966210386061253,13.788002828718314,23.02273959850766,0.0,0.0,0.0,77.28,66.48204554043839,0.0,8.159281620055431,10.738664965986397,-2.4626620370370365,0.0,-3.653479938271604,0.0,-3.1715225812547247,0.1854502078609226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4451244544220216
compound_7,O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],1.503,7,2.8531705487248,2.364090450200617,-2.01562837112092,2.447862682986458,-1.9957457432557864,6.232830372879182,-0.3933119497302323,16.63631780664479,10.026418381086152,2.641664255081656,1180.578323138606,21.23760430703402,15.699378819746917,10.699378819746917,12.92820323027551,8.220389653492202,5.720389653492202,4.271273893737014,4.271273893737014,3.018158598799559,3.018158598799559,2.117557281041514,2.117557281041514,90.08123642197307,35.13749199036854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853792780851101,315.0127495000001,0.782608695652174,1.391304347826087,1.9565217391304348,0.0,-3.69,23,310.15700000000004,1072073.1273422462,9.352274948531244,4.660591555503037,2.0032089934998734,132.99291005481055,12.715336356764928,0.2885530808316202,12.715336356764928,0.2843414260489819,0.7044463340891911,0.2843414260489819,-1.330740740740741,-0.2885530808316202,2.622600000000001,75.27370000000002,315.19699999999995,0,10,1,0,1,0,2,0,2,0,28,30,0,7,0,10,0,0,3,3,0,0,0,0,0,114,0.0,0.0,5.783244946364939,0.0,17.062158824050687,0.0,35.13749199036854,0.0,0.0,0.0,0.0,6.042418707663295,34.81761059808087,33.229596126664404,1.895092767385536,3,26.41826311137593,22.845403770415626,0.0,0.0,0.0,0.0,0.0,71.68195132800717,0.0,11.126902983393991,14.782608695652174,0.0,17.062158824050687,0.0,0.0,20.55317809281795,0.0,30.34295480629672,22.775232948316912,30.21209353831648,0.0,11.126902983393991,0.0,146.49,39.10949499244141,0.0,42.824406074158055,33.75439552364155,-7.043430230116737,-1.330740740740741,-5.647458952716889,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532561979950938
