compound_id,split,leverage,standardized_residual,h_star,applicability_domain,in_domain
compound_26,train,0.05828737569801486,0.9496825744104174,0.45,in_domain,True
compound_7,train,0.0983474008215269,-0.9540251228771471,0.45,in_domain,True
compound_6,train,0.12092490265037922,0.0427394624394372,0.45,in_domain,True
compound_19,train,0.07005016675983611,-0.3357541094118424,0.45,in_domain,True
compound_9,train,0.07953153376787955,-2.415588405831602,0.45,in_domain,True
compound_14,train,0.11306033177017864,0.19747729652854396,0.45,in_domain,True
compound_8,train,0.0866368159482895,-1.7029325369508264,0.45,in_domain,True
compound_13,train,0.054158358806229046,1.8640679464123682,0.45,in_domain,True
compound_11,train,0.06574980711473039,-0.13555340746028235,0.45,in_domain,True
compound_0,train,0.13660246601988002,-0.041735601980625106,0.45,in_domain,True
compound_16,train,0.13730167927103257,-0.19838518688008605,0.45,in_domain,True
compound_4,train,0.13020846598180807,-0.4222499308844624,0.45,in_domain,True
compound_18,train,0.08438872920237075,0.19809022867493942,0.45,in_domain,True
compound_10,train,0.1265334281902395,0.5719200091998973,0.45,in_domain,True
compound_5,train,0.09374408406820511,0.19803725320141569,0.45,in_domain,True
compound_15,train,0.13223566172089257,0.19693482801081702,0.45,in_domain,True
compound_24,train,0.768931230820646,0.19693484743267206,0.45,high_leverage,False
compound_21,train,0.1084879692639173,0.07159034439746458,0.45,in_domain,True
compound_23,train,0.29812648529450947,0.16842837371080108,0.45,in_domain,True
compound_22,train,0.23669310682943437,-0.19703968453002388,0.45,in_domain,True
compound_12,test,0.10127212352612405,-1.901258634084792,0.45,in_domain,True
compound_3,test,0.12147045563061507,-1.847974951886955,0.45,in_domain,True
compound_25,test,0.0539065398614247,1.2116727372316383,0.45,in_domain,True
compound_17,test,0.0833808582738297,-1.0689850839729464,0.45,in_domain,True
compound_1,test,1.4175913278233363,-1.2824974168266687,0.45,high_leverage,False
compound_2,test,0.11660016990960442,0.5902287235677097,0.45,in_domain,True
compound_20,test,0.17157988519115924,0.6305071389570751,0.45,in_domain,True
