rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999991705725639,0.29785795714398744,0.5098809614153919,0.0,0.0,0.0,0.0,0.7021412134285765,True
2,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999991705725639,0.29785795714398733,0.5098809614153921,0.0,0.0,0.0,0.0,0.7021412134285766,False
3,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999991705725639,0.29785795714398716,0.5098809614153925,0.0,0.0,0.0,0.0,0.7021412134285767,False
4,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999994998461142,0.2937415613510364,0.5260209049867504,0.0,0.0,0.0,0.0,0.7062579384950778,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999994998461142,0.2937415613510358,0.5260209049867514,0.0,0.0,0.0,0.0,0.7062579384950785,False
6,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999994998461142,0.2937415613510358,0.5260209049867514,0.0,0.0,0.0,0.0,0.7062579384950785,False
7,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9099812627255165,0.2401906614656025,0.4962359036538831,0.0,0.0,0.0,0.0,0.669790601259914,False
8,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9099812627255165,0.24019066146560242,0.49623590365388304,0.0,0.0,0.0,0.0,0.6697906012599141,False
9,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9099812627255165,0.24019066146560242,0.49623590365388304,0.0,0.0,0.0,0.0,0.6697906012599141,False
10,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9076668356324517,0.22216685147573179,0.5335605494053478,0.0,0.0,0.0,0.0,0.6854999841567199,False
11,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9076668356324517,0.22216685147573173,0.5335605494053479,0.0,0.0,0.0,0.0,0.68549998415672,False
12,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9076668356324517,0.2221668514757317,0.5335605494053478,0.0,0.0,0.0,0.0,0.68549998415672,False
13,"{'bootstrap': True, 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5144671779323179,0.10476639540438315,0.29934762736420517,0.0,0.0,0.0,0.0,0.40970078252793474,False
14,"{'bootstrap': True, 'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.514467177932318,0.10476639540438315,0.29934762736420517,0.0,0.0,0.0,0.0,0.40970078252793485,False
15,"{'bootstrap': True, 'max_depth': 2, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5144671779323179,0.10476639540438304,0.299347627364205,0.0,0.0,0.0,0.0,0.40970078252793485,False
