rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,True
2,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,False
3,"{'metric': 'euclidean', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,False
4,"{'metric': 'euclidean', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,False
5,"{'metric': 'manhattan', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,False
6,"{'metric': 'manhattan', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.729852286215709,0.34582004810188244,0.5776922853030692,0.0,0.0,0.0,0.0,0.38403223811382653,False
7,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
8,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
9,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
10,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
11,"{'metric': 'manhattan', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
12,"{'metric': 'manhattan', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7937050739613014,0.2310398928306391,0.8073734083187071,0.0,0.0,0.0,0.0,0.5626651811306623,False
