rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'max_iter': 100, 'n_components': 4, 'scale': True}",0.8812073251957756,0.6732360757665038,0.197135113989849,0.0,0.0,0.0,0.0,0.2079712494292718,True
2,"{'max_iter': 100, 'n_components': 4, 'scale': False}",0.8812073251957756,0.6732360757665038,0.1971351139898489,0.0,0.0,0.0,0.0,0.2079712494292718,False
3,"{'max_iter': 200, 'n_components': 4, 'scale': True}",0.8812073251957756,0.6732360757665038,0.197135113989849,0.0,0.0,0.0,0.0,0.2079712494292718,False
4,"{'max_iter': 200, 'n_components': 4, 'scale': False}",0.8812073251957756,0.6732360757665038,0.1971351139898489,0.0,0.0,0.0,0.0,0.2079712494292718,False
5,"{'max_iter': 500, 'n_components': 4, 'scale': True}",0.8812073251957756,0.6732360757665038,0.197135113989849,0.0,0.0,0.0,0.0,0.2079712494292718,False
6,"{'max_iter': 500, 'n_components': 4, 'scale': False}",0.8812073251957756,0.6732360757665038,0.1971351139898489,0.0,0.0,0.0,0.0,0.2079712494292718,False
7,"{'max_iter': 1000, 'n_components': 4, 'scale': True}",0.8812073251957756,0.6732360757665038,0.197135113989849,0.0,0.0,0.0,0.0,0.2079712494292718,False
8,"{'max_iter': 1000, 'n_components': 4, 'scale': False}",0.8812073251957756,0.6732360757665038,0.1971351139898489,0.0,0.0,0.0,0.0,0.2079712494292718,False
9,"{'max_iter': 100, 'n_components': 3, 'scale': False}",0.8607062957735657,0.6542904698722865,0.1890698218656893,0.0,0.0,0.0,0.0,0.20641582590127927,False
10,"{'max_iter': 200, 'n_components': 3, 'scale': False}",0.8607062957735657,0.6542904698722865,0.1890698218656893,0.0,0.0,0.0,0.0,0.20641582590127927,False
11,"{'max_iter': 500, 'n_components': 3, 'scale': False}",0.8607062957735657,0.6542904698722865,0.1890698218656893,0.0,0.0,0.0,0.0,0.20641582590127927,False
12,"{'max_iter': 1000, 'n_components': 3, 'scale': False}",0.8607062957735657,0.6542904698722865,0.1890698218656893,0.0,0.0,0.0,0.0,0.20641582590127927,False
13,"{'max_iter': 100, 'n_components': 3, 'scale': True}",0.8590195294620401,0.5225084254235373,0.33925842311241483,0.0,0.0,0.0,0.0,0.3365111040385028,False
14,"{'max_iter': 200, 'n_components': 3, 'scale': True}",0.8590195294620401,0.5225084254235373,0.33925842311241483,0.0,0.0,0.0,0.0,0.3365111040385028,False
15,"{'max_iter': 500, 'n_components': 3, 'scale': True}",0.8590195294620401,0.5225084254235373,0.33925842311241483,0.0,0.0,0.0,0.0,0.3365111040385028,False
16,"{'max_iter': 1000, 'n_components': 3, 'scale': True}",0.8590195294620401,0.5225084254235373,0.33925842311241483,0.0,0.0,0.0,0.0,0.3365111040385028,False
17,"{'max_iter': 100, 'n_components': 2, 'scale': False}",0.8222732817112082,0.47468356265041506,0.28038356483493815,0.0,0.0,0.0,0.0,0.3475897190607931,False
18,"{'max_iter': 200, 'n_components': 2, 'scale': False}",0.8222732817112082,0.47468356265041506,0.28038356483493815,0.0,0.0,0.0,0.0,0.3475897190607931,False
19,"{'max_iter': 500, 'n_components': 2, 'scale': False}",0.8222732817112082,0.47468356265041506,0.28038356483493815,0.0,0.0,0.0,0.0,0.3475897190607931,False
20,"{'max_iter': 1000, 'n_components': 2, 'scale': False}",0.8222732817112082,0.47468356265041506,0.28038356483493815,0.0,0.0,0.0,0.0,0.3475897190607931,False
21,"{'max_iter': 100, 'n_components': 2, 'scale': True}",0.823282346615032,0.45112797064446014,0.32931422779642316,0.0,0.0,0.0,0.0,0.3721543759705718,False
22,"{'max_iter': 200, 'n_components': 2, 'scale': True}",0.823282346615032,0.45112797064446014,0.32931422779642316,0.0,0.0,0.0,0.0,0.3721543759705718,False
23,"{'max_iter': 500, 'n_components': 2, 'scale': True}",0.823282346615032,0.45112797064446014,0.32931422779642316,0.0,0.0,0.0,0.0,0.3721543759705718,False
24,"{'max_iter': 1000, 'n_components': 2, 'scale': True}",0.823282346615032,0.45112797064446014,0.32931422779642316,0.0,0.0,0.0,0.0,0.3721543759705718,False
25,"{'max_iter': 100, 'n_components': 1, 'scale': True}",0.7184363009548473,0.16234480566725834,0.3991151742564268,0.0,0.0,0.0,0.0,0.556091495287589,False
26,"{'max_iter': 200, 'n_components': 1, 'scale': True}",0.7184363009548473,0.16234480566725834,0.3991151742564268,0.0,0.0,0.0,0.0,0.556091495287589,False
27,"{'max_iter': 500, 'n_components': 1, 'scale': True}",0.7184363009548473,0.16234480566725834,0.3991151742564268,0.0,0.0,0.0,0.0,0.556091495287589,False
28,"{'max_iter': 1000, 'n_components': 1, 'scale': True}",0.7184363009548473,0.16234480566725834,0.3991151742564268,0.0,0.0,0.0,0.0,0.556091495287589,False
29,"{'max_iter': 100, 'n_components': 1, 'scale': False}",0.694675302905501,0.08175191628126992,0.42748784113718197,0.0,0.0,0.0,0.0,0.6129233866242311,False
30,"{'max_iter': 200, 'n_components': 1, 'scale': False}",0.694675302905501,0.08175191628126992,0.42748784113718197,0.0,0.0,0.0,0.0,0.6129233866242311,False
31,"{'max_iter': 500, 'n_components': 1, 'scale': False}",0.694675302905501,0.08175191628126992,0.42748784113718197,0.0,0.0,0.0,0.0,0.6129233866242311,False
32,"{'max_iter': 1000, 'n_components': 1, 'scale': False}",0.694675302905501,0.08175191628126992,0.42748784113718197,0.0,0.0,0.0,0.0,0.6129233866242311,False
