rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9612606776452648,0.6592457942841772,0.07374468927614133,0.0,0.0,0.0,0.0,0.3020148833610876,True
2,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9612606776452649,0.6592457942841771,0.07374468927614142,0.0,0.0,0.0,0.0,0.30201488336108784,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8811007443094979,0.6542418891097779,0.14253962847325183,0.0,0.0,0.0,0.0,0.22685885519972004,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8811007443094979,0.6542418891097774,0.14253962847325188,0.0,0.0,0.0,0.0,0.2268588551997205,False
5,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8658896397293873,0.6422517542695612,0.15328127450423543,0.0,0.0,0.0,0.0,0.2236378854598261,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8658896397293875,0.6422517542695612,0.1532812745042354,0.0,0.0,0.0,0.0,0.22363788545982632,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9629164201282638,0.6408575159874399,0.0964678839056576,0.0,0.0,0.0,0.0,0.32205890414082394,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9629164201282638,0.6408575159874399,0.0964678839056576,0.0,0.0,0.0,0.0,0.32205890414082394,False
9,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8837943450530925,0.5706379438284588,0.2177426209151831,0.0,0.0,0.0,0.0,0.31315640122463373,False
10,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8837943450530925,0.5706379438284587,0.21774262091518348,0.0,0.0,0.0,0.0,0.31315640122463384,False
