compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,6.213411,3.449809,1,train
compound_1,1,6.725529,3.7783623,1,test
compound_2,2,8.898123,2.6074476,2,test
compound_3,3,7.925864,2.3941653,0,test
compound_4,4,5.937224,3.9515996,1,train
compound_5,5,6.1093855,3.1414878,1,train
compound_6,6,7.264035,2.3698704,0,train
compound_7,7,7.6729813,1.9198228,0,train
compound_8,8,8.355336,1.2698672,0,train
compound_9,9,8.14291,1.4690186,0,train
compound_10,10,6.3810787,4.188459,1,train
compound_11,11,6.66571,2.56685,1,train
compound_12,12,7.702871,3.04344,0,test
compound_13,13,8.3643675,2.1704419,0,train
compound_14,14,7.4308825,1.5198083,0,train
compound_15,15,7.0526085,3.0422046,1,train
compound_16,16,5.7235584,2.8758392,1,train
compound_17,17,6.1637664,2.6615865,1,test
compound_18,18,6.2896514,2.08286,1,train
compound_19,19,6.8839297,1.782583,0,train
compound_20,20,9.560173,3.631511,2,test
compound_21,21,9.579884,3.125654,2,train
compound_22,22,9.208611,3.881965,2,train
compound_23,23,9.842649,2.9260993,2,train
compound_24,24,9.251931,3.2673,2,train
compound_25,25,9.379108,1.8580126,0,test
compound_26,26,9.003605,1.7608573,0,train
