n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.8915903814044308,0.33122265911762067,0.2139890023645749,['RDKit_MaxAbsPartialCharge'],0.03654423052636124,0.18388344482199095
2,0.901229618242551,0.43011118354254696,0.1351611903769507,"['RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.37659249780377935,0.40335184067316315
3,0.9135796069667007,0.4685234154920431,0.11145359366613607,"['RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.3970792728258553,0.4328013441589492
4,0.9320967591762394,0.5100494393695959,0.09627507150441021,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.39058562792462914,0.4503175336471125
5,0.9333342213232338,0.5277714057332108,0.10200579630011604,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_fr_ether']",0.3685845642246014,0.4481779849789061
6,0.9320954637305643,0.5384432246983131,0.06848725328443409,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_ether']",0.5111485386855952,0.5247958816919541
7,0.9243861027788711,0.5735837048759338,0.05204157433625431,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_ether']",0.4776753145720879,0.5256295097240109
8,0.9276925106582792,0.5794047116330211,0.06086638863863765,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.5072536671142563,0.5433291893736387
9,0.9303365642725023,0.5687216078543169,0.07408624548158536,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_NumAromaticHeterocycles', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.479385683961119,0.524053645907718
10,0.9296236497369376,0.5744678725175072,0.0639464616840118,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_NumAromaticHeterocycles', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_Ar_NH', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.49651765664839176,0.5354927645829495
