compound_id,original_row_index,umap_1,umap_2,cluster,split
C001,0,23.208012,19.761103,4,train
C002,1,23.692957,19.385712,4,train
C003,2,21.35232,18.538795,7,train
C004,3,21.62744,20.724657,5,train
C005,4,23.108847,19.324121,4,train
C006,5,22.524046,19.631512,2,train
C007,6,21.993542,19.717445,2,train
C008,7,21.5232,20.003117,2,train
C009,8,20.888264,19.879393,0,train
C010,9,20.98941,20.279074,0,train
C011,10,23.200083,18.849712,4,train
C012,11,22.622648,20.458187,1,train
C013,12,22.134338,20.617905,5,train
C014,13,21.379597,19.207146,7,train
C015,14,21.866283,19.016903,7,train
C016,15,23.650438,20.423304,1,train
C017,16,23.170578,20.290611,1,train
C018,17,22.861122,20.010502,1,train
C019,18,23.013962,20.971046,1,train
C020,19,22.203545,21.156994,5,train
C021,20,20.993244,18.236969,3,train
C022,21,21.383894,18.014074,3,train
C023,22,20.948269,17.694544,3,train
C024,23,20.540625,17.712204,3,train
C025,24,20.32394,18.093645,3,train
C026,25,20.413477,18.996172,6,train
C027,26,20.37854,19.470625,6,train
