mol_id,smiles,error,RDKit_AvgIpc,RDKit_BCUT2D_CHGHI,RDKit_BCUT2D_CHGLO,RDKit_BCUT2D_LOGPHI,RDKit_BCUT2D_LOGPLOW,RDKit_BCUT2D_MRHI,RDKit_BCUT2D_MRLOW,RDKit_BCUT2D_MWHI,RDKit_BCUT2D_MWLOW,RDKit_BalabanJ,RDKit_BertzCT,RDKit_Chi0,RDKit_Chi0n,RDKit_Chi0v,RDKit_Chi1,RDKit_Chi1n,RDKit_Chi1v,RDKit_Chi2n,RDKit_Chi2v,RDKit_Chi3n,RDKit_Chi3v,RDKit_Chi4n,RDKit_Chi4v,RDKit_EState_VSA1,RDKit_EState_VSA10,RDKit_EState_VSA11,RDKit_EState_VSA2,RDKit_EState_VSA3,RDKit_EState_VSA4,RDKit_EState_VSA5,RDKit_EState_VSA6,RDKit_EState_VSA7,RDKit_EState_VSA8,RDKit_EState_VSA9,RDKit_ExactMolWt,RDKit_FpDensityMorgan1,RDKit_FpDensityMorgan2,RDKit_FpDensityMorgan3,RDKit_FractionCSP3,RDKit_HallKierAlpha,RDKit_HeavyAtomCount,RDKit_HeavyAtomMolWt,RDKit_Ipc,RDKit_Kappa1,RDKit_Kappa2,RDKit_Kappa3,RDKit_LabuteASA,RDKit_MaxAbsEStateIndex,RDKit_MaxAbsPartialCharge,RDKit_MaxEStateIndex,RDKit_MaxPartialCharge,RDKit_MinAbsEStateIndex,RDKit_MinAbsPartialCharge,RDKit_MinEStateIndex,RDKit_MinPartialCharge,RDKit_MolLogP,RDKit_MolMR,RDKit_MolWt,RDKit_NHOHCount,RDKit_NOCount,RDKit_NumAliphaticCarbocycles,RDKit_NumAliphaticHeterocycles,RDKit_NumAliphaticRings,RDKit_NumAmideBonds,RDKit_NumAromaticCarbocycles,RDKit_NumAromaticHeterocycles,RDKit_NumAromaticRings,RDKit_NumAtomStereoCenters,RDKit_NumAtoms,RDKit_NumBonds,RDKit_NumBridgeheadAtoms,RDKit_NumHAcceptors,RDKit_NumHDonors,RDKit_NumHeteroatoms,RDKit_NumHeterocycles,RDKit_NumRadicalElectrons,RDKit_NumRings,RDKit_NumRotatableBonds,RDKit_NumSaturatedCarbocycles,RDKit_NumSaturatedHeterocycles,RDKit_NumSaturatedRings,RDKit_NumSpiroAtoms,RDKit_NumUnspecifiedAtomStereoCenters,RDKit_NumValenceElectrons,RDKit_PEOE_VSA1,RDKit_PEOE_VSA10,RDKit_PEOE_VSA11,RDKit_PEOE_VSA12,RDKit_PEOE_VSA13,RDKit_PEOE_VSA14,RDKit_PEOE_VSA2,RDKit_PEOE_VSA3,RDKit_PEOE_VSA4,RDKit_PEOE_VSA5,RDKit_PEOE_VSA6,RDKit_PEOE_VSA7,RDKit_PEOE_VSA8,RDKit_PEOE_VSA9,RDKit_Phi,RDKit_RingCount,RDKit_SMR_VSA1,RDKit_SMR_VSA10,RDKit_SMR_VSA2,RDKit_SMR_VSA3,RDKit_SMR_VSA4,RDKit_SMR_VSA5,RDKit_SMR_VSA6,RDKit_SMR_VSA7,RDKit_SMR_VSA8,RDKit_SMR_VSA9,RDKit_SPS,RDKit_SlogP_VSA1,RDKit_SlogP_VSA10,RDKit_SlogP_VSA11,RDKit_SlogP_VSA12,RDKit_SlogP_VSA2,RDKit_SlogP_VSA3,RDKit_SlogP_VSA4,RDKit_SlogP_VSA5,RDKit_SlogP_VSA6,RDKit_SlogP_VSA7,RDKit_SlogP_VSA8,RDKit_SlogP_VSA9,RDKit_TPSA,RDKit_VSA_EState1,RDKit_VSA_EState10,RDKit_VSA_EState2,RDKit_VSA_EState3,RDKit_VSA_EState4,RDKit_VSA_EState5,RDKit_VSA_EState6,RDKit_VSA_EState7,RDKit_VSA_EState8,RDKit_VSA_EState9,RDKit_fr_Al_COO,RDKit_fr_Al_OH,RDKit_fr_Al_OH_noTert,RDKit_fr_ArN,RDKit_fr_Ar_COO,RDKit_fr_Ar_N,RDKit_fr_Ar_NH,RDKit_fr_Ar_OH,RDKit_fr_COO,RDKit_fr_COO2,RDKit_fr_C_O,RDKit_fr_C_O_noCOO,RDKit_fr_C_S,RDKit_fr_HOCCN,RDKit_fr_Imine,RDKit_fr_NH0,RDKit_fr_NH1,RDKit_fr_NH2,RDKit_fr_N_O,RDKit_fr_Ndealkylation1,RDKit_fr_Ndealkylation2,RDKit_fr_Nhpyrrole,RDKit_fr_SH,RDKit_fr_aldehyde,RDKit_fr_alkyl_carbamate,RDKit_fr_alkyl_halide,RDKit_fr_allylic_oxid,RDKit_fr_amide,RDKit_fr_amidine,RDKit_fr_aniline,RDKit_fr_aryl_methyl,RDKit_fr_azide,RDKit_fr_azo,RDKit_fr_barbitur,RDKit_fr_benzene,RDKit_fr_benzodiazepine,RDKit_fr_bicyclic,RDKit_fr_diazo,RDKit_fr_dihydropyridine,RDKit_fr_epoxide,RDKit_fr_ester,RDKit_fr_ether,RDKit_fr_furan,RDKit_fr_guanido,RDKit_fr_halogen,RDKit_fr_hdrzine,RDKit_fr_hdrzone,RDKit_fr_imidazole,RDKit_fr_imide,RDKit_fr_isocyan,RDKit_fr_isothiocyan,RDKit_fr_ketone,RDKit_fr_ketone_Topliss,RDKit_fr_lactam,RDKit_fr_lactone,RDKit_fr_methoxy,RDKit_fr_morpholine,RDKit_fr_nitrile,RDKit_fr_nitro,RDKit_fr_nitro_arom,RDKit_fr_nitro_arom_nonortho,RDKit_fr_nitroso,RDKit_fr_oxazole,RDKit_fr_oxime,RDKit_fr_para_hydroxylation,RDKit_fr_phenol,RDKit_fr_phenol_noOrthoHbond,RDKit_fr_phos_acid,RDKit_fr_phos_ester,RDKit_fr_piperdine,RDKit_fr_piperzine,RDKit_fr_priamide,RDKit_fr_prisulfonamd,RDKit_fr_pyridine,RDKit_fr_quatN,RDKit_fr_sulfide,RDKit_fr_sulfonamd,RDKit_fr_sulfone,RDKit_fr_term_acetylene,RDKit_fr_tetrazole,RDKit_fr_thiazole,RDKit_fr_thiocyan,RDKit_fr_thiophene,RDKit_fr_unbrch_alkane,RDKit_fr_urea,RDKit_qed
mol_0001,CCO,,1.6364527976600283,1.3402935186707783,-1.52235869276019,1.2962426382141046,-1.5683635470355741,3.835802335589486,0.3184056131739115,16.248991329327914,10.908168035086371,4.1447263667447585,93.72120767599533,7.707106781186548,7.408248290463863,1.4082482904638631,3.8106601717798214,3.3623724356957947,0.45412414523193156,0.10206207261596577,0.10206207261596577,0.0,0.0,0.0,0.0,13.410877360211968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,8.284992438083735,46.041864812,3.3333333333333335,4.333333333333333,4.333333333333333,1.0,-0.04,3,40.021,49.09358392980085,0.17946415494558218,1.96,1.9600000000000033,28.414920153556285,6.520833333333334,0.3966637147812598,6.520833333333334,0.21002230656786322,2.854166666666667,0.21002230656786322,-2.880208333333333,-0.3966637147812598,-0.0014000000000000123,12.759800000000002,46.06900000000002,1,1,0,0,0,0,0,0,0,0,9,8,0,1,1,1,0,0,0,1,0,0,0,0,0,20,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.851892117295679,10.671260911426948,2.7415171123404405,0.11724991456444701,0,11.962600971958313,0.0,1.4311996572326342,0.0,0.0,6.851892117295679,6.558985242916289,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,13.098993091256135,0.0,0.0,13.705684898146778,0.0,0.0,0.0,0.0,20.23,38.411458333333336,0.0,0.0,3.3229166666666665,0.0,0.0,0.0,0.0,-5.734375,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40680796565539457
mol_0002,CC(=O)O,,1.6203352658383443,1.6509951854331453,-1.5897739953032324,1.4156543939895587,-1.7770437432804953,5.624779759282926,-0.1339289924624054,16.36392906806316,10.854985217204096,3.823378455220923,94.70165766734145,6.784457050376173,5.816496580927726,1.8164965809277263,3.481380475434849,2.5664965809277263,0.6582482904638631,0.2874574785652649,0.2874574785652649,0.0,0.0,0.0,0.0,12.821197405247528,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,5.5434753257432945,60.021129368000004,2.75,3.5,3.5,0.5,-0.53,4,56.02,35.64737584844357,0.5057254621854761,0.8748582995951415,1.1560092559629747,29.766501253264423,9.86111111111111,0.481433475172105,9.86111111111111,0.2996845531582142,1.5023148148148142,0.2996845531582142,-2.7899305555555554,-0.481433475172105,0.09089999999999993,13.309800000000001,60.052000000000014,1,2,0,0,0,0,0,0,0,0,8,7,0,2,1,2,0,0,0,0,0,0,0,0,0,24,5.1088081911072125,0.0,0.0,0.0,7.400504945184483,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,10.964167785806339,0.0,0.11060952947738815,0,14.015621043689693,5.969305287951849,1.4311996572326342,0.0,0.0,6.851892117295679,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,11.078113479059063,4.794537184071822,0.0,10.964167785806339,0.0,0.0,1.4311996572326342,0.0,37.3,24.68460648148148,0.0,9.86111111111111,3.163194444444444,0.0,-1.5023148148148142,0.0,0.0,-2.7899305555555554,0.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4298828832001217
mol_0003,c1ccccc1,,2.0815718239857546,1.5737245910733615,-1.6942617326375462,1.794093161855452,-1.4738931618554547,4.985993161855452,1.718006838144549,13.646993161855445,10.379006838144555,3.6035674514745475,226.30309024251744,9.464101615137753,9.0,3.0,5.464101615137755,4.5,1.5,0.75,0.75,0.375,0.375,0.1875,0.1875,36.25451224597977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224551337021321,78.046950192,0.6666666666666666,0.8333333333333334,1.0,0.0,-0.78,6,72.06599999999999,416.3143647971509,0.7384306099688293,1.6057694396735218,0.5823992601400448,45.86122612050386,7.124074074074074,0.062268570782092456,7.124074074074074,0.062268570782092456,0.45740740740740704,0.062268570782092456,-0.4574074074074075,-0.062268570782092456,1.6866,26.441999999999993,78.11399999999996,0,0,0,0,0,0,1,0,1,0,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.25451224597977,0.0,0.0,8.224551337021321,0.19762488446790397,1,8.224551337021321,0.0,0.0,0.0,0.0,0.0,0.0,36.25451224597977,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224551337021321,36.25451224597977,0.0,0.0,0.0,0.0,42.74444444444444,0.0,0.0,0.0,0.0,0.0,-2.7444444444444436,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4426283718993647
mol_0004,CCN(CC)CC,,2.0891044253164472,1.8864857861950215,-2.1286089365787904,1.8114384649611266,-2.2112352906930988,4.433272057859487,0.3209274290262543,15.09580002661219,10.497093103819527,6.533934570162153,333.91287220171534,18.577350269189626,18.44721359549996,3.447213595499958,9.116025403784437,8.920820393249937,1.4208203932499368,0.6708203932499369,0.6708203932499369,0.33541019662496846,0.33541019662496846,0.08385254915624211,0.08385254915624211,44.94616513568535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.561378342553297,101.12044947999999,1.2857142857142858,1.7142857142857142,2.0,1.0,-0.04,7,86.07299999999998,8826.46619696199,0.5627547928442398,4.127785234899329,2.6311409395973158,67.39835277253319,7.45625,0.3041599430182366,7.45625,0.04276812622517467,0.875,0.04276812622517467,-3.9000000000000012,-0.3041599430182366,1.3481,33.46199999999998,101.19299999999991,0,1,0,0,0,0,0,0,0,0,22,21,0,1,0,1,0,0,0,3,0,0,0,0,0,44,4.899909730850478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.555676351887037,19.490579052947837,20.561378342553297,0.0,0.3318472749673262,0,20.561378342553297,0.0,0.0,4.899909730850478,0.0,20.555676351887037,19.490579052947837,0.0,0.0,0.0,53.57142857142857,0.0,0.0,0.0,0.0,24.39048878379831,0.0,0.0,41.117054694440355,0.0,0.0,0.0,0.0,3.24,108.18749999999997,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,-22.812500000000007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5183748699715436
mol_0005,CC(C)O,,1.8054722985800935,1.6882269952162394,-1.7983014802258805,1.64578110289585,-1.848436775374454,4.204004313602449,0.21562482738807573,16.26364309024246,10.503601865317728,4.951010560684259,140.66635800869278,10.207106781186548,9.908248290463863,1.9082482904638631,5.060660171779822,4.612372435695795,0.7041241452319316,0.32912414523193156,0.32912414523193156,0.0,0.0,0.0,0.0,19.783802261541346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,11.026509550424175,60.057514876,2.5,3.25,3.25,1.0,-0.04,4,52.032000000000004,173.32534066368896,0.28884010868986093,1.297837837837838,1128.9599999999998,37.58980326828852,6.9375,0.3937069016405105,6.9375,0.21041635774833264,3.166666666666666,0.21041635774833264,-3.166666666666667,-0.3937069016405105,0.38710000000000006,17.354800000000004,60.096000000000025,1,1,0,0,0,0,0,0,0,0,12,11,0,1,1,1,0,0,0,1,0,0,0,0,0,26,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.703784234591359,14.304569363971307,1.3707585561702202,0.0937169055357238,0,14.704118084298752,0.0,1.4311996572326342,0.0,0.0,19.783802261541346,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,12.620025875289835,0.0,0.0,23.299094127782897,0.0,0.0,0.0,0.0,20.23,53.29166666666666,0.0,0.0,3.4583333333333335,0.0,0.0,0.0,-3.166666666666666,-6.333333333333333,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42840479403162834
mol_0006,CCC,,1.5812853946781595,1.3523744386698806,-1.4760582438091703,1.5588136507614399,-1.26961365076144,3.9177136507614367,1.0892863492385598,13.425713650761436,10.597286349238559,4.748408577925169,120.39661034611618,9.5,9.5,1.5,4.5,4.5,0.5,0.125,0.125,0.0,0.0,0.0,0.0,20.076709135920737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96606844936176,44.062600255999996,2.3333333333333335,3.0,3.0,1.0,0.0,3,36.033,88.55198210197693,0.12,2.0,0.0,32.708899257965264,6.770833333333334,0.06564544121023959,6.770833333333334,0.026088795673382965,3.098958333333333,0.026088795673382965,-3.125,-0.06564544121023959,1.4163,15.965000000000003,44.09700000000002,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.076709135920737,0.0,10.96606844936176,0.0,0.08,0,10.96606844936176,0.0,0.0,0.0,0.0,20.076709135920737,0.0,0.0,0.0,0.0,58.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.042777585282494,0.0,0.0,0.0,0.0,0.0,53.072916666666664,0.0,0.0,0.0,0.0,0.0,0.0,-3.125,-6.197916666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3854706587740357
mol_0007,CCCC,,1.8096798835528565,1.560298808400194,-1.6763334730980048,1.763305166699431,-1.4733159547611456,4.122205166699432,0.8855840452388535,13.630205166699419,10.393584045238853,5.300082077607573,181.14233798589447,12.0,12.0,2.0,5.75,5.75,0.75,0.25,0.25,0.0625,0.0625,0.0,0.0,26.449634037250117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7075855617022,58.078250319999995,1.75,2.25,2.5,1.0,0.0,4,48.044,334.79077845727846,0.21301775147928995,3.0,2.0,41.88378237269752,7.005208333333334,0.06539244288085166,7.005208333333334,0.026360658565424203,3.314583333333333,0.026360658565424203,-3.411458333333334,-0.06539244288085166,1.8064,20.581999999999997,58.124000000000024,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.449634037250117,0.0,13.7075855617022,0.0,0.15976331360946747,0,13.7075855617022,0.0,0.0,0.0,0.0,26.449634037250117,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.15721959895233,0.0,0.0,0.0,0.0,0.0,68.45208333333333,0.0,0.0,0.0,0.0,0.0,0.0,-6.822916666666667,-6.629166666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4310243576713091
mol_0008,CCCCC,,1.9839765572031232,1.6770337181948811,-1.7882347992017722,1.878062415414647,-1.5871948611662696,4.236962415414642,0.7717051388337315,13.744962415414642,10.279705138833732,5.733228775936007,250.25156354602234,14.5,14.5,2.5,7.0,7.0,1.0,0.375,0.375,0.125,0.125,0.03125,0.03125,32.8225589385795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44910267404264,72.093900384,1.6,2.2,2.6,1.0,0.0,5,60.05499999999999,1212.2096764511082,0.3125,4.0,4.0,51.05866548742978,7.239583333333334,0.06538255537938412,7.239583333333334,0.02663276806897445,3.4770833333333337,0.02663276806897445,-3.697916666666667,-0.06538255537938412,2.1965000000000003,25.19899999999999,72.15099999999997,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8225589385795,0.0,16.44910267404264,0.0,0.25,0,16.44910267404264,0.0,0.0,0.0,0.0,32.8225589385795,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.271661612622175,0.0,0.0,0.0,0.0,0.0,84.15625,0.0,0.0,0.0,0.0,0.0,0.0,-10.952083333333334,-6.954166666666668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4687855098011332
mol_0009,CCCCCC,,2.123974153271652,1.748868474205106,-1.8568988201678052,1.9487222051797695,-1.6570357980690344,4.307622205179771,0.7018642019309675,13.815622205179755,10.209864201930968,6.082753304270883,318.84086807980646,17.0,17.0,3.0,8.25,8.25,1.25,0.5,0.5,0.1875,0.1875,0.0625,0.0625,39.195483839908874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,86.109550448,1.3333333333333333,1.8333333333333333,2.1666666666666665,1.0,0.0,6,72.06599999999999,4286.179841302193,0.4155124653739612,5.0,4.0,60.23354860216201,7.389583333333333,0.06538238459812357,7.389583333333333,0.02664270872856413,3.602508503401361,0.02664270872856413,-3.913541666666668,-0.06538238459812357,2.5866000000000007,29.81599999999998,86.17799999999993,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,3,0,0,0,0,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.195483839908874,0.0,19.190619786383078,0.0,0.3462603878116343,0,19.190619786383078,0.0,0.0,0.0,0.0,39.195483839908874,0.0,0.0,0.0,0.0,57.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.386103626292,0.0,0.0,0.0,0.0,0.0,100.11126700680272,0.0,0.0,0.0,0.0,0.0,0.0,-15.406250000000005,-7.2050170068027235,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4629542813199688
mol_0010,CCCCCCC,,2.2407403893236806,1.796206847856114,-1.9019330572190785,1.995333382977564,-1.7028014344565705,4.354233382977567,0.6560985655434296,13.862233382977566,10.164098565543423,6.370990656665334,394.32555403967007,19.5,19.5,3.5,9.5,9.5,1.5,0.625,0.625,0.25,0.25,0.09375,0.09375,45.56840874123825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.932136898723517,100.12520051199999,1.1428571428571428,1.7142857142857142,2.142857142857143,1.0,0.0,7,84.07699999999998,14934.53469484233,0.5206611570247934,6.0,6.0,69.40843171689423,7.539583333333333,0.06538238322804024,7.539583333333333,0.026652650133954525,3.7017591411564634,0.026652650133954525,-4.129166666666668,-0.06538238322804024,2.976700000000002,34.432999999999986,100.20499999999991,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,4,0,0,0,0,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.56840874123825,0.0,21.932136898723517,0.0,0.4462809917355372,0,21.932136898723517,0.0,0.0,0.0,0.0,45.56840874123825,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5005456399618,0.0,0.0,0.0,0.0,0.0,116.26478528911565,0.0,0.0,0.0,0.0,0.0,0.0,-20.111267006802727,-7.403518282312928,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47630987365330063
