compound_id,MW,AMW,Mp,Mi,GD,nTA,RBN,RBF,nDB,nTB
C001,100.18,5.272631579,0.580152632,1.142136842,0.333333333,2,0,0,0,0
C002,242.3,6.922857143,0.603574286,1.13668,0.117647059,6,10,0.294117647,4,0
C003,390.62,5.918484848,0.610372727,1.132218182,0.074074074,6,16,0.242424242,2,0
C004,342.42,7.285531915,0.652082979,1.119451064,0.086666667,4,10,0.208333333,2,0
C005,188.25,6.49137931,0.583075862,1.14342069,0.153846154,7,5,0.178571429,2,0
C006,212.37,5.445384615,0.590917949,1.138492308,0.133333333,4,10,0.263157895,2,0
C007,333.28,7.750697674,0.656188372,1.127874419,0.1,5,10,0.23255814,1,0
C008,96.14,6.409333333,0.63334,1.12468,0.333333333,2,0,0,0,0
C009,144.19,6.554090909,0.587813636,1.141790909,0.2,5,4,0.19047619,2,0
C010,302.45,6.301041667,0.630452083,1.1255375,0.0995671,8,6,0.12244898,5,0
C011,216.36,5.547692308,0.576930769,1.143861538,0.133333333,8,6,0.157894737,1,0
C012,106.18,5.898888889,0.655944444,1.115333333,0.285714286,2,0,0,0,0
C013,206.29,8.595416667,0.714966667,1.116116667,0.164835165,1,3,0.12,0,0
C014,232.78,6.466111111,0.615063889,1.136944444,0.142857143,6,3,0.083333333,1,0
C015,242.51,4.755098039,0.572427451,1.1498,0.117647059,3,13,0.26,0,0
C016,241.7,8.632142857,0.663964286,1.140489286,0.141666667,4,2,0.068965517,2,1
C017,356.4,16.2,0.920186364,1.0818,0.122807018,5,0,0,0,0
C018,287.39,6.842619048,0.642457143,1.125678571,0.104761905,4,6,0.139534884,0,0
C019,259.82,32.4775,0.84235,1.28595,0.25,6,0,0,0,0
C020,94.13,7.240769231,0.656476923,1.140538462,0.333333333,1,0,0,0,0
C021,318.36,10.612,0.702646667,1.125126667,0.110526316,8,2,0.064516129,4,0
C022,174.19,10.24647059,0.691170588,1.117835294,0.2,4,1,0.058823529,2,0
C023,44.06,6.294285714,0.568185714,1.148542857,0.666666667,2,0,0,1,0
C024,231.88,17.83692308,0.936176923,1.094692308,0.2,5,0,0,0,0
C025,150.1,9.38125,0.5632,1.156375,0.2,6,3,0.2,2,0
C026,319.46,6.655416667,0.61565625,1.14713125,0.098814229,5,4,0.08,2,0
C027,215.15,8.275,0.670903846,1.121661538,0.236363636,1,0,0,0,0
C028,126.25,5.05,0.588648,1.144492,0.222222222,4,4,0.166666667,2,0
C029,134.2,5.834782609,0.551882609,1.153678261,0.222222222,4,4,0.181818182,0,0
C030,79.11,7.191818182,0.684409091,1.120790909,0.4,0,0,0,0,0
