descriptor,reason,r
RDKit_EState_VSA11,constant,
RDKit_EState_VSA3,constant,
RDKit_EState_VSA4,constant,
RDKit_EState_VSA5,constant,
RDKit_EState_VSA6,constant,
RDKit_EState_VSA7,constant,
RDKit_NumAliphaticHeterocycles,constant,
RDKit_NumAmideBonds,constant,
RDKit_NumAromaticHeterocycles,constant,
RDKit_NumAtomStereoCenters,constant,
RDKit_NumBridgeheadAtoms,constant,
RDKit_NumHeterocycles,constant,
RDKit_NumRadicalElectrons,constant,
RDKit_NumSaturatedHeterocycles,constant,
RDKit_NumSpiroAtoms,constant,
RDKit_NumUnspecifiedAtomStereoCenters,constant,
RDKit_PEOE_VSA14,constant,
RDKit_PEOE_VSA4,constant,
RDKit_PEOE_VSA5,constant,
RDKit_SMR_VSA8,constant,
RDKit_SlogP_VSA9,constant,
RDKit_fr_Al_OH_noTert,constant,
RDKit_fr_Ar_COO,constant,
RDKit_fr_Ar_N,constant,
RDKit_fr_Ar_NH,constant,
RDKit_fr_C_O_noCOO,constant,
RDKit_fr_C_S,constant,
RDKit_fr_HOCCN,constant,
RDKit_fr_Imine,constant,
RDKit_fr_N_O,constant,
RDKit_fr_Ndealkylation1,constant,
RDKit_fr_Ndealkylation2,constant,
RDKit_fr_Nhpyrrole,constant,
RDKit_fr_SH,constant,
RDKit_fr_aldehyde,constant,
RDKit_fr_alkyl_carbamate,constant,
RDKit_fr_alkyl_halide,constant,
RDKit_fr_allylic_oxid,constant,
RDKit_fr_amide,constant,
RDKit_fr_amidine,constant,
RDKit_fr_aryl_methyl,constant,
RDKit_fr_azide,constant,
RDKit_fr_azo,constant,
RDKit_fr_barbitur,constant,
RDKit_fr_benzodiazepine,constant,
RDKit_fr_bicyclic,constant,
RDKit_fr_diazo,constant,
RDKit_fr_dihydropyridine,constant,
RDKit_fr_epoxide,constant,
RDKit_fr_ester,constant,
RDKit_fr_furan,constant,
RDKit_fr_guanido,constant,
RDKit_fr_hdrzine,constant,
RDKit_fr_hdrzone,constant,
RDKit_fr_imidazole,constant,
RDKit_fr_imide,constant,
RDKit_fr_isocyan,constant,
RDKit_fr_isothiocyan,constant,
RDKit_fr_ketone,constant,
RDKit_fr_ketone_Topliss,constant,
RDKit_fr_lactam,constant,
RDKit_fr_lactone,constant,
RDKit_fr_morpholine,constant,
RDKit_fr_nitrile,constant,
RDKit_fr_nitro,constant,
RDKit_fr_nitro_arom,constant,
RDKit_fr_nitro_arom_nonortho,constant,
RDKit_fr_nitroso,constant,
RDKit_fr_oxazole,constant,
RDKit_fr_oxime,constant,
RDKit_fr_phos_acid,constant,
RDKit_fr_phos_ester,constant,
RDKit_fr_piperdine,constant,
RDKit_fr_piperzine,constant,
RDKit_fr_priamide,constant,
RDKit_fr_prisulfonamd,constant,
RDKit_fr_pyridine,constant,
RDKit_fr_quatN,constant,
RDKit_fr_sulfide,constant,
RDKit_fr_sulfonamd,constant,
RDKit_fr_sulfone,constant,
RDKit_fr_term_acetylene,constant,
RDKit_fr_tetrazole,constant,
RDKit_fr_thiazole,constant,
RDKit_fr_thiocyan,constant,
RDKit_fr_thiophene,constant,
RDKit_fr_unbrch_alkane,constant,
RDKit_fr_urea,constant,
nTB,constant,
RDKit_MaxEStateIndex,correlated_with_RDKit_MaxAbsEStateIndex,1.0
RDKit_NumHAcceptors,correlated_with_RDKit_NOCount,1.0
RDKit_NumAliphaticRings,correlated_with_RDKit_NumAliphaticCarbocycles,1.0
RDKit_NumSaturatedCarbocycles,correlated_with_RDKit_NumAliphaticCarbocycles,1.0
RDKit_NumSaturatedRings,correlated_with_RDKit_NumAliphaticCarbocycles,1.0
RDKit_NumAromaticRings,correlated_with_RDKit_NumAromaticCarbocycles,1.0
RDKit_fr_benzene,correlated_with_RDKit_NumAromaticCarbocycles,1.0
RDKit_RingCount,correlated_with_RDKit_NumRings,1.0
RDKit_fr_ArN,correlated_with_RDKit_PEOE_VSA11,1.0
RDKit_fr_aniline,correlated_with_RDKit_PEOE_VSA11,1.0
RDKit_fr_Al_OH,correlated_with_RDKit_PEOE_VSA12,1.0
RDKit_PEOE_VSA2,correlated_with_RDKit_SlogP_VSA8,1.0
RDKit_SlogP_VSA4,correlated_with_RDKit_PEOE_VSA3,1.0
RDKit_SlogP_VSA11,correlated_with_RDKit_SMR_VSA9,1.0
RDKit_SMR_VSA9,correlated_with_RDKit_fr_Ar_OH,1.0
RDKit_fr_Al_COO,correlated_with_RDKit_SlogP_VSA8,1.0
RDKit_fr_COO,correlated_with_RDKit_SlogP_VSA8,1.0
RDKit_fr_COO2,correlated_with_RDKit_SlogP_VSA8,1.0
RDKit_fr_C_O,correlated_with_RDKit_SlogP_VSA8,1.0
RDKit_fr_methoxy,correlated_with_RDKit_VSA_EState9,1.0
RDKit_fr_phenol,correlated_with_RDKit_fr_Ar_OH,1.0
RDKit_fr_phenol_noOrthoHbond,correlated_with_RDKit_fr_Ar_OH,1.0
RDKit_SlogP_VSA12,correlated_with_RDKit_VSA_EState10,0.9999999999999999
RDKit_MinPartialCharge,correlated_with_RDKit_MaxAbsPartialCharge,0.9999986939400107
RDKit_MinAbsPartialCharge,correlated_with_RDKit_MaxPartialCharge,0.999995075043256
RDKit_MolWt,correlated_with_RDKit_ExactMolWt,0.9999841439518256
RDKit_SlogP_VSA6,correlated_with_RDKit_NumAromaticCarbocycles,0.9978362099067362
RDKit_Chi1n,correlated_with_RDKit_Chi0n,0.9974073415780517
RDKit_Chi1,correlated_with_RDKit_NumBonds,0.9968580940548705
RDKit_Chi0,correlated_with_RDKit_Chi0n,0.996334935824219
RDKit_SlogP_VSA8,correlated_with_RDKit_VSA_EState2,0.9961303146453274
RDKit_SMR_VSA7,correlated_with_RDKit_NumAromaticCarbocycles,0.9959577101157594
RDKit_VSA_EState10,correlated_with_RDKit_BCUT2D_MWHI,0.9949852751601072
RDKit_NumBonds,correlated_with_RDKit_NumAtoms,0.9936808600553309
RDKit_ExactMolWt,correlated_with_RDKit_HeavyAtomMolWt,0.9918578908426475
RDKit_SMR_VSA2,correlated_with_RDKit_VSA_EState3,0.9892215142948545
RDKit_Chi0n,correlated_with_RDKit_VSA_EState1,0.9890721510858375
RDKit_VSA_EState1,correlated_with_RDKit_EState_VSA9,0.9886552849726019
RDKit_Chi3v,correlated_with_RDKit_Chi4v,0.9855859463950757
RDKit_Chi0v,correlated_with_RDKit_Chi1v,0.9851072383315657
RDKit_SMR_VSA5,correlated_with_RDKit_SlogP_VSA5,0.9803219733803449
RDKit_Chi3n,correlated_with_RDKit_Chi4n,0.9803218639130912
RDKit_FpDensityMorgan2,correlated_with_RDKit_FpDensityMorgan1,0.9798430509096444
RDKit_VSA_EState2,correlated_with_RDKit_PEOE_VSA13,0.978593785694628
RDKit_LabuteASA,correlated_with_RDKit_NumValenceElectrons,0.9766546492695344
RDKit_EState_VSA10,correlated_with_RDKit_VSA_EState5,0.9690303592407329
RDKit_Chi1v,correlated_with_RDKit_Chi2v,0.9667227621720657
RDKit_EState_VSA2,correlated_with_RDKit_BCUT2D_MWHI,0.9664733694710751
RDKit_HeavyAtomMolWt,correlated_with_RDKit_Chi2v,0.9580934321463431
RDKit_NumValenceElectrons,correlated_with_RDKit_MolMR,0.9573719202216909
RDKit_MolMR,correlated_with_RDKit_HeavyAtomCount,0.9516620871233554
RDKit_FractionCSP3,correlated_with_RDKit_NumAromaticCarbocycles,0.9516138776727086
RDKit_SlogP_VSA7,correlated_with_RDKit_SlogP_VSA1,0.9512541125100774
