compound_id,original_row_index,umap_1,umap_2,cluster,split
C001,0,-1.0723912,10.330666,1,test
C002,1,-1.3050013,10.497116,1,train
C003,2,-2.9748197,8.210616,0,test
C004,3,-2.6824555,9.408222,0,train
C005,4,-1.7287596,10.504957,1,train
C006,5,-2.3362904,10.347794,1,train
C007,6,-2.729574,10.116716,1,train
C008,7,-3.2261174,10.09658,1,train
C009,8,-3.2989655,9.353063,0,train
C010,9,-2.9800673,9.099087,0,train
C011,10,-1.7612513,9.833546,1,train
C012,11,-2.3445847,10.935262,1,train
C013,12,-2.9556773,10.752817,1,train
C014,13,-3.653258,9.715272,0,train
C015,14,-3.9608903,9.466558,0,train
C016,15,-1.0199739,11.241024,1,test
C017,16,-1.9539527,11.171292,1,train
C018,17,-1.6267647,11.139409,1,test
C019,18,-1.6561548,11.631423,1,train
C020,19,-2.579578,11.517811,1,train
C021,20,-2.4660263,7.955508,0,train
C022,21,-3.0562088,7.70794,0,train
C023,22,-3.6881948,8.120913,0,train
C024,23,-3.3653457,7.3004203,0,test
C025,24,-3.7549033,7.5111556,0,train
C026,25,-4.0637665,8.321631,0,test
C027,26,-3.5786693,8.644759,0,train
