rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7596824604112897,0.4365370147505807,0.16793708487786477,0.0,0.0,0.0,0.0,0.323145445660709,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6957688648642509,0.42989886988668397,0.1672659152600116,0.0,0.0,0.0,0.0,0.26586999497756697,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7257156511272299,0.4297521567441402,0.180943796222648,0.0,0.0,0.0,0.0,0.2959634943830897,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7928094414207808,0.4295641988497395,0.19055492983764172,0.0,0.0,0.0,0.0,0.3632452425710413,False
5,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7445138257335782,0.42601530945229377,0.15992329629367735,0.0,0.0,0.0,0.0,0.3184985162812844,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.772163929131198,0.4235958128486542,0.17420781735624807,0.0,0.0,0.0,0.0,0.3485681162825438,False
7,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7014677421194186,0.42094949154106465,0.16713522564765318,0.0,0.0,0.0,0.0,0.280518250578354,False
8,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6774277143682961,0.39939070819665634,0.15319367475674303,0.0,0.0,0.0,0.0,0.27803700617163973,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}",0.528261416040646,0.378957252553623,0.1722159440636009,0.0,0.0,0.0,0.0,0.14930416348702302,False
10,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.46378639361967194,0.37042610979666596,0.16761704230601882,0.0,0.0,0.0,0.0,0.09336028382300599,False
