compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,1.443959,1.7087146,1,test
compound_1,1,-0.062153548,1.3898103,1,train
compound_2,2,0.090142906,3.529766,1,train
compound_3,3,-0.050047293,1.7755696,1,train
compound_4,4,2.9692736,2.1865928,0,test
compound_5,5,0.56400675,1.5108604,1,train
compound_6,6,4.219672,3.59259,0,train
compound_7,7,4.220606,3.830606,0,train
compound_8,8,0.9014118,2.6407828,1,train
compound_9,9,1.0847719,4.8867607,1,train
compound_10,10,1.0896094,4.923139,1,train
compound_11,11,1.5181487,4.910109,1,train
compound_12,12,-0.028815093,3.7398057,1,train
compound_13,13,0.5591411,4.3987265,1,test
compound_14,14,1.4399052,1.7989246,1,val
compound_15,15,-0.21431533,4.0859213,1,train
compound_16,16,0.03905231,3.773697,1,train
compound_17,17,0.8341683,1.9386054,1,train
compound_18,18,5.3458858,3.6820428,0,train
compound_19,19,1.1753863,4.9502616,1,train
compound_20,20,-0.15978454,3.7689452,1,train
compound_21,21,-0.084342204,3.299688,1,train
compound_22,22,1.2965125,3.5121903,1,test
compound_23,23,0.44466227,1.1194932,1,train
compound_24,24,-0.2309327,3.6779819,1,train
compound_25,25,0.43711784,2.132137,1,train
compound_26,26,0.17415525,4.3367286,1,train
compound_27,27,4.5533037,3.2811303,0,train
compound_28,28,4.795457,3.205427,0,val
compound_29,29,5.988926,1.6099035,0,train
compound_30,30,4.44474,3.2204273,0,val
compound_31,31,-0.7030641,3.0510652,1,train
compound_32,32,0.17689054,4.3544464,1,train
compound_33,33,0.7138511,2.2618418,1,train
compound_34,34,0.762921,2.0779362,1,train
compound_35,35,1.2204762,3.4288268,1,train
compound_36,36,5.417889,4.502673,0,train
compound_37,37,5.602486,1.4737586,0,train
compound_38,38,3.9040496,2.3998113,0,test
compound_39,39,2.9995868,5.177968,0,train
compound_40,40,-0.450112,2.2269177,1,val
compound_41,41,2.7936747,5.079206,1,train
compound_42,42,2.317041,4.8715076,1,train
compound_43,43,6.7864604,1.3694364,0,val
compound_44,44,3.8025467,2.4088078,0,train
compound_45,45,7.1238093,1.4553804,0,train
compound_46,46,0.45680684,1.2185185,1,val
compound_47,47,0.6345247,1.8408769,1,train
compound_48,48,4.3384466,5.368631,0,val
compound_49,49,4.2623854,5.188722,0,train
compound_50,50,4.5302,5.579056,0,train
compound_51,51,4.4744425,5.4582586,0,train
compound_52,52,4.4218435,4.9760566,0,val
compound_53,53,5.4806786,4.858352,0,train
compound_54,54,4.088364,2.8451703,0,train
compound_55,55,5.410809,5.0149937,0,test
compound_56,56,3.6625216,2.402299,0,train
compound_57,57,4.30918,2.408001,0,train
compound_58,58,1.5192707,5.0504274,1,train
compound_59,59,4.773889,5.0022492,0,train
compound_60,60,1.5312657,5.126495,1,val
compound_61,61,2.2040784,4.9665046,1,train
compound_62,62,-0.3730556,4.14166,1,train
compound_63,63,0.41111368,1.7451807,1,train
compound_64,64,6.6645617,1.5340797,0,test
compound_65,65,6.8969927,1.4459991,0,val
compound_66,66,2.6004813,4.93956,1,train
compound_67,67,3.8631566,3.1953351,0,train
compound_68,68,6.8512383,1.7367529,0,train
compound_69,69,2.438136,4.6856203,1,train
compound_70,70,1.4569248,1.5824449,1,test
compound_71,71,3.470843,2.9349651,0,train
compound_72,72,0.6189648,4.4918036,1,train
compound_73,73,-0.7938208,2.5444012,1,test
compound_74,74,0.20431916,1.0231959,1,train
compound_75,75,0.52692807,4.4540195,1,train
compound_76,76,0.7253393,2.2679756,1,train
compound_77,77,0.7953611,4.5241756,1,train
compound_78,78,1.703897,4.757199,1,train
compound_79,79,0.30843046,4.548724,1,train
compound_80,80,5.581278,3.5503602,0,val
compound_81,81,4.681083,5.0296707,0,train
compound_82,82,7.1366377,1.6345206,0,train
compound_83,83,0.4299769,3.107657,1,val
compound_84,84,0.57624924,1.9152957,1,val
compound_85,85,6.7695537,1.4736837,0,train
compound_86,86,3.3343906,2.9104793,0,train
compound_87,87,4.795811,2.4394307,0,train
compound_88,88,-0.37460136,2.4754162,1,train
compound_89,89,1.720803,2.282259,1,train
compound_90,90,-0.43849078,4.0417924,1,train
compound_91,91,0.193807,3.5728312,1,train
compound_92,92,-0.7633663,2.5712583,1,train
compound_93,93,1.5401922,4.9481683,1,val
compound_94,94,-0.06919474,1.5475631,1,val
compound_95,95,-0.66502225,2.1470132,1,train
compound_96,96,-0.9048983,2.3210897,1,train
compound_97,97,-0.008588181,1.6257133,1,train
compound_98,98,0.34055826,3.1670127,1,train
compound_99,99,-0.3090929,3.1457798,1,test
compound_100,100,0.8662088,2.4940186,1,train
compound_101,101,-0.29310268,4.070802,1,test
compound_102,102,1.5052817,3.7189112,1,train
compound_103,103,-0.12187339,2.451204,1,train
compound_104,104,2.1285572,4.9629335,1,train
compound_105,105,-0.13745336,1.3951955,1,val
compound_106,106,-0.31697193,1.6059451,1,train
compound_107,107,-0.19049609,1.4405763,1,train
compound_108,108,-0.23215607,1.4321173,1,train
compound_109,109,-0.40409532,1.6473609,1,train
compound_110,110,3.1204746,2.2458653,0,train
compound_111,111,-0.28485158,2.850518,1,train
compound_112,112,3.196788,2.3622308,0,train
compound_113,113,-0.23902127,2.804872,1,train
compound_114,114,-0.06889258,1.5907265,1,train
compound_115,115,0.82151407,2.2853336,1,train
compound_116,116,-0.11398676,3.6685526,1,val
compound_117,117,1.4937478,5.081889,1,train
compound_118,118,-0.89299715,2.5449433,1,train
compound_119,119,0.8409041,2.9786384,1,train
compound_120,120,0.9826485,2.5059574,1,train
compound_121,121,0.7925834,3.045852,1,train
compound_122,122,0.8861901,2.7605338,1,train
compound_123,123,1.3822331,4.99784,1,test
compound_124,124,0.9147283,2.0452318,1,train
compound_125,125,1.5371004,5.061508,1,train
compound_126,126,0.98393834,1.9493172,1,train
compound_127,127,0.8732086,1.6195904,1,train
compound_128,128,-0.2826065,2.9887683,1,train
compound_129,129,1.6221298,1.8010329,1,train
compound_130,130,0.79319835,1.8209441,1,train
compound_131,131,5.106244,3.3767695,0,test
compound_132,132,5.1018505,3.7618172,0,test
compound_133,133,5.3910093,3.6823835,0,train
compound_134,134,1.0714011,3.2656496,1,train
compound_135,135,1.3923728,3.6816764,1,train
compound_136,136,3.2409668,2.382783,0,train
compound_137,137,4.4233756,2.579136,0,train
compound_138,138,4.741623,3.0434065,0,test
compound_139,139,4.9199114,3.1098757,0,train
compound_140,140,4.8103538,3.39071,0,train
compound_141,141,5.119403,3.2259183,0,train
compound_142,142,5.262317,3.2900577,0,train
compound_143,143,5.296522,3.1781754,0,train
compound_144,144,6.5010004,2.0747154,0,train
compound_145,145,7.0946965,1.6668532,0,train
compound_146,146,4.8465886,2.3824697,0,train
compound_147,147,5.879098,1.7917274,0,train
compound_148,148,5.681741,1.8311898,0,train
compound_149,149,5.982513,1.6940918,0,test
compound_150,150,5.909572,1.4654912,0,train
compound_151,151,6.5356092,1.8880719,0,train
compound_152,152,5.8815575,1.5002619,0,train
compound_153,153,6.610112,1.94777,0,train
compound_154,154,5.99567,1.3641958,0,train
compound_155,155,6.2945037,1.416185,0,train
compound_156,156,6.3117223,1.5081049,0,train
compound_157,157,6.3815336,1.8342292,0,train
compound_158,158,6.624038,2.1725423,0,val
compound_159,159,-0.7566851,3.1147554,1,train
compound_160,160,-0.6390798,1.9273412,1,test
compound_161,161,-0.71470726,3.102707,1,train
compound_162,162,5.6400213,4.8413477,0,train
compound_163,163,5.5283756,4.900555,0,train
compound_164,164,3.495259,2.3919165,0,test
compound_165,165,1.3574277,1.4480252,1,test
