compound_id,split,leverage,standardized_residual,h_star,applicability_domain,in_domain
compound_180,train,0.01844109855803063,0.06438680024770285,0.13815789473684212,in_domain,True
compound_168,train,0.033375250486497136,-0.2205992720720689,0.13815789473684212,in_domain,True
compound_162,train,0.03965186454567439,-0.23314863123080184,0.13815789473684212,in_domain,True
compound_129,train,0.025756154859724382,0.5215498652911346,0.13815789473684212,in_domain,True
compound_31,train,0.0165772951409914,-0.6040479028664912,0.13815789473684212,in_domain,True
compound_171,train,0.019915550567467487,0.5918247890713177,0.13815789473684212,in_domain,True
compound_18,train,0.05515152111850828,-0.5421782472303552,0.13815789473684212,in_domain,True
compound_139,train,0.0438551056908929,-0.47096083602992433,0.13815789473684212,in_domain,True
compound_81,train,0.01951126681265214,0.24740728461478925,0.13815789473684212,in_domain,True
compound_169,train,0.02105583697239441,-0.7004443805911299,0.13815789473684212,in_domain,True
compound_132,train,0.026125626949855325,0.16044098237165863,0.13815789473684212,in_domain,True
compound_161,train,0.02492833831992768,-0.3021662231319429,0.13815789473684212,in_domain,True
compound_48,train,0.012669665640940558,-0.11572585482659516,0.13815789473684212,in_domain,True
compound_112,train,0.02380907042529723,0.2047668325191396,0.13815789473684212,in_domain,True
compound_163,train,0.026785756886039225,-0.996368476010968,0.13815789473684212,in_domain,True
compound_186,train,0.021613839697902204,0.41232790326910423,0.13815789473684212,in_domain,True
compound_28,train,0.02912299921425014,0.03225600152234563,0.13815789473684212,in_domain,True
compound_142,train,0.06208725561891862,0.9789574023385109,0.13815789473684212,in_domain,True
compound_160,train,0.01733683466189072,-0.4886724170221931,0.13815789473684212,in_domain,True
compound_51,train,0.10129917809199711,-0.3373224143263012,0.13815789473684212,in_domain,True
compound_173,train,0.022121371922498967,0.04529173897347915,0.13815789473684212,in_domain,True
compound_57,train,0.037052061517788615,0.23780489258819215,0.13815789473684212,in_domain,True
compound_136,train,0.04938099377281124,0.7814243486338696,0.13815789473684212,in_domain,True
compound_39,train,0.017378917175957097,0.28727177958333827,0.13815789473684212,in_domain,True
compound_183,train,0.056664571722788985,-0.4365301263104423,0.13815789473684212,in_domain,True
compound_7,train,0.04841701861472875,-1.2933091876847973,0.13815789473684212,in_domain,True
compound_49,train,0.01618002004482885,-0.18372653404753933,0.13815789473684212,in_domain,True
compound_110,train,0.02790972529212813,0.023489679240409674,0.13815789473684212,in_domain,True
compound_30,train,0.10577562515781658,0.7664725153858757,0.13815789473684212,in_domain,True
compound_172,train,0.02023677604394833,0.1130629048011975,0.13815789473684212,in_domain,True
compound_27,train,0.031185065612443795,1.132537859096433,0.13815789473684212,in_domain,True
compound_87,train,0.029603457072598385,0.4620328090961172,0.13815789473684212,in_domain,True
compound_179,train,0.030444669264244065,1.772475388512871,0.13815789473684212,in_domain,True
compound_165,train,0.01252326125785518,-0.46084637542676554,0.13815789473684212,in_domain,True
compound_138,train,0.04525951130078076,0.1865351847502135,0.13815789473684212,in_domain,True
compound_185,train,0.02346952405111735,0.31901229871098885,0.13815789473684212,in_domain,True
compound_44,train,0.018989401904376587,0.3296461759046547,0.13815789473684212,in_domain,True
compound_66,train,0.0220629949244717,-0.1868819028788781,0.13815789473684212,in_domain,True
compound_131,train,0.10251601368909995,-1.387693014764186,0.13815789473684212,in_domain,True
compound_59,train,0.1727535174517682,-0.7128092347009681,0.13815789473684212,high_leverage,False
compound_140,train,0.12063650595566043,-0.6742864731390471,0.13815789473684212,in_domain,True
compound_56,train,0.01957839836311526,-0.44782260192689366,0.13815789473684212,in_domain,True
compound_133,train,0.14905586501327697,-0.22885079745588807,0.13815789473684212,high_leverage,False
compound_184,train,0.10620422735098783,0.894363723281316,0.13815789473684212,in_domain,True
compound_164,train,0.01986971570393369,0.5277593029567939,0.13815789473684212,in_domain,True
compound_37,train,0.05357548774504739,0.29588250413039363,0.13815789473684212,in_domain,True
compound_77,train,0.04273873303349941,-0.9713688343885406,0.13815789473684212,in_domain,True
compound_182,train,0.052538934521137864,-0.32496240986418723,0.13815789473684212,in_domain,True
compound_166,train,0.017350980591906377,-0.008453538648625044,0.13815789473684212,in_domain,True
compound_170,train,0.1699979242837138,-0.5235287041135965,0.13815789473684212,high_leverage,False
compound_176,train,0.11351102430876857,-0.21461392954594877,0.13815789473684212,in_domain,True
compound_90,train,0.035848264188903314,0.26222803845181436,0.13815789473684212,in_domain,True
compound_70,train,0.027991146770944678,-0.2975159673869934,0.13815789473684212,in_domain,True
compound_4,train,0.06754915857037255,-0.5314204112862707,0.13815789473684212,in_domain,True
compound_159,train,0.017895365068923693,0.7918750901821491,0.13815789473684212,in_domain,True
compound_53,train,0.020225054453201323,0.5934479291946965,0.13815789473684212,in_domain,True
compound_6,train,0.04863135040321404,-0.28569546987552485,0.13815789473684212,in_domain,True
compound_55,train,0.052242994159165584,-0.12859645386586832,0.13815789473684212,in_domain,True
compound_181,train,0.021081391761717673,0.5171742425592736,0.13815789473684212,in_domain,True
compound_52,train,0.05129055693867368,-1.2641414419738182,0.13815789473684212,in_domain,True
compound_167,train,0.12542720270983213,1.2899215769658905,0.13815789473684212,in_domain,True
compound_178,train,0.019933303077958976,-0.22217213606321884,0.13815789473684212,in_domain,True
compound_41,train,0.01793910438640702,0.4189495554728935,0.13815789473684212,in_domain,True
compound_143,train,0.2520751742526904,0.9658123829548151,0.13815789473684212,high_leverage,False
compound_124,train,0.1079645977961245,-0.5161747347493209,0.13815789473684212,in_domain,True
