rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.878163744920494,0.5876009671257257,0.060246134867093404,0.0,0.0,0.0,0.0,0.29056277779476825,True
2,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8651302856540017,0.5827244150711919,0.07956217756322521,0.0,0.0,0.0,0.0,0.28240587058280986,False
3,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8651928308442679,0.5817573528176638,0.07633977274387245,0.0,0.0,0.0,0.0,0.28343547802660407,False
4,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8807025193238143,0.5805163592799978,0.059694890977945655,0.0,0.0,0.0,0.0,0.3001861600438165,False
5,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8429469690732722,0.5781650125337755,0.06615807714893977,0.0,0.0,0.0,0.0,0.26478195653949665,False
6,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.841183799982457,0.5775738332681175,0.06271619775053948,0.0,0.0,0.0,0.0,0.26360996671433945,False
7,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8293721455298304,0.5775396387623513,0.06630088351876053,0.0,0.0,0.0,0.0,0.25183250676747915,False
8,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8272105627420008,0.5765981316269402,0.06203690050230968,0.0,0.0,0.0,0.0,0.2506124311150606,False
9,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.7595670265467636,0.5659233695984527,0.05512641163355739,0.0,0.0,0.0,0.0,0.19364365694831087,False
10,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 200}",0.7741368582793537,0.5654716740322753,0.04997577108648644,0.0,0.0,0.0,0.0,0.20866518424707847,False
11,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.3, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.8169854084565312,0.5616710687048363,0.07653161596258358,0.0,0.0,0.0,0.0,0.25531433975169493,False
12,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.5, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.774545346645595,0.560512848653701,0.05470363623332623,0.0,0.0,0.0,0.0,0.21403249799189406,False
13,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.3, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.8181662481095161,0.5602513836569221,0.07863943691336568,0.0,0.0,0.0,0.0,0.25791486445259404,False
14,"{'bootstrap': True, 'max_depth': 12, 'max_features': 0.3, 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7758800181400332,0.5600428255631329,0.07720395523561616,0.0,0.0,0.0,0.0,0.21583719257690026,False
15,"{'bootstrap': True, 'max_depth': 12, 'max_features': 'sqrt', 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 500}",0.7602214438258668,0.5592113404386987,0.056437360102520776,0.0,0.0,0.0,0.0,0.20101010338716807,False
