descriptor,reason,r
ABC,nonnumeric,
ABCGG,nonnumeric,
SpAbs_Dt,nonnumeric,
SpMax_Dt,nonnumeric,
SpDiam_Dt,nonnumeric,
SpAD_Dt,nonnumeric,
SpMAD_Dt,nonnumeric,
LogEE_Dt,nonnumeric,
SM1_Dt,nonnumeric,
VE1_Dt,nonnumeric,
VE2_Dt,nonnumeric,
VE3_Dt,nonnumeric,
VR1_Dt,nonnumeric,
VR2_Dt,nonnumeric,
VR3_Dt,nonnumeric,
DetourIndex,nonnumeric,
MAXsLi,nonnumeric,
MAXssBe,nonnumeric,
MAXssssBe,nonnumeric,
MAXssBH,nonnumeric,
MAXsssB,nonnumeric,
MAXssssB,nonnumeric,
MAXdCH2,nonnumeric,
MAXtCH,nonnumeric,
MAXtsC,nonnumeric,
MAXsNH3,nonnumeric,
MAXssNH2,nonnumeric,
MAXdNH,nonnumeric,
MAXtN,nonnumeric,
MAXsssNH,nonnumeric,
MAXssssN,nonnumeric,
MAXsSiH3,nonnumeric,
MAXssSiH2,nonnumeric,
MAXsssSiH,nonnumeric,
MAXssssSi,nonnumeric,
MAXsPH2,nonnumeric,
MAXssPH,nonnumeric,
MAXsssP,nonnumeric,
MAXsssssP,nonnumeric,
MAXsSH,nonnumeric,
MAXdssS,nonnumeric,
MAXsGeH3,nonnumeric,
MAXssGeH2,nonnumeric,
MAXsssGeH,nonnumeric,
MAXssssGe,nonnumeric,
MAXsAsH2,nonnumeric,
MAXssAsH,nonnumeric,
MAXsssAs,nonnumeric,
MAXsssdAs,nonnumeric,
MAXsssssAs,nonnumeric,
MAXsSeH,nonnumeric,
MAXdSe,nonnumeric,
MAXssSe,nonnumeric,
MAXaaSe,nonnumeric,
MAXdssSe,nonnumeric,
MAXddssSe,nonnumeric,
MAXsSnH3,nonnumeric,
MAXssSnH2,nonnumeric,
MAXsssSnH,nonnumeric,
MAXssssSn,nonnumeric,
MAXsI,nonnumeric,
MAXsPbH3,nonnumeric,
MAXssPbH2,nonnumeric,
MAXsssPbH,nonnumeric,
MAXssssPb,nonnumeric,
MINsLi,nonnumeric,
MINssBe,nonnumeric,
MINssssBe,nonnumeric,
MINssBH,nonnumeric,
MINsssB,nonnumeric,
MINssssB,nonnumeric,
MINdCH2,nonnumeric,
MINtCH,nonnumeric,
MINtsC,nonnumeric,
MINsNH3,nonnumeric,
MINssNH2,nonnumeric,
MINdNH,nonnumeric,
MINtN,nonnumeric,
MINsssNH,nonnumeric,
MINssssN,nonnumeric,
MINsSiH3,nonnumeric,
MINssSiH2,nonnumeric,
MINsssSiH,nonnumeric,
MINssssSi,nonnumeric,
MINsPH2,nonnumeric,
MINssPH,nonnumeric,
MINsssP,nonnumeric,
MINsssssP,nonnumeric,
MINsSH,nonnumeric,
MINdssS,nonnumeric,
MINsGeH3,nonnumeric,
MINssGeH2,nonnumeric,
MINsssGeH,nonnumeric,
MINssssGe,nonnumeric,
MINsAsH2,nonnumeric,
MINssAsH,nonnumeric,
MINsssAs,nonnumeric,
MINsssdAs,nonnumeric,
MINsssssAs,nonnumeric,
MINsSeH,nonnumeric,
MINdSe,nonnumeric,
MINssSe,nonnumeric,
MINaaSe,nonnumeric,
MINdssSe,nonnumeric,
MINddssSe,nonnumeric,
MINsSnH3,nonnumeric,
MINssSnH2,nonnumeric,
MINsssSnH,nonnumeric,
MINssssSn,nonnumeric,
MINsI,nonnumeric,
MINsPbH3,nonnumeric,
MINssPbH2,nonnumeric,
MINsssPbH,nonnumeric,
MINssssPb,nonnumeric,
AATS8dv,missing>0.2,
AATS8d,missing>0.2,
AATS8s,missing>0.2,
AATS8Z,missing>0.2,
AATS8m,missing>0.2,
AATS8v,missing>0.2,
AATS8se,missing>0.2,
AATS8pe,missing>0.2,
AATS8are,missing>0.2,
AATS8p,missing>0.2,
AATS8i,missing>0.2,
AATSC8c,missing>0.2,
AATSC8dv,missing>0.2,
AATSC8d,missing>0.2,
AATSC8s,missing>0.2,
AATSC8Z,missing>0.2,
AATSC8m,missing>0.2,
AATSC8v,missing>0.2,
AATSC8se,missing>0.2,
AATSC8pe,missing>0.2,
AATSC8are,missing>0.2,
AATSC8p,missing>0.2,
AATSC8i,missing>0.2,
MATS8c,missing>0.2,
MATS8dv,missing>0.2,
MATS8d,missing>0.2,
MATS8s,missing>0.2,
MATS8Z,missing>0.2,
MATS8m,missing>0.2,
MATS8v,missing>0.2,
MATS8se,missing>0.2,
MATS8pe,missing>0.2,
MATS8are,missing>0.2,
MATS8p,missing>0.2,
MATS8i,missing>0.2,
GATS8c,missing>0.2,
GATS8dv,missing>0.2,
GATS8d,missing>0.2,
GATS8s,missing>0.2,
GATS8Z,missing>0.2,
GATS8m,missing>0.2,
GATS8v,missing>0.2,
GATS8se,missing>0.2,
GATS8pe,missing>0.2,
GATS8are,missing>0.2,
GATS8p,missing>0.2,
GATS8i,missing>0.2,
MAXsCH3,missing>0.2,
MAXssCH2,missing>0.2,
MAXdsCH,missing>0.2,
MAXsssCH,missing>0.2,
MAXddC,missing>0.2,
MAXdssC,missing>0.2,
MAXaaaC,missing>0.2,
MAXssssC,missing>0.2,
MAXsNH2,missing>0.2,
MAXssNH,missing>0.2,
MAXaaNH,missing>0.2,
MAXdsN,missing>0.2,
MAXaaN,missing>0.2,
MAXsssN,missing>0.2,
MAXaasN,missing>0.2,
MAXsOH,missing>0.2,
MAXssO,missing>0.2,
MAXaaO,missing>0.2,
MAXsF,missing>0.2,
MAXdsssP,missing>0.2,
MAXdS,missing>0.2,
MAXssS,missing>0.2,
MAXaaS,missing>0.2,
MAXddssS,missing>0.2,
MAXsCl,missing>0.2,
MAXsBr,missing>0.2,
MINsCH3,missing>0.2,
MINssCH2,missing>0.2,
MINdsCH,missing>0.2,
MINsssCH,missing>0.2,
MINddC,missing>0.2,
MINdssC,missing>0.2,
MINaaaC,missing>0.2,
MINssssC,missing>0.2,
MINsNH2,missing>0.2,
MINssNH,missing>0.2,
MINaaNH,missing>0.2,
MINdsN,missing>0.2,
MINaaN,missing>0.2,
MINsssN,missing>0.2,
MINaasN,missing>0.2,
MINsOH,missing>0.2,
MINssO,missing>0.2,
MINaaO,missing>0.2,
MINsF,missing>0.2,
MINdsssP,missing>0.2,
MINdS,missing>0.2,
MINssS,missing>0.2,
MINaaS,missing>0.2,
MINddssS,missing>0.2,
MINsCl,missing>0.2,
MINsBr,missing>0.2,
MDEC-11,missing>0.2,
MDEC-12,missing>0.2,
MDEC-13,missing>0.2,
MDEC-14,missing>0.2,
MDEC-24,missing>0.2,
MDEC-34,missing>0.2,
MDEC-44,missing>0.2,
MDEO-12,missing>0.2,
MDEO-22,missing>0.2,
MDEN-11,missing>0.2,
MDEN-12,missing>0.2,
MDEN-13,missing>0.2,
MDEN-22,missing>0.2,
MDEN-23,missing>0.2,
MDEN-33,missing>0.2,
nSpiro,constant,
nBridgehead,constant,
nB,constant,
nI,constant,
nBondsT,constant,
C1SP1,constant,
C2SP1,constant,
Xch-3d,constant,
Xch-4d,constant,
Xch-3dv,constant,
Xch-4dv,constant,
NsLi,constant,
NssBe,constant,
NssssBe,constant,
NssBH,constant,
NsssB,constant,
NssssB,constant,
NdCH2,constant,
NtCH,constant,
NtsC,constant,
NsNH3,constant,
NssNH2,constant,
NdNH,constant,
NtN,constant,
NsssNH,constant,
NssssN,constant,
NsSiH3,constant,
NssSiH2,constant,
NsssSiH,constant,
NssssSi,constant,
NsPH2,constant,
NssPH,constant,
NsssP,constant,
NsssssP,constant,
NsSH,constant,
NdssS,constant,
NsGeH3,constant,
NssGeH2,constant,
NsssGeH,constant,
NssssGe,constant,
NsAsH2,constant,
NssAsH,constant,
NsssAs,constant,
NsssdAs,constant,
NsssssAs,constant,
NsSeH,constant,
NdSe,constant,
NssSe,constant,
NaaSe,constant,
NdssSe,constant,
NddssSe,constant,
NsSnH3,constant,
NssSnH2,constant,
NsssSnH,constant,
NssssSn,constant,
NsI,constant,
NsPbH3,constant,
NssPbH2,constant,
NsssPbH,constant,
NssssPb,constant,
SsLi,constant,
SssBe,constant,
SssssBe,constant,
SssBH,constant,
SsssB,constant,
SssssB,constant,
SdCH2,constant,
StCH,constant,
StsC,constant,
SsNH3,constant,
SssNH2,constant,
SdNH,constant,
StN,constant,
SsssNH,constant,
SssssN,constant,
SsSiH3,constant,
SssSiH2,constant,
SsssSiH,constant,
SssssSi,constant,
SsPH2,constant,
SssPH,constant,
SsssP,constant,
SsssssP,constant,
SsSH,constant,
SdssS,constant,
SsGeH3,constant,
SssGeH2,constant,
SsssGeH,constant,
SssssGe,constant,
SsAsH2,constant,
SssAsH,constant,
SsssAs,constant,
SsssdAs,constant,
SsssssAs,constant,
SsSeH,constant,
SdSe,constant,
SssSe,constant,
SaaSe,constant,
SdssSe,constant,
SddssSe,constant,
SsSnH3,constant,
SssSnH2,constant,
SsssSnH,constant,
SssssSn,constant,
SsI,constant,
SsPbH3,constant,
SssPbH2,constant,
SsssPbH,constant,
SssssPb,constant,
ETA_dPsi_B,constant,
SMR_VSA2,constant,
SMR_VSA8,constant,
SlogP_VSA9,constant,
n3Ring,constant,
n4Ring,constant,
n8Ring,constant,
n9Ring,constant,
n10Ring,constant,
n11Ring,constant,
n12Ring,constant,
nG12Ring,constant,
n3HRing,constant,
n4HRing,constant,
n8HRing,constant,
