n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.8569043745717676,0.419544201825839,0.1856850339945232,['BCUTd-1h']
2,0.8682659543010581,0.5300709640842631,0.1287105119101162,"['BCUTd-1h', 'Diameter']"
3,0.9194568349264113,0.5801681710310695,0.06847065915875966,"['BCUTd-1h', 'SMR_VSA1', 'Diameter']"
4,0.9405353210518514,0.6237258299463558,0.03971699757877975,"['AATSC7v', 'BCUTd-1h', 'SMR_VSA1', 'Diameter']"
5,0.9502425327015069,0.6801934472100531,0.043450208768615425,"['nBase', 'AATSC7v', 'BCUTd-1h', 'SMR_VSA1', 'Diameter']"
6,0.9522304299330231,0.7072100795211563,0.026749269609237108,"['nBase', 'AATSC7v', 'BCUTd-1h', 'SMR_VSA1', 'MDEC-33', 'Diameter']"
7,0.9510014827152631,0.7138687748537513,0.03031775086914409,"['nBase', 'AATSC7v', 'BCUTd-1h', 'SMR_VSA1', 'MDEC-33', 'n10FAHRing', 'Diameter']"
8,0.9537251804686698,0.7157147946517373,0.04353667799557735,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'SMR_VSA1', 'MDEC-33', 'n10FAHRing', 'Diameter']"
9,0.9556086741961981,0.7182394237453453,0.04178572444259536,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'SMR_VSA1', 'MDEC-33', 'n10FAHRing', 'Diameter']"
10,0.9553687257065233,0.7221519777781017,0.03721011911282504,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'NddC', 'SMR_VSA1', 'MDEC-33', 'n10FAHRing', 'Diameter']"
11,0.954793952469775,0.7212457261533283,0.03966644080725786,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'NddC', 'SMR_VSA1', 'MDEC-33', 'nFAHRing', 'n10FAHRing', 'Diameter']"
12,0.9552711007063384,0.7241318922824005,0.04030704361407773,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'Xc-6d', 'NddC', 'SMR_VSA1', 'MDEC-33', 'nFAHRing', 'n10FAHRing', 'Diameter']"
13,0.9548992534435806,0.722973927138234,0.037829423823606,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'Xc-6d', 'NddC', 'NssS', 'SMR_VSA1', 'MDEC-33', 'nFAHRing', 'n10FAHRing', 'Diameter']"
14,0.954809741979486,0.7228521378718125,0.04136405923374919,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'Xc-6d', 'NddC', 'NssS', 'SMR_VSA1', 'MDEC-33', 'n10FARing', 'nFAHRing', 'n10FAHRing', 'Diameter']"
15,0.9538993172487056,0.721919742035112,0.03954510198023392,"['nBase', 'AATSC7v', 'GATS4dv', 'BCUTd-1h', 'C3SP2', 'Xc-6d', 'NddC', 'NssS', 'SMR_VSA1', 'MDEC-33', 'n10FARing', 'nFAHRing', 'n10FAHRing', 'n11FAHRing', 'Diameter']"
