compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,1.7368573,1.0937548,0,test
compound_1,1,-0.3214268,-1.4675436,1,test
compound_2,2,0.08538073,-0.29972428,1,train
compound_3,3,-0.5772317,-1.1980892,1,train
compound_4,4,0.9362536,1.6741794,0,train
compound_5,5,-0.2800203,-1.2405937,1,train
compound_6,6,3.6108289,2.33893,0,train
compound_7,7,3.8606045,2.4757266,0,train
compound_8,8,-1.572166,0.116897225,1,test
compound_9,9,0.3854429,-0.24654931,1,train
compound_10,10,0.4761934,-0.38391575,1,train
compound_11,11,-1.5175315,1.310795,1,train
compound_12,12,-1.2632245,0.8468651,1,train
compound_13,13,-1.0642074,1.4050442,1,train
compound_14,14,1.6546756,1.1577085,0,test
compound_15,15,-1.7313988,1.2244169,1,test
compound_16,16,-1.5620873,1.0159417,1,train
compound_17,17,-1.2652106,1.1840717,1,test
compound_18,18,3.8418698,3.3048418,0,train
compound_19,19,-1.9183203,1.3326762,1,train
compound_20,20,-1.4742408,1.435783,1,train
compound_21,21,-1.8289422,0.8238159,1,train
compound_22,22,-0.1223931,-1.0219907,1,train
compound_23,23,-0.54898876,-1.5986178,1,train
compound_24,24,0.14217348,0.028845672,1,test
compound_25,25,-0.33403003,0.77835816,1,train
compound_26,26,0.887072,1.1907208,1,train
compound_27,27,3.3058565,2.7076304,0,train
compound_28,28,4.2838492,2.9566522,0,train
compound_29,29,9.107168,3.555945,2,test
compound_30,30,3.673981,2.446583,0,train
compound_31,31,2.71957,1.5541637,0,train
compound_32,32,0.92604375,0.20996316,1,train
compound_33,33,-0.11184963,0.8561981,1,test
compound_34,34,-0.7016816,0.83474594,1,train
compound_35,35,-0.7063618,-0.79319435,1,train
compound_36,36,3.4564595,4.030702,0,test
compound_37,37,2.6303337,2.1255798,0,train
compound_38,38,3.220444,2.4676569,0,test
compound_39,39,2.0248487,3.5200107,0,train
compound_40,40,0.39751017,-1.6111519,1,train
compound_41,41,1.921798,3.358517,0,train
compound_42,42,0.4485473,-1.3047392,1,train
compound_43,43,8.791227,4.3165717,2,train
compound_44,44,3.1842473,2.5095422,0,train
compound_45,45,8.4009075,4.4564095,2,train
compound_46,46,-0.42610604,-1.5491564,1,train
compound_47,47,0.6813056,0.54554915,1,train
compound_48,48,1.4303174,4.0503855,0,train
compound_49,49,1.5444715,3.925015,0,train
compound_50,50,1.4678422,4.237372,0,test
compound_51,51,1.3706316,4.1444745,0,train
compound_52,52,1.321853,4.1829023,0,train
compound_53,53,3.1894202,4.0986304,0,train
compound_54,54,3.6837866,1.9247857,0,test
compound_55,55,2.7316883,3.9054146,0,train
compound_56,56,3.1148367,2.4171705,0,train
compound_57,57,3.1843905,1.6629136,0,train
compound_58,58,0.016007233,-0.51818013,1,train
compound_59,59,2.370434,3.7992978,0,train
compound_60,60,0.76050735,0.42821416,1,train
compound_61,61,0.61171633,-1.3101252,1,train
compound_62,62,0.55766773,-0.29064056,1,train
compound_63,63,0.2666037,-1.0018772,1,test
compound_64,64,9.565377,4.0312157,2,train
compound_65,65,8.665496,4.3537536,2,train
compound_66,66,1.640379,3.2183473,0,train
compound_67,67,3.2571626,1.7681104,0,test
compound_68,68,9.315975,4.251657,2,train
compound_69,69,-0.10170487,-1.8868225,1,train
compound_70,70,1.9517956,1.2009876,0,train
compound_71,71,2.9690163,1.8718969,0,test
compound_72,72,1.620274,1.5932562,0,test
compound_73,73,0.102751,-1.3007075,1,test
compound_74,74,-0.6234994,-1.6977799,1,train
compound_75,75,0.81559026,1.1504713,1,train
compound_76,76,-0.36873823,0.8682521,1,train
compound_77,77,1.2348003,1.3583816,0,train
compound_78,78,0.37849376,-0.6343892,1,train
compound_79,79,0.8964592,0.12447749,1,test
compound_80,80,3.9247284,3.1348245,0,test
