compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,2.189562,1.0667075,0,train
compound_1,1,-1.3957272,1.7391417,0,train
compound_2,2,-0.9520425,0.45111766,0,train
compound_3,3,-0.9797166,1.3922662,0,train
compound_4,4,1.2973315,1.7913685,0,train
compound_5,5,-1.1746473,1.3055302,0,train
compound_6,6,4.3350844,2.2063594,0,train
compound_7,7,4.506713,2.4861972,0,train
compound_8,8,-0.69874746,-0.28619018,0,val
compound_9,9,-0.57049775,0.76435316,0,train
compound_10,10,-0.34730566,0.7361605,0,train
compound_11,11,0.66673803,-0.6714535,0,train
compound_12,12,0.38242802,-0.37329355,0,train
compound_13,13,0.9151944,-0.074249566,0,train
compound_14,14,2.1549382,1.1524285,0,train
compound_15,15,0.5326196,-0.7711962,0,test
compound_16,16,0.4290262,-0.5461917,0,train
compound_17,17,0.6669245,-0.13950394,0,train
compound_18,18,4.4982023,3.2844074,0,train
compound_19,19,0.6079342,-0.85821325,0,test
compound_20,20,0.93146276,-0.41407162,0,train
compound_21,21,-0.007364401,-0.6300658,0,train
compound_22,22,-1.2118571,1.1488721,0,train
compound_23,23,-1.6378027,1.865335,0,train
compound_24,24,-0.21617374,0.5434526,0,test
compound_25,25,0.31962022,0.99302167,0,train
compound_26,26,1.3640093,1.2152234,0,train
compound_27,27,3.5670414,2.9537344,0,train
compound_28,28,4.966151,3.0994387,0,train
compound_29,29,9.440345,4.407794,1,train
compound_30,30,4.2802277,2.0459733,0,test
compound_31,31,2.8905337,1.9267211,0,test
compound_32,32,1.0322524,0.8722923,0,train
compound_33,33,0.45007953,0.5434503,0,train
compound_34,34,0.21188861,0.5115181,0,train
compound_35,35,-1.4317405,0.54128873,0,train
compound_36,36,3.7597966,3.917615,0,train
compound_37,37,3.3104625,2.5149767,0,train
compound_38,38,4.0660753,1.6950041,0,train
compound_39,39,2.156371,3.286425,0,train
compound_40,40,-0.81261337,2.2594945,0,val
compound_41,41,1.9365582,3.272546,0,train
compound_42,42,-0.624108,2.136837,0,train
compound_43,43,9.64793,3.5492713,1,train
compound_44,44,4.1059604,1.6567757,0,train
compound_45,45,9.447281,3.3302271,1,train
compound_46,46,-1.624499,1.8799248,0,train
compound_47,47,0.90088886,0.6959886,0,train
compound_48,48,2.119004,4.0763106,0,val
compound_49,49,2.031642,4.1806045,0,train
compound_50,50,2.0557446,4.063075,0,train
compound_51,51,2.0690186,4.1685166,0,train
compound_52,52,2.130514,4.113479,0,train
compound_53,53,3.5374646,4.0779867,0,train
compound_54,54,3.8667593,2.266666,0,test
compound_55,55,3.1106193,3.628847,0,train
compound_56,56,4.1365767,1.5993844,0,train
compound_57,57,3.448039,1.9418547,0,train
compound_58,58,-0.9104812,0.69574416,0,test
compound_59,59,2.7783976,3.6097887,0,train
compound_60,60,1.1814762,0.84271854,0,val
compound_61,61,-0.76145405,1.9915781,0,train
compound_62,62,-0.25119096,0.677565,0,train
compound_63,63,-0.7042209,1.5433232,0,train
compound_64,64,10.032778,3.94058,1,train
compound_65,65,9.549585,3.4570272,1,val
compound_66,66,1.5576193,3.1339202,0,train
compound_67,67,3.4729695,2.154389,0,train
compound_68,68,10.037123,4.0243077,1,train
compound_69,69,-1.164905,2.178289,0,train
compound_70,70,2.5100713,1.3913902,0,train
compound_71,71,3.3231533,2.0667136,0,train
compound_72,72,2.0999641,1.7623223,0,test
compound_73,73,-0.9335964,1.6238563,0,train
compound_74,74,-1.4547653,2.0534797,0,train
compound_75,75,1.2935201,1.2937684,0,train
compound_76,76,0.311872,0.690833,0,val
compound_77,77,1.6458125,1.2812467,0,train
compound_78,78,-0.6546537,0.8912768,0,train
compound_79,79,0.85706645,0.6716621,0,train
compound_80,80,4.4282517,3.16674,0,val
compound_81,81,2.598032,3.660151,0,train
compound_82,82,9.519155,3.4431386,1,train
compound_83,83,-1.2949126,0.50605893,0,train
compound_84,84,1.0513248,0.15334438,0,train
compound_85,85,9.872538,3.598891,1,train
compound_86,86,5.179599,3.265289,0,train
compound_87,87,3.7369163,2.3146646,0,train
compound_88,88,-1.0057994,2.1354215,0,train
compound_89,89,2.0483775,1.0054685,0,train
compound_90,90,2.8297195,1.4566466,0,train
compound_91,91,0.11045369,-0.8175749,0,train
compound_92,92,-1.1957322,1.4017422,0,train
compound_93,93,0.32902387,-0.43344817,0,test
compound_94,94,-0.71339,1.450172,0,train
compound_95,95,-0.48714548,1.9869083,0,train
compound_96,96,-0.044904932,1.7061518,0,train
compound_97,97,-0.5555525,1.7512001,0,train
compound_98,98,-1.252238,0.6435009,0,val
compound_99,99,-1.1591318,0.6001365,0,train
compound_100,100,-0.15967217,-0.38991046,0,train
compound_101,101,-0.075143516,0.49440476,0,val
compound_102,102,-1.1699159,1.9211912,0,val
compound_103,103,-1.3680537,1.4581406,0,test
compound_104,104,-0.9599511,1.6573049,0,train
compound_105,105,-0.082718365,1.7208291,0,train
compound_106,106,-1.1297158,2.2684884,0,val
compound_107,107,-0.14431077,1.6098734,0,train
compound_108,108,-0.20135848,1.8555233,0,val
compound_109,109,-1.0484444,2.3830583,0,test
compound_110,110,2.0033593,2.7619991,0,train
compound_111,111,1.016414,1.2853606,0,val
compound_112,112,2.0775056,2.8705237,0,train
compound_113,113,-1.1961999,1.0245725,0,train
compound_114,114,0.31731576,1.339661,0,val
compound_115,115,-0.4807857,0.22746329,0,train
compound_116,116,0.26053154,-0.84741026,0,train
compound_117,117,-0.48541343,0.7290707,0,train
compound_118,118,-1.4601454,0.6659452,0,train
compound_119,119,-1.2650284,0.061116237,0,val
compound_120,120,0.012020328,-0.31988072,0,val
compound_121,121,-1.0782219,-0.18910779,0,train
compound_122,122,-0.8800033,0.21637669,0,train
compound_123,123,0.28803444,-0.82386506,0,test
compound_124,124,0.25618362,-0.2622065,0,train
compound_125,125,-0.055647124,0.8891908,0,train
compound_126,126,0.49722105,-0.011018489,0,train
compound_127,127,0.8997424,-0.27030984,0,train
compound_128,128,0.7651078,-0.7047531,0,train
compound_129,129,2.3680017,1.2965373,0,train
compound_130,130,0.49176574,0.3789329,0,train
compound_131,131,4.8381906,3.5115504,0,train
compound_132,132,4.5419,3.4174678,0,train
compound_133,133,4.283416,3.4499815,0,train
compound_134,134,-1.1214582,-0.10485925,0,val
compound_135,135,0.8138074,1.2195373,0,train
compound_136,136,4.972894,3.280893,0,train
compound_137,137,3.7570398,2.1137018,0,train
compound_138,138,4.961377,3.0159745,0,train
compound_139,139,4.718298,2.9882905,0,test
compound_140,140,5.0631557,2.9866714,0,test
compound_141,141,5.0663967,3.5623307,0,train
compound_142,142,4.9091773,3.3342707,0,train
compound_143,143,4.995085,3.4231043,0,test
compound_144,144,10.027206,4.3282046,1,test
compound_145,145,9.602508,3.5085542,1,test
compound_146,146,9.298958,4.4618206,1,train
compound_147,147,9.637347,4.050859,1,train
compound_148,148,9.384865,3.9120157,1,train
compound_149,149,9.405982,4.3677144,1,test
compound_150,150,9.524443,4.567659,1,train
compound_151,151,9.913601,4.392719,1,train
compound_152,152,9.345783,3.924465,1,train
compound_153,153,10.032007,4.2776246,1,train
compound_154,154,9.317757,4.475803,1,val
compound_155,155,9.963073,4.2747874,1,train
compound_156,156,9.878304,4.271039,1,train
compound_157,157,10.116179,4.130611,1,val
compound_158,158,9.872878,4.365276,1,train
compound_159,159,2.9494467,1.9210519,0,train
compound_160,160,3.012268,2.1752505,0,train
compound_161,161,2.9310715,1.9937907,0,train
compound_162,162,3.2670727,3.7690809,0,train
compound_163,163,3.2459178,3.661222,0,train
compound_164,164,4.245435,1.5245166,0,train
compound_165,165,3.305904,1.8783553,0,train
compound_166,166,2.1779828,3.5424743,0,train
compound_167,167,3.902156,3.7832322,0,train
compound_168,168,2.360696,3.6502645,0,test
compound_169,169,2.441526,3.5897737,0,train
compound_170,170,4.150543,3.6151094,0,train
compound_171,171,2.0415516,4.170559,0,train
compound_172,172,2.2546756,4.0458837,0,train
compound_173,173,2.2063603,3.717583,0,train
compound_174,174,2.1369,3.6197345,0,train
compound_175,175,2.342555,3.8479378,0,train
compound_176,176,3.820893,2.2178893,0,train
compound_177,177,3.9660451,2.44655,0,train
compound_178,178,3.6234422,4.011016,0,train
compound_179,179,3.551352,3.9528897,0,train
compound_180,180,3.6125467,3.9352012,0,test
compound_181,181,2.3360095,2.0382242,0,train
compound_182,182,3.714171,2.8957636,0,train
compound_183,183,3.0027797,2.4715273,0,val
compound_184,184,4.2874846,2.4958827,0,train
compound_185,185,2.3936458,2.1846924,0,train
compound_186,186,2.4079347,1.8997151,0,train
compound_187,187,9.798102,3.3366675,1,train
compound_188,188,9.867337,3.7820134,1,train
compound_189,189,10.240169,4.1231937,1,train
compound_190,190,9.440566,3.3388681,1,train
